subject,group,file,kind,side,trial_id,bytes,line_count,valid_rows,malformed_rows,blank_lines,expected_columns,first_time,last_time,duration_seconds,median_positive_dt,nonpositive_time_steps,nonzero_trigger_rows
Sub01_A,A,jitu_1,FMG,,1,4065865,34454,34451,3,0,18,133.62,495.11,361.49,0.009999999999990905,1059,463
Sub01_A,A,jitu_1L,insole,L,1,827144,29976,29972,4,0,4,103.09,480.26,377.16999999999996,0.009999999999990905,2,395
Sub01_A,A,jitu_1R,insole,R,1,792673,31362,31360,2,0,4,131.86,488.86,357.0,0.009999999999990905,49,400
Sub01_A,A,jitu_21,FMG,,21,3763591,31548,31545,3,0,18,983.07,1328.48,345.40999999999997,0.009999999999990905,423,453
Sub01_A,A,jitu_21L,insole,L,21,810545,28157,28153,3,1,4,928.76,1316.73,387.97,0.009999999999990905,1,392
Sub01_A,A,jitu_21R,insole,R,21,769428,29350,29348,2,0,4,982.47,1326.21,343.74,0.009999999999990905,7,398
Sub01_H,H,abh_1,FMG,,1,7546295,63713,63695,18,0,18,238.7,920.5,681.8,0.009999999999990905,1665,730
Sub01_H,H,abh_1L,insole,L,1,1610884,55549,55544,5,0,4,1301.75,2146.26,844.5100000000002,0.009999999999990905,1,621
Sub01_H,H,abh_1R,insole,R,1,1547444,55630,55627,3,0,4,244.6,910.94,666.34,0.009999999999990905,1,635
Sub01_H,H,abh_21,FMG,,21,7199646,60402,60353,49,0,18,1053.41,1738.16,684.75,0.009999999999990905,867,776
Sub01_H,H,abh_21L,insole,L,21,1644541,56708,56701,7,0,4,2261.95,2958.31,696.3600000000001,0.010000000000218279,2,708
Sub01_H,H,abh_21R,insole,R,21,1682488,58156,58152,4,0,4,1055.55,1735.71,680.1600000000001,0.009999999999990905,1,714
Sub02_A,A,vipin_1,FMG,,1,5182457,43287,43284,3,0,18,221.22,667.49,446.27,0.009999999999990905,1008,543
Sub02_A,A,vipin_1L,insole,L,1,1033637,37365,37362,3,0,4,181.61,645.77,464.15999999999997,0.009999999999990905,0,479
Sub02_A,A,vipin_1R,insole,R,1,979832,39296,39292,4,0,4,212.98,662.88,449.9,0.009999999999990905,76,500
Sub02_A,A,vipin_21,FMG,,21,3794821,31446,31443,3,0,18,1177.97,1515.83,337.8599999999999,0.009999999999990905,295,382
Sub02_A,A,vipin_21L,insole,L,21,786729,27401,27398,3,0,4,6.0,1497.36,1491.36,0.009999999999990905,1,342
Sub02_A,A,vipin_21R,insole,R,21,764805,29532,29532,0,0,4,9.0,1517.27,1508.27,0.009999999999990905,11,361
Sub02_H,H,Alif_1,FMG,,1,7494083,65756,65751,5,0,18,139.64,1030.54,890.9,0.009999999999990905,2856,751
Sub02_H,H,Alif_1L,insole,L,1,1507389,55953,55948,5,0,4,96.7,1003.31,906.6099999999999,0.009999999999990905,0,631
Sub02_H,H,Alif_1R,insole,R,1,1512999,56493,56491,2,0,4,5.59,1084.6,1079.01,0.009999999999990905,0,638
Sub02_H,H,Alif_21,FMG,,21,3565448,31023,31020,3,0,18,1158.95,1502.08,343.1299999999999,0.009999999999990905,1053,339
Sub02_H,H,Alif_21L,insole,L,21,737778,26391,26385,6,0,4,127.07,1475.71,1348.64,0.009999999999990905,2,275
Sub02_H,H,Alif_21R,insole,R,21,749135,27111,27108,3,0,4,1218.19,1555.22,337.03,0.009999999999990905,0,288
Sub02_H,H,Alif_30,FMG,,30,5268608,46884,46876,8,0,18,107.91,587.63,479.72,0.009999999999990905,2512,449
Sub02_H,H,Alif_30L,insole,L,30,1075651,39663,39658,4,1,4,81.2,588.21,507.01000000000005,0.009999999999990905,2,374
Sub02_H,H,Alif_30R,insole,R,30,1062377,40258,40256,2,0,4,128.76,604.94,476.18000000000006,0.009999999999990905,1,380
Sub03_H,H,Amit_1,FMG,,1,15146815,137713,137705,8,0,18,3.0,1639.59,1636.59,0.009999999999990905,7897,1166
Sub03_H,H,Amit_1L,insole,L,1,3196922,113426,113418,8,0,4,216.0,1669.87,1453.87,0.009999999999990905,1,949
Sub03_H,H,Amit_1R,insole,R,1,3131848,114450,114444,6,0,4,213.27,1615.26,1401.99,0.009999999999990905,2,962
Sub03_H,H,Amit_21,FMG,,21,6624896,59440,59436,4,0,18,514.63,1111.88,597.2500000000001,0.009999999999990905,2947,760
Sub03_H,H,Amit_21L,insole,L,21,1368621,49320,49316,4,0,4,35.88,648.55,612.67,0.009999999999990905,0,594
Sub03_H,H,Amit_21R,insole,R,21,1353041,50884,50880,4,0,4,112.57,707.89,595.3199999999999,0.009999999999990905,2,636
Sub04_H,H,ashu_1,FMG,,1,8315224,70798,70738,60,0,18,185.58,957.22,771.64,0.009999999999990905,2272,791
Sub04_H,H,ashu_1L,insole,L,1,1764179,63009,62992,17,0,4,176.91,958.97,782.0600000000001,0.009999999999990905,0,1502
Sub04_H,H,ashu_1R,insole,R,1,1565436,59350,59346,4,0,4,4.39,313.52,309.13,0.009999999999990905,6,723
Sub04_H,H,ashu_21,FMG,,21,8886712,74845,74798,47,0,18,1106.54,1934.92,828.3800000000001,0.009999999999990905,1331,801
Sub04_H,H,ashu_21L,insole,L,21,1842999,63552,63539,13,0,4,1091.01,1933.64,842.6300000000001,0.009999999999990905,2,6602
Sub04_H,H,ashu_21R,insole,R,21,1813819,67513,67506,7,0,4,462.98,1296.78,833.8,0.009999999999990905,17,715
Sub05_H,H,sub_1,FMG,,1,6552516,55195,55188,7,0,18,92.0,812.73,720.73,0.009999999999990905,1516,762
Sub05_H,H,sub_1L,insole,L,1,1326584,47379,47375,4,0,4,225.23,811.6,586.37,0.009999999999990905,1,653
Sub05_H,H,sub_1R,insole,R,1,1321999,49095,49089,6,0,4,257.04,828.34,571.3,0.009999999999990905,3,662
Sub05_H,H,sub_21,FMG,,21,5888432,49517,49512,4,1,18,839.83,1359.05,519.2199999999999,0.009999999999990905,862,792
Sub05_H,H,sub_21L,insole,L,21,1226535,42716,42716,0,0,4,828.72,1358.79,530.0699999999999,0.009999999999990905,1,672
Sub05_H,H,sub_21R,insole,R,21,1232854,44028,44023,5,0,4,860.66,1374.95,514.2900000000001,0.009999999999990905,2,692
Sub06_H,H,Rishabh_1,FMG,,1,302559,2787,2769,17,1,18,282.19,389.11,106.92000000000002,0.009999999999990905,186,0
Sub06_H,H,Rishabh_10,FMG,,10,432188,3970,3935,35,0,18,1152.33,1230.74,78.41000000000008,0.009999999999990905,229,22
Sub06_H,H,Rishabh_10L,insole,L,10,92556,3225,3217,8,0,4,2108.79,2181.23,72.44000000000005,0.010000000000218279,2,17
Sub06_H,H,Rishabh_10R,insole,R,10,117967,4351,4343,8,0,4,2142.35,2204.32,61.970000000000255,0.010000000000218279,2,18
Sub06_H,H,Rishabh_11,FMG,,11,393794,3618,3611,7,0,18,1302.23,1401.82,99.58999999999992,0.009999999999990905,211,21
Sub06_H,H,Rishabh_11L,insole,L,11,64586,2249,2240,9,0,4,2240.76,2354.53,113.76999999999998,0.010000000000218279,1,0
Sub06_H,H,Rishabh_11R,insole,R,11,109905,4059,4055,4,0,4,2281.45,2375.1,93.65000000000009,0.010000000000218279,0,18
Sub06_H,H,Rishabh_12,FMG,,12,434291,3949,3896,53,0,18,1421.23,1502.63,81.40000000000009,0.009999999999990905,217,7
Sub06_H,H,Rishabh_12L,insole,L,12,128406,4450,4443,6,1,4,2367.04,2455.04,88.0,0.010000000000218279,1,21
Sub06_H,H,Rishabh_12R,insole,R,12,164829,6009,6006,3,0,4,2400.61,2477.98,77.36999999999989,0.010000000000218279,2,21
Sub06_H,H,Rishabh_13,FMG,,13,453824,4197,4171,26,0,18,1768.63,1859.07,90.43999999999983,0.009999999999990905,259,21
Sub06_H,H,Rishabh_13L,insole,L,13,116912,4033,4027,6,0,4,2716.67,2811.15,94.48000000000002,0.010000000000218279,1,17
Sub06_H,H,Rishabh_13R,insole,R,13,135588,4961,4956,5,0,4,2744.71,2832.11,87.40000000000009,0.010000000000218279,2,17
Sub06_H,H,Rishabh_14,FMG,,14,341566,3142,3107,35,0,18,1877.57,1938.61,61.039999999999964,0.009999999999990905,178,11
Sub06_H,H,Rishabh_14L,insole,L,14,98097,3385,3378,7,0,4,2824.14,2891.53,67.39000000000033,0.010000000000218279,2,17
Sub06_H,H,Rishabh_14R,insole,R,14,119595,4377,4374,3,0,4,2855.72,2911.96,56.24000000000024,0.010000000000218279,0,17
Sub06_H,H,Rishabh_15,FMG,,15,480697,4440,4422,18,0,18,1954.18,2019.99,65.80999999999995,0.009999999999990905,266,22
Sub06_H,H,Rishabh_15L,insole,L,15,126141,4352,4349,3,0,4,3.96,2973.17,2969.21,0.010000000000218279,1,18
Sub06_H,H,Rishabh_15R,insole,R,15,145670,5359,5355,4,0,4,2929.65,2996.92,67.26999999999998,0.010000000000218279,2,18
Sub06_H,H,Rishabh_16,FMG,,16,511560,4742,4734,8,0,18,2043.34,2110.25,66.91000000000008,0.010000000000218279,292,24
Sub06_H,H,Rishabh_16L,insole,L,16,100248,3457,3449,7,1,4,2992.21,3062.86,70.65000000000009,0.010000000000218279,1,19
Sub06_H,H,Rishabh_16R,insole,R,16,130860,4787,4783,4,0,4,0.46,3083.04,3082.58,0.010000000000218279,2,19
Sub06_H,H,Rishabh_17,FMG,,17,410809,3764,3750,14,0,18,2130.72,2189.19,58.470000000000255,0.010000000000218279,209,24
Sub06_H,H,Rishabh_17L,insole,L,17,98188,3386,3380,6,0,4,74.87,3137.99,3063.12,0.010000000000218279,1,21
Sub06_H,H,Rishabh_17R,insole,R,17,124037,4555,4553,2,0,4,3105.56,3164.5,58.940000000000055,0.010000000000218279,0,21
Sub06_H,H,Rishabh_18,FMG,,18,440823,4075,4056,19,0,18,2209.22,2272.88,63.66000000000031,0.010000000000218279,252,5
Sub06_H,H,Rishabh_18L,insole,L,18,93468,3223,3218,5,0,4,3156.92,3220.56,63.63999999999987,0.010000000000218279,0,21
Sub06_H,H,Rishabh_18R,insole,R,18,130574,4800,4797,3,0,4,3185.19,3247.32,62.13000000000011,0.010000000000218279,0,22
Sub06_H,H,Rishabh_19,FMG,,19,461701,4270,4266,4,0,18,2294.8,2356.1,61.29999999999973,0.010000000000218279,255,22
Sub06_H,H,Rishabh_19L,insole,L,19,79349,2736,2734,2,0,4,3223.86,3308.13,84.26999999999998,0.010000000000218279,0,18
Sub06_H,H,Rishabh_19R,insole,R,19,113026,4166,4165,1,0,4,17.0,3328.41,3311.41,0.010000000000218279,0,18
Sub06_H,H,Rishabh_1L,insole,L,1,93609,3399,3393,6,0,4,1227.5,1341.25,113.75,0.009999999999990905,1,22
Sub06_H,H,Rishabh_1R,insole,R,1,112374,4146,4141,5,0,4,1259.8,1362.74,102.94000000000005,0.009999999999990905,2,22
Sub06_H,H,Rishabh_2,FMG,,2,327966,3034,3002,31,1,18,407.47,468.01,60.539999999999964,0.009999999999990905,208,1
Sub06_H,H,Rishabh_20,FMG,,20,456896,4207,4202,5,0,18,2373.7,2433.76,60.0600000000004,0.010000000000218279,251,23
Sub06_H,H,Rishabh_20L,insole,L,20,90385,3118,3110,8,0,4,3320.48,3386.55,66.07000000000016,0.010000000000218279,2,18
Sub06_H,H,Rishabh_20R,insole,R,20,116516,4302,4298,4,0,4,3349.73,3406.75,57.01999999999998,0.010000000000218279,2,19
Sub06_H,H,Rishabh_21,FMG,,21,381568,3496,3466,30,0,18,2476.75,2632.73,155.98000000000002,0.010000000000218279,189,0
Sub06_H,H,Rishabh_21L,insole,L,21,92622,3196,3187,8,1,4,3398.37,3585.57,187.20000000000027,0.010000000000218279,0,0
Sub06_H,H,Rishabh_21R,insole,R,21,115989,4262,4258,4,0,4,3452.49,3605.44,152.95000000000027,0.010000000000218279,1,11
Sub06_H,H,Rishabh_22,FMG,,22,488955,4501,4494,7,0,18,2674.98,2737.44,62.460000000000036,0.010000000000218279,266,0
Sub06_H,H,Rishabh_22L,insole,L,22,110286,3804,3798,6,0,4,3621.53,3689.36,67.82999999999993,0.010000000000218279,1,16
Sub06_H,H,Rishabh_22R,insole,R,22,124796,4548,4541,7,0,4,3651.7,3710.02,58.320000000000164,0.010000000000218279,2,16
Sub06_H,H,Rishabh_23,FMG,,23,427904,3912,3909,3,0,18,2758.27,2819.25,60.98000000000002,0.010000000000218279,224,23
