png,source_segmented_csv,source_complete_graph,status,gi_samples,gi_seconds
Sub08_H/sir_1/trial_01_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_01_l_complete.png,created,40,0.4
Sub08_H/sir_1/trial_01_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_01_r_complete.png,created,40,0.4
Sub08_H/sir_1/trial_03_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_03_l_complete.png,created,31,0.31
Sub08_H/sir_1/trial_03_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_03_r_complete.png,created,31,0.31
Sub08_H/sir_1/trial_04_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_04_l_complete.png,created,60,0.6
Sub08_H/sir_1/trial_04_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_04_r_complete.png,created,60,0.6
Sub08_H/sir_1/trial_05_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_05_l_complete.png,created,44,0.44
Sub08_H/sir_1/trial_05_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_05_r_complete.png,created,44,0.44
Sub08_H/sir_1/trial_06_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_06_l_complete.png,created,50,0.5
Sub08_H/sir_1/trial_06_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_06_r_complete.png,created,50,0.5
Sub08_H/sir_1/trial_07_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_07_l_complete.png,created,40,0.4
Sub08_H/sir_1/trial_07_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_07_r_complete.png,created,40,0.4
Sub08_H/sir_1/trial_08_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_08_l_complete.png,created,104,1.04
Sub08_H/sir_1/trial_08_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_08_r_complete.png,created,104,1.04
Sub08_H/sir_1/trial_09_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_09_l_complete.png,created,68,0.68
Sub08_H/sir_1/trial_09_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_09_r_complete.png,created,68,0.68
Sub08_H/sir_1/trial_10_l.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_l_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_10_l_complete.png,created,72,0.72
Sub08_H/sir_1/trial_10_r.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_r_segmented.csv,tempgraphs/Sub08_H/sir_1/trial_10_r_complete.png,created,72,0.72
