png,source_complete_graph,source_segmented_csv,status,gt_start_seconds,gt_end_seconds
Sub08_H/sir_1/trial_01_l.png,tempgraphs/Sub08_H/sir_1/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,20.31,26.33
Sub08_H/sir_1/trial_01_r.png,tempgraphs/Sub08_H/sir_1/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,20.31,26.33
Sub08_H/sir_1/trial_03_l.png,tempgraphs/Sub08_H/sir_1/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,19.90,25.98
Sub08_H/sir_1/trial_03_r.png,tempgraphs/Sub08_H/sir_1/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,19.90,25.98
Sub08_H/sir_1/trial_04_l.png,tempgraphs/Sub08_H/sir_1/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,18.82,24.91
Sub08_H/sir_1/trial_04_r.png,tempgraphs/Sub08_H/sir_1/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,18.82,24.91
Sub08_H/sir_1/trial_05_l.png,tempgraphs/Sub08_H/sir_1/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,21.44,28.06
Sub08_H/sir_1/trial_05_r.png,tempgraphs/Sub08_H/sir_1/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,21.44,28.06
Sub08_H/sir_1/trial_06_l.png,tempgraphs/Sub08_H/sir_1/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,18.64,24.99
Sub08_H/sir_1/trial_06_r.png,tempgraphs/Sub08_H/sir_1/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,18.64,24.99
Sub08_H/sir_1/trial_07_l.png,tempgraphs/Sub08_H/sir_1/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,15.76,22.91
Sub08_H/sir_1/trial_07_r.png,tempgraphs/Sub08_H/sir_1/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,15.76,22.91
Sub08_H/sir_1/trial_08_l.png,tempgraphs/Sub08_H/sir_1/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,17.98,23.84
Sub08_H/sir_1/trial_08_r.png,tempgraphs/Sub08_H/sir_1/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,17.98,23.84
Sub08_H/sir_1/trial_09_l.png,tempgraphs/Sub08_H/sir_1/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,16.36,23.55
Sub08_H/sir_1/trial_09_r.png,tempgraphs/Sub08_H/sir_1/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,16.36,23.55
Sub08_H/sir_1/trial_10_l.png,tempgraphs/Sub08_H/sir_1/trial_10_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,17.37,23.71
Sub08_H/sir_1/trial_10_r.png,tempgraphs/Sub08_H/sir_1/trial_10_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,17.37,23.71
Sub08_H/sir_1/trial_11_l.png,tempgraphs/Sub08_H/sir_1/trial_11_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_l_segmented.csv,created: exact completed-graph display transform,16.21,22.95
Sub08_H/sir_1/trial_11_r.png,tempgraphs/Sub08_H/sir_1/trial_11_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_r_segmented.csv,created: exact completed-graph display transform,16.21,22.95
Sub08_H/sir_1/trial_12_l.png,tempgraphs/Sub08_H/sir_1/trial_12_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_l_segmented.csv,created: exact completed-graph display transform,17.12,24.83
Sub08_H/sir_1/trial_12_r.png,tempgraphs/Sub08_H/sir_1/trial_12_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_r_segmented.csv,created: exact completed-graph display transform,17.12,24.83
Sub08_H/sir_1/trial_13_l.png,tempgraphs/Sub08_H/sir_1/trial_13_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_l_segmented.csv,created: exact completed-graph display transform,16.61,24.0
Sub08_H/sir_1/trial_13_r.png,tempgraphs/Sub08_H/sir_1/trial_13_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_r_segmented.csv,created: exact completed-graph display transform,16.61,24.0
Sub08_H/sir_1/trial_14_l.png,tempgraphs/Sub08_H/sir_1/trial_14_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_l_segmented.csv,created: exact completed-graph display transform,17.59,29.33
Sub08_H/sir_1/trial_14_r.png,tempgraphs/Sub08_H/sir_1/trial_14_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_r_segmented.csv,created: exact completed-graph display transform,17.59,29.33
Sub08_H/sir_1/trial_15_l.png,tempgraphs/Sub08_H/sir_1/trial_15_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_l_segmented.csv,created: exact completed-graph display transform,18.86,25.6
Sub08_H/sir_1/trial_15_r.png,tempgraphs/Sub08_H/sir_1/trial_15_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_r_segmented.csv,created: exact completed-graph display transform,18.86,25.6
Sub08_H/sir_1/trial_16_l.png,tempgraphs/Sub08_H/sir_1/trial_16_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_l_segmented.csv,created: exact completed-graph display transform,15.93,22.92
Sub08_H/sir_1/trial_16_r.png,tempgraphs/Sub08_H/sir_1/trial_16_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_r_segmented.csv,created: exact completed-graph display transform,15.93,22.92
Sub08_H/sir_1/trial_17_l.png,tempgraphs/Sub08_H/sir_1/trial_17_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_l_segmented.csv,created: exact completed-graph display transform,18.70,26.1
Sub08_H/sir_1/trial_17_r.png,tempgraphs/Sub08_H/sir_1/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_r_segmented.csv,created: exact completed-graph display transform,18.70,26.1
Sub08_H/sir_1/trial_18_l.png,tempgraphs/Sub08_H/sir_1/trial_18_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_l_segmented.csv,created: exact completed-graph display transform,16.74,22.74
Sub08_H/sir_1/trial_18_r.png,tempgraphs/Sub08_H/sir_1/trial_18_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_r_segmented.csv,created: exact completed-graph display transform,16.74,22.74
Sub08_H/sir_1/trial_19_l.png,tempgraphs/Sub08_H/sir_1/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_l_segmented.csv,created: exact completed-graph display transform,16.39,24.67
Sub08_H/sir_1/trial_19_r.png,tempgraphs/Sub08_H/sir_1/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_r_segmented.csv,created: exact completed-graph display transform,16.39,24.67
Sub08_H/sir_1/trial_20_l.png,tempgraphs/Sub08_H/sir_1/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_l_segmented.csv,created: exact completed-graph display transform,18.52,25.05
Sub08_H/sir_1/trial_20_r.png,tempgraphs/Sub08_H/sir_1/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_r_segmented.csv,created: exact completed-graph display transform,18.52,25.05
Sub08_H/sir_1/trial_21_l.png,tempgraphs/Sub08_H/sir_1/trial_21_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_l_segmented.csv,created: exact completed-graph display transform,16.86,24.49
Sub08_H/sir_1/trial_21_r.png,tempgraphs/Sub08_H/sir_1/trial_21_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_r_segmented.csv,created: exact completed-graph display transform,16.86,24.49
Sub08_H/sir_21/trial_01_l.png,tempgraphs/Sub08_H/sir_21/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,21.37,27.39
Sub08_H/sir_21/trial_01_r.png,tempgraphs/Sub08_H/sir_21/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,21.37,27.39
Sub08_H/sir_21/trial_02_l.png,tempgraphs/Sub08_H/sir_21/trial_02_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,16.36,21.91
