alignment_method,fmg_qs_samples,fmg_qs_seconds,insole_qs_samples,insole_qs_seconds,local_trial,onset_status,png,record,side,status,subject,sync_status
start and end trigger phase mapping,275,2.75,238,2.38,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_01_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,141,1.41,122,1.22,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_02_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,158,1.58,137,1.37,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_03_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,243,2.43,210,2.1,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_04_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_05_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,259,2.59,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_06_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,227,2.27,196,1.96,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_07_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,229,2.29,198,1.98,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_08_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,223,2.23,193,1.93,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_09_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,178,1.78,154,1.54,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_10_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,157,1.57,140,1.4,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_01_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_02_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,151,1.51,135,1.35,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_03_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_04_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_05_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_06_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_07_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_08_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,180,1.8,160,1.6,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_09_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_1/trial_10_r.png,jitu_1,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,92,0.92,80,0.8,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_01_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,118,1.18,102,1.02,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_02_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,261,2.61,3,stable QS cap (3.0 s),Sub01_A/jitu_21/trial_03_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,109,1.09,95,0.95,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_04_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,146,1.46,127,1.27,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_05_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,246,2.46,213,2.13,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_06_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,163,1.63,141,1.41,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_07_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_08_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,107,1.07,93,0.93,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_09_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,82,0.82,71,0.71,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_10_l.png,jitu_21,L,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_01_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_02_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_03_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_04_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_05_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_06_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,67,0.67,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_07_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
start and end trigger phase mapping,157,1.57,140,1.4,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_A/jitu_21/trial_08_r.png,jitu_21,R,created,Sub01_A,trigger sequence synchronized
