png,source_segmented_csv,source_complete_graph,method,status,qs_samples,qs_seconds
Sub01_H/abh_21/trial_22_l.png,tempgraphs/sub01_h/segmented_data/abh_21/trial_22_l_segmented.csv,tempgraphs/sub01_h/abh_21/trial_22_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,261,2.61
Sub01_H/abh_21/trial_22_r.png,tempgraphs/sub01_h/segmented_data/abh_21/trial_22_r_segmented.csv,tempgraphs/sub01_h/abh_21/trial_22_r_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,261,2.61
Sub04_H/ashu_1/trial_20_l.png,tempgraphs/sub04_h/segmented_data/ashu_1/trial_20_l_segmented.csv,tempgraphs/sub04_h/ashu_1/trial_20_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,9,0.09
Sub04_H/ashu_1/trial_20_r.png,tempgraphs/sub04_h/segmented_data/ashu_1/trial_20_r_segmented.csv,tempgraphs/sub04_h/ashu_1/trial_20_r_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,9,0.09
Sub06_H/Rishabh_1/trial_01_l.png,tempgraphs/sub06_h/segmented_data/Rishabh_1/trial_01_l_segmented.csv,tempgraphs/sub06_h/Rishabh_1/trial_01_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,311,3.11
Sub06_H/Rishabh_1/trial_01_r.png,tempgraphs/sub06_h/segmented_data/Rishabh_1/trial_01_r_segmented.csv,tempgraphs/sub06_h/Rishabh_1/trial_01_r_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,311,3.11
Sub06_H/Rishabh_11/trial_01_l.png,tempgraphs/sub06_h/segmented_data/Rishabh_11/trial_01_l_segmented.csv,tempgraphs/sub06_h/Rishabh_11/trial_01_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,214,2.14
Sub06_H/Rishabh_21/trial_01_l.png,tempgraphs/sub06_h/segmented_data/Rishabh_21/trial_01_l_segmented.csv,tempgraphs/sub06_h/Rishabh_21/trial_01_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,343,3.43
Sub06_H/Rishabh_21/trial_01_r.png,tempgraphs/sub06_h/segmented_data/Rishabh_21/trial_01_r_segmented.csv,tempgraphs/sub06_h/Rishabh_21/trial_01_r_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,343,3.43
Sub06_H/Rishabh_22/trial_01_l.png,tempgraphs/sub06_h/segmented_data/Rishabh_22/trial_01_l_segmented.csv,tempgraphs/sub06_h/Rishabh_22/trial_01_l_complete.png,existing segmented-data QS samples; used because raw trigger pairing is incomplete,created,389,3.89
