png,source_complete_graph,source_segmented_csv,status,sslw_start_seconds,sslw_end_seconds
Sub08_H/sir_1/trial_01_l.png,tempgraphs/Sub08_H/sir_1/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,16.28,20.31
Sub08_H/sir_1/trial_01_r.png,tempgraphs/Sub08_H/sir_1/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,16.28,20.31
Sub08_H/sir_1/trial_03_l.png,tempgraphs/Sub08_H/sir_1/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,17.03,19.9
Sub08_H/sir_1/trial_03_r.png,tempgraphs/Sub08_H/sir_1/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,17.03,19.9
Sub08_H/sir_1/trial_04_l.png,tempgraphs/Sub08_H/sir_1/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,16.64,18.82
Sub08_H/sir_1/trial_04_r.png,tempgraphs/Sub08_H/sir_1/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,16.64,18.82
Sub08_H/sir_1/trial_05_l.png,tempgraphs/Sub08_H/sir_1/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,15.97,21.44
Sub08_H/sir_1/trial_05_r.png,tempgraphs/Sub08_H/sir_1/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,15.97,21.44
Sub08_H/sir_1/trial_06_l.png,tempgraphs/Sub08_H/sir_1/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,14.44,18.64
Sub08_H/sir_1/trial_06_r.png,tempgraphs/Sub08_H/sir_1/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,14.44,18.64
Sub08_H/sir_1/trial_07_l.png,tempgraphs/Sub08_H/sir_1/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,6.65,15.76
Sub08_H/sir_1/trial_07_r.png,tempgraphs/Sub08_H/sir_1/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,6.65,15.76
Sub08_H/sir_1/trial_08_l.png,tempgraphs/Sub08_H/sir_1/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,13.67,17.98
Sub08_H/sir_1/trial_08_r.png,tempgraphs/Sub08_H/sir_1/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,13.67,17.98
Sub08_H/sir_1/trial_09_l.png,tempgraphs/Sub08_H/sir_1/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,9.51,16.36
Sub08_H/sir_1/trial_09_r.png,tempgraphs/Sub08_H/sir_1/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,9.51,16.36
Sub08_H/sir_1/trial_10_l.png,tempgraphs/Sub08_H/sir_1/trial_10_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,11.86,17.37
Sub08_H/sir_1/trial_10_r.png,tempgraphs/Sub08_H/sir_1/trial_10_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,11.86,17.37
Sub08_H/sir_1/trial_11_l.png,tempgraphs/Sub08_H/sir_1/trial_11_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_l_segmented.csv,created: exact completed-graph display transform,9.49,16.21
Sub08_H/sir_1/trial_11_r.png,tempgraphs/Sub08_H/sir_1/trial_11_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_r_segmented.csv,created: exact completed-graph display transform,9.49,16.21
Sub08_H/sir_1/trial_12_l.png,tempgraphs/Sub08_H/sir_1/trial_12_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_l_segmented.csv,created: exact completed-graph display transform,12.85,17.12
Sub08_H/sir_1/trial_12_r.png,tempgraphs/Sub08_H/sir_1/trial_12_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_r_segmented.csv,created: exact completed-graph display transform,12.85,17.12
Sub08_H/sir_1/trial_13_l.png,tempgraphs/Sub08_H/sir_1/trial_13_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_l_segmented.csv,created: exact completed-graph display transform,11.18,16.61
Sub08_H/sir_1/trial_13_r.png,tempgraphs/Sub08_H/sir_1/trial_13_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_r_segmented.csv,created: exact completed-graph display transform,11.18,16.61
Sub08_H/sir_1/trial_14_l.png,tempgraphs/Sub08_H/sir_1/trial_14_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_l_segmented.csv,created: exact completed-graph display transform,12.34,17.59
Sub08_H/sir_1/trial_14_r.png,tempgraphs/Sub08_H/sir_1/trial_14_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_r_segmented.csv,created: exact completed-graph display transform,12.34,17.59
Sub08_H/sir_1/trial_15_l.png,tempgraphs/Sub08_H/sir_1/trial_15_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_l_segmented.csv,created: exact completed-graph display transform,10.86,18.86
