png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub08_H/sir_1/trial_01_l.png,tempgraphs/Sub08_H/sir_1/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,6.79,14.7
Sub08_H/sir_1/trial_01_r.png,tempgraphs/Sub08_H/sir_1/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,6.79,14.7
Sub08_H/sir_1/trial_03_l.png,tempgraphs/Sub08_H/sir_1/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,6.27,16.17
Sub08_H/sir_1/trial_03_r.png,tempgraphs/Sub08_H/sir_1/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,6.27,16.17
Sub08_H/sir_1/trial_04_l.png,tempgraphs/Sub08_H/sir_1/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,6.75,15.16
Sub08_H/sir_1/trial_04_r.png,tempgraphs/Sub08_H/sir_1/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,6.75,15.16
Sub08_H/sir_1/trial_05_l.png,tempgraphs/Sub08_H/sir_1/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,8.66,14.62
Sub08_H/sir_1/trial_05_r.png,tempgraphs/Sub08_H/sir_1/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,8.66,14.62
Sub08_H/sir_1/trial_06_l.png,tempgraphs/Sub08_H/sir_1/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,6.20,13.12
Sub08_H/sir_1/trial_06_r.png,tempgraphs/Sub08_H/sir_1/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,6.20,13.12
