normalized_gi_percent,fmg_channel_4_mean,fmg_channel_4_standard_deviation,contributing_trace_count
0,299.5625,278.878315478,40
0.334448160535,299.835033445,278.863898951,40
0.66889632107,300.108737458,278.855625989,40
1.00334448161,300.403093645,278.860627947,40
1.33779264214,300.718478261,278.92664865,40
1.67224080268,301.123160535,279.040231514,40
2.00668896321,301.555936455,279.110888829,40
2.34113712375,301.962625418,279.170147643,40
2.67558528428,302.318561873,279.280257468,40
3.01003344482,302.587458194,279.369452662,40
3.34448160535,302.850334448,279.442936645,40
3.67892976589,303.146153846,279.495664872,40
4.01337792642,303.459866221,279.570376279,40
4.34782608696,303.723913043,279.650556917,40
4.68227424749,303.943645485,279.738502003,40
5.01672240803,304.19673913,279.835468801,40
5.35117056856,304.402926421,279.925569791,40
5.6856187291,304.615050167,279.96359015,40
6.02006688963,304.886705686,279.981360202,40
6.35451505017,305.202926421,280.021386003,40
6.6889632107,305.511120401,280.117092136,40
7.02341137124,305.770819398,280.196817353,40
7.35785953177,306.067140468,280.270515511,40
7.69230769231,306.371153846,280.330217836,40
8.02675585284,306.656939799,280.349736053,40
8.36120401338,306.933779264,280.364007596,40
8.69565217391,307.127173913,280.417550598,40
9.03010033445,307.323662207,280.489817921,40
9.36454849498,307.547826087,280.547962747,40
9.69899665552,307.761371237,280.601001183,40
10.0334448161,307.972993311,280.674166763,40
10.3678929766,308.177759197,280.746491771,40
10.7023411371,308.391137124,280.85615992,40
11.0367892977,308.592767559,280.979630147,40
11.3712374582,308.843269231,281.097683559,40
11.7056856187,309.114088629,281.215110327,40
12.0401337793,309.365802676,281.300044532,40
12.3745819398,309.617098662,281.426152106,40
12.7090301003,309.84958194,281.544039083,40
13.0434782609,310.036956522,281.647805004,40
13.3779264214,310.239841137,281.79824726,40
13.7123745819,310.431438127,281.852691234,40
14.0468227425,310.643687291,281.874321061,40
14.381270903,310.840802676,281.912300989,40
14.7157190635,311.001630435,281.910079693,40
15.0501672241,311.101254181,281.859524699,40
15.3846153846,311.231730769,281.835587286,40
15.7190635452,311.35798495,281.876189039,40
16.0535117057,311.590091973,282.028122367,40
16.3879598662,311.83014214,282.116339866,40
16.7224080268,312.036831104,282.148055733,40
17.0568561873,312.167349498,282.137484114,40
17.3913043478,312.276086957,282.120123005,40
17.7257525084,312.433570234,282.124349661,40
18.0602006689,312.612165552,282.09754119,40
18.3946488294,312.752591973,282.078256603,40
18.72909699,312.826755853,281.980156176,40
19.0635451505,312.893060201,281.838256726,40
19.397993311,313.028177258,281.663050503,40
19.7324414716,313.112123746,281.446789659,40
20.0668896321,313.163419732,281.35420822,40
20.4013377926,313.164088629,281.264944455,40
20.7357859532,313.177926421,281.101258513,40
21.0702341137,313.258570234,280.968879517,40
21.4046822742,313.377173913,280.846271249,40
21.7391304348,313.489130435,280.695116061,40
22.0735785953,313.492892977,280.495888883,40
22.4080267559,313.45,280.280654034,40
22.7424749164,313.451254181,280.077461055,40
23.0769230769,313.455769231,279.850892455,40
23.4113712375,313.39632107,279.623276068,40
23.745819398,313.279264214,279.389273845,40
24.0802675585,313.144481605,279.088668131,40
24.4147157191,313.036036789,278.783832932,40
24.7491638796,312.89180602,278.488931361,40
25.0836120401,312.762541806,278.199106029,40
25.4180602007,312.564046823,277.844656743,40
25.7525083612,312.343645485,277.495788998,40
26.0869565217,312.083695652,277.130623284,40
26.4214046823,311.770819398,276.758705801,40
26.7558528428,311.463294314,276.381434424,40
27.0903010033,311.05451505,275.874202196,40
27.4247491639,310.648160535,275.392535999,40
27.7591973244,310.115551839,274.825626034,40
28.0936454849,309.619899666,274.307999668,40
28.4280936455,309.136454849,273.817115747,40
28.762541806,308.608695652,273.306779269,40
29.0969899666,308.073494983,272.786399359,40
29.4314381271,307.293018395,272.139357683,40
29.7658862876,306.60472408,271.615924874,40
30.1003344482,306.073871237,271.21428295,40
30.4347826087,305.413586957,270.782572895,40
30.7692307692,304.722115385,270.323319249,40
31.1036789298,304.156647157,269.88091519,40
31.4381270903,303.643854515,269.493900449,40
31.7725752508,303.026045151,269.118534014,40
32.1070234114,302.470234114,268.845062039,40
32.4414715719,301.904765886,268.636522562,40
32.7759197324,301.365551839,268.483851316,40
33.110367893,300.743729097,268.296379003,40
33.4448160535,300.0340301,268.037150155,40
33.779264214,299.347575251,267.849006081,40
34.1137123746,298.57173913,267.699139553,40
34.4481605351,297.868227425,267.589131048,40
34.7826086957,297.32826087,267.511152524,40
35.1170568562,296.804849498,267.471478564,40
35.4515050167,296.283862876,267.495659226,40
35.7859531773,295.893394649,267.54055787,40
36.1204013378,295.595986622,267.642769346,40
36.4548494983,295.271070234,267.78085642,40
36.7892976589,294.851923077,267.95950926,40
37.1237458194,294.54506689,268.165031085,40
37.4581939799,294.31680602,268.363503789,40
37.7926421405,294.160451505,268.635741332,40
38.127090301,293.958695652,268.955720927,40
38.4615384615,293.842307692,269.276261102,40
38.7959866221,293.70493311,269.590295836,40
39.1304347826,293.411956522,269.969757327,40
39.4648829431,293.216889632,270.373786174,40
39.7993311037,293.285785953,270.726933278,40
40.1337792642,293.349414716,271.022399477,40
40.4682274247,293.476212375,271.352425077,40
40.8026755853,293.624331104,271.725567982,40
41.1371237458,293.823787625,272.162086292,40
41.4715719064,294.094188963,272.612063879,40
41.8060200669,294.399958194,273.039090884,40
42.1404682274,294.723787625,273.436031086,40
42.474916388,295.125334448,273.829761413,40
42.8093645485,295.428804348,274.151990008,40
43.143812709,295.717307692,274.445022347,40
43.4782608696,296.058695652,274.738101368,40
43.8127090301,296.423996656,275.038895855,40
44.1471571906,296.776672241,275.323040814,40
44.4816053512,297.040091973,275.545433356,40
44.8160535117,297.303010033,275.775678728,40
45.1505016722,297.562667224,276.025604817,40
45.4849498328,297.882525084,276.264120948,40
45.8193979933,298.313963211,276.480777605,40
46.1538461538,298.592307692,276.70816618,40
46.4882943144,298.823745819,276.988146367,40
46.8227424749,298.997073579,277.25939167,40
47.1571906355,299.169481605,277.540157038,40
47.491638796,299.348327759,277.783205127,40
47.8260869565,299.506521739,278.013234333,40
48.1605351171,299.694732441,278.268348984,40
48.4949832776,300.110033445,278.494507085,40
48.8294314381,300.618645485,278.651663691,40
49.1638795987,300.981020067,278.917831163,40
49.4983277592,301.271070234,279.190173921,40
49.8327759197,301.515468227,279.487087603,40
50.1672240803,301.714966555,279.772515387,40
50.5016722408,301.913210702,280.069432687,40
50.8361204013,302.24180602,280.410868612,40
51.1705685619,302.639841137,280.795268773,40
51.5050167224,303.069481605,281.206972865,40
51.8394648829,303.522533445,281.618189844,40
52.1739130435,303.907608696,281.984506202,40
52.508361204,304.266346154,282.419638012,40
52.8428093645,304.560284281,282.872882187,40
53.1772575251,304.801086957,283.349109481,40
53.5117056856,305.158946488,283.866103204,40
53.8461538462,305.642307692,284.421936103,40
54.1806020067,306.084698997,284.990712078,40
54.5150501672,306.468561873,285.570045712,40
54.8494983278,306.893143813,286.114039283,40
55.1839464883,307.320652174,286.575130505,40
55.5183946488,307.663294314,287.056433844,40
55.8528428094,308.007023411,287.531144502,40
56.1872909699,308.355183946,288.024562255,40
56.5217391304,308.640217391,288.464356171,40
56.856187291,308.935117057,288.941800477,40
57.1906354515,309.245944816,289.46803884,40
57.525083612,309.540133779,290.022148094,40
57.8595317726,309.889924749,290.543047427,40
58.1939799331,310.294481605,291.060199198,40
58.5284280936,310.736245819,291.553244287,40
58.8628762542,311.205434783,291.983023887,40
59.1973244147,311.623871237,292.408007887,40
59.5317725753,312.025,292.867222765,40
59.8662207358,312.404598662,293.359509828,40
60.2006688963,312.737374582,293.895307682,40
60.5351170569,313.073327759,294.379709519,40
60.8695652174,313.504347826,294.850505167,40
61.2040133779,313.960618729,295.331762647,40
61.5384615385,314.423076923,295.801450181,40
61.872909699,314.884615385,296.271724664,40
62.2073578595,315.318102007,296.709417052,40
62.5418060201,315.689130435,297.134879691,40
62.8762541806,316.094272575,297.51016147,40
63.2107023411,316.476254181,297.853574759,40
63.5451505017,316.77972408,298.18747214,40
63.8795986622,317.076839465,298.489488706,40
64.2140468227,317.367056856,298.712662076,40
64.5484949833,317.614715719,298.960610619,40
64.8829431438,317.827257525,299.190377945,40
65.2173913043,318.166304348,299.423780722,40
65.5518394649,318.681354515,299.672419091,40
65.8862876254,319.192391304,299.912605615,40
66.220735786,319.661454849,300.077915477,40
66.5551839465,320.204138796,300.218613262,40
66.889632107,320.81722408,300.378514296,40
67.2240802676,321.781020067,300.571384271,40
67.5585284281,322.773411371,300.790904961,40
67.8929765886,323.702801003,301.085125552,40
68.2274247492,324.65819398,301.410708327,40
68.5618729097,325.788921405,301.782734324,40
68.8963210702,326.87006689,302.128835567,40
69.2307692308,327.913461538,302.475250192,40
69.5652173913,328.943478261,302.848551431,40
69.8996655518,329.887207358,303.242406153,40
70.2341137124,330.675752508,303.641713154,40
70.5685618729,331.365635452,304.051331587,40
70.9030100334,332.088545151,304.473637225,40
71.237458194,332.690802676,304.845354761,40
71.5719063545,333.234280936,305.162595164,40
71.9063545151,333.647324415,305.458381507,40
72.2408026756,334.074414716,305.760810951,40
72.5752508361,334.574749164,306.11363378,40
72.9096989967,335.04673913,306.471712165,40
73.2441471572,335.459615385,306.826560718,40
73.5785953177,335.768561873,307.116224378,40
73.9130434783,336.007608696,307.36044813,40
74.2474916388,336.172909699,307.595140968,40
74.5819397993,336.342391304,307.844323731,40
74.9163879599,336.511622074,308.103322642,40
75.2508361204,336.666889632,308.367429207,40
75.5852842809,336.804013378,308.630282692,40
75.9197324415,336.907190635,308.856500611,40
76.254180602,336.935367893,309.065758371,40
76.5886287625,336.92951505,309.264670556,40
76.9230769231,336.898076923,309.411056031,40
77.2575250836,336.817809365,309.523903052,40
77.5919732441,336.697491639,309.614141781,40
77.9264214047,336.616973244,309.740632459,40
78.2608695652,336.629347826,309.917122281,40
78.5953177258,336.680685619,310.098879074,40
78.9297658863,336.812792642,310.31419817,40
79.2642140468,336.963628763,310.548983266,40
79.5986622074,337.186204013,310.853844602,40
79.9331103679,337.715593645,311.286524526,40
80.2675585284,338.388210702,311.775826033,40
80.602006689,339.199205686,312.329362346,40
80.9364548495,340.104347826,312.929527404,40
81.27090301,341.056229097,313.574796964,40
81.6053511706,342.013461538,314.238150088,40
81.9397993311,342.942140468,314.902703574,40
82.2742474916,343.805267559,315.601679704,40
82.6086956522,344.631521739,316.351612334,40
82.9431438127,345.410702341,317.055745198,40
83.2775919732,346.09264214,317.701695749,40
83.6120401338,346.728428094,318.324988725,40
83.9464882943,347.298411371,318.910176356,40
84.2809364548,347.844314381,319.477139751,40
84.6153846154,348.330769231,320.057536525,40
84.9498327759,348.845317726,320.576726472,40
85.2842809365,349.302048495,321.01499346,40
85.618729097,349.738001672,321.416285423,40
85.9531772575,350.174623746,321.868564581,40
86.2876254181,350.566847826,322.317020343,40
86.6220735786,350.934740803,322.701280463,40
86.9565217391,351.321195652,323.066905146,40
87.2909698997,351.747449833,323.411840356,40
87.6254180602,352.162374582,323.695522699,40
87.9598662207,352.599080268,323.965081464,40
88.2943143813,353.022909699,324.234789053,40
88.6287625418,353.340133779,324.546546286,40
88.9632107023,353.62090301,324.848714835,40
89.2976588629,353.917474916,325.146023374,40
89.6321070234,354.253846154,325.454680328,40
89.9665551839,354.62173913,325.764078956,40
90.3010033445,354.966304348,326.053947926,40
90.635451505,355.281187291,326.337629263,40
90.9698996656,355.590635452,326.612793335,40
91.3043478261,355.919565217,326.84229598,40
91.6387959866,356.291973244,327.058730672,40
91.9732441472,356.63729097,327.26381075,40
92.3076923077,356.959615385,327.461355951,40
92.6421404682,357.306939799,327.66547076,40
92.9765886288,357.713795987,327.888325828,40
93.3110367893,358.063712375,328.123602026,40
93.6454849498,358.333862876,328.328115451,40
93.9799331104,358.654849498,328.531835307,40
94.3143812709,358.970986622,328.75585953,40
94.6488294314,359.3590301,328.899172873,40
94.983277592,359.737123746,329.027440822,40
95.3177257525,360.079013378,329.159172732,40
95.652173913,360.480434783,329.328236173,40
95.9866220736,360.85777592,329.503826218,40
96.3210702341,361.085451505,329.667553519,40
96.6555183946,361.309322742,329.816975169,40
96.9899665552,361.512458194,329.943109164,40
97.3244147157,361.697575251,330.060203625,40
97.6588628763,361.887123746,330.164856961,40
97.9933110368,362.046822742,330.248416814,40
98.3277591973,362.201923077,330.319658058,40
98.6622073579,362.341973244,330.370692333,40
98.9966555184,362.468729097,330.384732448,40
99.3311036789,362.588043478,330.338643206,40
99.6655518395,362.690551839,330.330967474,40
100,362.7875,330.336019976,40
