raw_batch,local_trial,limb,source_csv,gi_source_samples,gi_start_seconds,gi_end_seconds,channel_1_imputed_samples,channel_2_imputed_samples,channel_3_imputed_samples,channel_4_imputed_samples,channel_5_imputed_samples,channel_6_imputed_samples,channel_7_imputed_samples,channel_8_imputed_samples,used,rejection_reason
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,89,2.84,3.72,0,0,0,0,0,0,0,0,yes,
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,89,2.84,3.72,0,0,0,0,0,0,0,0,yes,
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,128,1.72,2.99,0,0,0,0,0,0,0,0,yes,
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,128,1.72,2.99,0,0,0,0,0,0,0,0,yes,
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,120,1.78,2.97,0,0,0,0,0,0,0,0,yes,
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,120,1.78,2.97,0,0,0,0,0,0,0,0,yes,
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,92,2.68,3.59,0,0,0,0,0,0,0,0,yes,
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,92,2.68,3.59,0,0,0,0,0,0,0,0,yes,
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,112,0.81,1.92,0,0,0,0,0,0,0,0,yes,
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,112,0.81,1.92,0,0,0,0,0,0,0,0,yes,
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,73,3.37,4.09,0,0,0,0,0,0,0,0,yes,
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,73,3.37,4.09,0,0,0,0,0,0,0,0,yes,
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,44,1.91,2.34,0,0,0,0,0,0,0,0,yes,
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,44,1.91,2.34,0,0,0,0,0,0,0,0,yes,
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,61,2.34,2.94,0,0,0,0,0,0,0,0,yes,
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,61,2.34,2.94,0,0,0,0,0,0,0,0,yes,
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,119,2.06,3.24,0,0,0,0,0,0,0,0,yes,
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,119,2.06,3.24,0,0,0,0,0,0,0,0,yes,
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,173,2.0,3.72,0,0,0,0,0,0,0,0,yes,
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,173,2.0,3.72,0,0,0,0,0,0,0,0,yes,
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,180,0.71,2.5,0,0,0,0,0,0,0,0,yes,
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,180,0.71,2.5,0,0,0,0,0,0,0,0,yes,
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,109,1.02,2.1,0,0,0,0,0,0,0,0,yes,
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,109,1.02,2.1,0,0,0,0,0,0,0,0,yes,
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,62,3.77,4.38,0,0,0,0,0,0,0,0,yes,
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,62,3.77,4.38,0,0,0,0,0,0,0,0,yes,
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,108,0.95,2.02,0,0,0,0,0,0,0,0,yes,
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,108,0.95,2.02,0,0,0,0,0,0,0,0,yes,
jitu_21,5,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,84,2.45,3.28,0,0,0,0,0,0,0,0,yes,
jitu_21,5,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,84,2.45,3.28,0,0,0,0,0,0,0,0,yes,
jitu_21,6,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,120,2.32,3.51,0,0,0,0,0,0,0,0,yes,
jitu_21,6,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,120,2.32,3.51,0,0,0,0,0,0,0,0,yes,
