normalized_gt_percent,fmg_channel_4_mean,fmg_channel_4_standard_deviation,contributing_trace_count
0,281.325,292.064752024,40
0.334448160535,281.849832776,292.490066841,40
0.66889632107,282.806020067,292.689458003,40
1.00334448161,283.560535117,292.586406529,40
1.33779264214,284.511789298,292.354983694,40
1.67224080268,285.45083612,291.842630469,40
2.00668896321,286.610744147,291.383561051,40
2.34113712375,288.197826087,290.776589796,40
2.67558528428,290.183904682,290.134196816,40
3.01003344482,291.424874582,289.586423201,40
3.34448160535,292.676170569,288.889804043,40
3.67892976589,293.308026756,288.284970748,40
4.01337792642,294.337876254,287.789932523,40
4.34782608696,295.854347826,287.623173508,40
4.68227424749,298.027424749,288.064436299,40
5.01672240803,300.732692308,289.17379202,40
5.35117056856,304.234155518,290.863680563,40
5.6856187291,307.393185619,292.677123922,40
6.02006688963,310.975752508,294.576481248,40
6.35451505017,313.909531773,296.092670843,40
6.6889632107,316.994356187,297.324434938,40
7.02341137124,320.119774247,298.288179853,40
7.35785953177,323.006145485,299.110584438,40
7.69230769231,325.945192308,299.870585608,40
8.02675585284,328.627926421,300.460053938,40
8.36120401338,330.56187291,301.124127687,40
8.69565217391,332.777173913,301.801863535,40
9.03010033445,334.963628763,302.916900427,40
9.36454849498,336.783444816,304.134768573,40
9.69899665552,337.952257525,304.877818015,40
10.0334448161,338.041555184,304.950399343,40
10.3678929766,337.852424749,304.671144889,40
10.7023411371,337.481688963,304.05036976,40
11.0367892977,337.025585284,303.463810582,40
11.3712374582,337.106354515,303.207019741,40
11.7056856187,336.307148829,302.458367541,40
12.0401337793,334.532525084,301.395862142,40
12.3745819398,332.602090301,299.986298604,40
12.7090301003,330.700250836,298.704770969,40
13.0434782609,329.309782609,297.510506429,40
13.3779264214,329.436622074,296.572852065,40
13.7123745819,330.998202341,296.872503992,40
14.0468227425,333.759949833,298.22103442,40
14.381270903,336.804222408,299.992853161,40
14.7157190635,340.020986622,302.108554289,40
15.0501672241,342.092809365,303.675404731,40
15.3846153846,342.949038462,304.381639556,40
15.7190635452,343.490886288,304.507479595,40
16.0535117057,342.924707358,304.472684347,40
16.3879598662,342.755351171,304.253678133,40
16.7224080268,341.586204013,303.601615151,40
17.0568561873,339.665844482,302.390654282,40
17.3913043478,337.801086957,301.613611891,40
17.7257525084,336.343185619,301.113114992,40
18.0602006689,335.247157191,300.480132613,40
18.3946488294,333.744983278,299.704486537,40
18.72909699,333.228093645,299.22841713,40
19.0635451505,332.371655518,298.837340701,40
19.397993311,331.716346154,298.634114099,40
19.7324414716,331.171404682,298.276923016,40
20.0668896321,330.431103679,297.967593914,40
20.4013377926,330.139130435,297.734596203,40
20.7357859532,329.501170569,297.382743619,40
21.0702341137,328.537416388,296.799767562,40
21.4046822742,327.404891304,295.945511544,40
21.7391304348,326.526630435,295.191532912,40
22.0735785953,325.582859532,294.381452848,40
22.4080267559,324.268269231,293.08242814,40
22.7424749164,322.933779264,291.702244701,40
23.0769230769,321.675,290.45593087,40
23.4113712375,319.724456522,289.178014049,40
23.745819398,318.342725753,288.429471576,40
24.0802675585,316.67951505,287.913752052,40
24.4147157191,315.009364548,287.579121915,40
24.7491638796,313.853177258,287.364779665,40
25.0836120401,312.969816054,287.531044639,40
25.4180602007,312.663754181,287.427483607,40
25.7525083612,312.311120401,287.693097677,40
26.0869565217,312.10326087,287.621356394,40
26.4214046823,312.017809365,287.546596614,40
26.7558528428,312.28319398,287.381305026,40
27.0903010033,312.72951505,287.410371139,40
27.4247491639,313.161120401,287.513661814,40
27.7591973244,313.298160535,287.465112874,40
28.0936454849,313.297240803,287.27297066,40
28.4280936455,313.433319398,286.96123848,40
28.762541806,313.523411371,286.274705758,40
29.0969899666,313.313963211,285.377189413,40
29.4314381271,314.055434783,284.383599406,40
29.7658862876,314.123369565,283.34608297,40
30.1003344482,314.106061873,282.660348499,40
30.4347826087,314.151630435,281.710416356,40
30.7692307692,313.445192308,280.546776586,40
31.1036789298,312.726086957,279.747173551,40
31.4381270903,312.583695652,279.196490832,40
31.7725752508,312.803720736,278.735253926,40
32.1070234114,313.072491639,278.426823101,40
32.4414715719,313.947658863,278.588492871,40
32.7759197324,314.181605351,278.235775342,40
33.110367893,314.700125418,278.004887286,40
33.4448160535,314.844983278,277.61896236,40
33.779264214,314.437332776,277.115720811,40
34.1137123746,313.697491639,276.42233059,40
34.4481605351,313.189130435,275.994865558,40
34.7826086957,313.254347826,276.223313392,40
35.1170568562,313.682859532,276.761389567,40
35.4515050167,314.09264214,277.120705019,40
35.7859531773,314.623954849,277.345668297,40
36.1204013378,315.124331104,277.699981822,40
36.4548494983,315.348620401,277.748493612,40
36.7892976589,315.325334448,277.696934636,40
37.1237458194,316.262959866,278.441604731,40
37.4581939799,318.049707358,280.138061241,40
37.7926421405,319.841304348,281.787928736,40
38.127090301,321.414172241,283.197859662,40
38.4615384615,322.535576923,284.111002453,40
38.7959866221,323.505267559,284.993463097,40
39.1304347826,324.326630435,285.826715647,40
39.4648829431,325.05819398,286.572402901,40
39.7993311037,325.950334448,287.248131222,40
40.1337792642,326.78687291,288.197708602,40
40.4682274247,327.760994983,288.951651143,40
40.8026755853,328.748996656,290.133943265,40
41.1371237458,329.532023411,290.594814094,40
41.4715719064,330.253929766,291.147845657,40
41.8060200669,330.757692308,291.75443152,40
42.1404682274,331.241471572,292.114491345,40
42.474916388,331.73361204,292.60762682,40
42.8093645485,332.114715719,292.943915818,40
43.143812709,332.633779264,293.170043158,40
43.4782608696,332.958695652,293.534783438,40
43.8127090301,333.264632107,293.907578135,40
44.1471571906,333.863795987,294.127596237,40
44.4816053512,334.350334448,294.484791209,40
44.8160535117,334.947826087,295.07548765,40
45.1505016722,335.538795987,295.437652076,40
45.4849498328,335.882441472,295.801547884,40
45.8193979933,336.357274247,296.043985973,40
