raw_batch,local_trial,limb,source_csv,gt_source_samples,gt_start_seconds,gt_end_seconds,channel_1_imputed_samples,channel_2_imputed_samples,channel_3_imputed_samples,channel_4_imputed_samples,channel_5_imputed_samples,channel_6_imputed_samples,channel_7_imputed_samples,channel_8_imputed_samples,used,rejection_reason
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,391,21.65,25.55,0,0,0,0,0,0,0,0,yes,
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,391,21.65,25.55,0,0,0,0,0,0,0,0,yes,
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,311,22.13,25.23,0,0,0,0,0,0,0,0,yes,
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,311,22.13,25.23,0,0,0,0,0,0,0,0,yes,
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,386,21.06,24.91,1,1,1,1,1,1,1,1,yes,
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,386,21.06,24.91,1,1,1,1,1,1,1,1,yes,
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,254,22.46,24.99,1,1,1,1,1,1,1,1,yes,
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,254,22.46,24.99,1,1,1,1,1,1,1,1,yes,
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,368,19.45,23.12,0,0,0,0,0,0,0,0,yes,
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,368,19.45,23.12,0,0,0,0,0,0,0,0,yes,
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,461,20.92,25.52,1,1,1,1,1,1,1,1,yes,
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,461,20.92,25.52,1,1,1,1,1,1,1,1,yes,
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,244,21.41,23.84,0,0,0,0,0,0,0,0,yes,
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,244,21.41,23.84,0,0,0,0,0,0,0,0,yes,
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,372,19.0,22.71,0,0,0,0,0,0,0,0,yes,
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,372,19.0,22.71,0,0,0,0,0,0,0,0,yes,
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,329,21.43,24.71,1,1,1,1,1,1,1,1,yes,
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,329,21.43,24.71,1,1,1,1,1,1,1,1,yes,
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,497,19.64,24.6,0,0,0,0,0,0,0,0,yes,
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,497,19.64,24.6,0,0,0,0,0,0,0,0,yes,
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,497,19.67,24.63,1,1,1,1,1,1,1,1,yes,
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,497,19.67,24.63,1,1,1,1,1,1,1,1,yes,
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,354,20.2,23.73,0,0,0,0,0,0,0,0,yes,
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,354,20.2,23.73,0,0,0,0,0,0,0,0,yes,
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,369,21.84,25.52,1,1,1,1,1,1,1,1,yes,
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,369,21.84,25.52,1,1,1,1,1,1,1,1,yes,
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,288,20.34,23.21,1,1,1,1,1,1,1,1,yes,
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,288,20.34,23.21,1,1,1,1,1,1,1,1,yes,
jitu_21,5,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,506,19.51,24.56,1,1,1,1,1,1,1,1,yes,
jitu_21,5,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,506,19.51,24.56,1,1,1,1,1,1,1,1,yes,
jitu_21,6,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,446,20.41,24.86,1,1,1,1,1,1,1,1,yes,
jitu_21,6,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,446,20.41,24.86,1,1,1,1,1,1,1,1,yes,
jitu_21,7,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,628,17.25,23.52,1,1,1,1,1,1,1,1,yes,
jitu_21,7,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,628,17.25,23.52,1,1,1,1,1,1,1,1,yes,
jitu_21,8,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,444,20.18,24.61,1,1,1,1,1,1,1,1,yes,
jitu_21,8,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,444,20.18,24.61,1,1,1,1,1,1,1,1,yes,
jitu_21,9,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,326,19.93,23.18,0,0,0,0,0,0,0,0,yes,
jitu_21,9,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,326,19.93,23.18,0,0,0,0,0,0,0,0,yes,
jitu_21,10,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,265,19.49,22.13,1,1,1,1,1,1,1,1,yes,
jitu_21,10,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,265,19.49,22.13,1,1,1,1,1,1,1,1,yes,
