record,physical_trial,gt_start_seconds,gt_end_seconds,gt_duration_seconds,reference_limb_used_by_segmentation,stored_gt_grouping,l_candidate_peak_at_gt_start_seconds,l_candidate_peaks_after_gt_start_seconds,l_candidate_peaks_after_gt_start_count,r_candidate_peak_at_gt_start_seconds,r_candidate_peaks_after_gt_start_seconds,r_candidate_peaks_after_gt_start_count
jitu_1,1,21.65,25.55,3.900000000000002,R,one terminal stopping/ending region,21.65,,0,,22.23,1
jitu_1,2,22.13,25.23,3.1000000000000014,R,one terminal stopping/ending region,,,0,22.13,,0
jitu_1,3,21.06,24.91,3.8500000000000014,R,one terminal stopping/ending region,21.06,,0,,21.63,1
jitu_1,4,22.46,24.99,2.5299999999999976,L,one terminal stopping/ending region,22.46,,0,,23.57,1
jitu_1,5,19.45,23.12,3.6700000000000017,R,one terminal stopping/ending region,19.45,,0,,20.28,1
jitu_1,6,20.92,25.52,4.599999999999998,none,one terminal stopping/ending region,,,0,20.92,,0
jitu_1,7,21.41,23.84,2.4299999999999997,R,one terminal stopping/ending region,,,0,21.41,,0
jitu_1,8,19.0,22.71,3.710000000000001,R,one terminal stopping/ending region,19.00,,0,,19.72,1
jitu_1,9,21.43,24.71,3.280000000000001,none,one terminal stopping/ending region,,,0,21.43,,0
jitu_1,10,19.64,24.6,4.960000000000001,R,one terminal stopping/ending region,19.64,,0,,20.59,1
jitu_21,1,19.67,24.63,4.959999999999997,none,one terminal stopping/ending region,,,0,19.67,,0
jitu_21,2,20.2,23.73,3.530000000000001,R,one terminal stopping/ending region,,,0,20.20,,0
jitu_21,3,21.84,25.52,3.6799999999999997,R,one terminal stopping/ending region,,,0,21.84,,0
jitu_21,4,20.34,23.21,2.870000000000001,none,one terminal stopping/ending region,,,0,20.34,,0
jitu_21,5,19.51,24.56,5.049999999999997,R,one terminal stopping/ending region,19.51,,0,,20.10,1
jitu_21,6,20.41,24.86,4.449999999999999,R,one terminal stopping/ending region,20.41,,0,,21.49,1
jitu_21,7,17.25,23.52,6.27,R,one terminal stopping/ending region,17.25,,0,,18.12;19.95;22.21,3
jitu_21,8,20.18,24.61,4.43,R,one terminal stopping/ending region,20.18,,0,,21.08,1
jitu_21,9,19.93,23.18,3.25,L,one terminal stopping/ending region,,21.11,1,19.93,,0
jitu_21,10,19.49,22.13,2.6400000000000006,none,one terminal stopping/ending region,,,0,19.49,,0
