record,physical_trial,limb,source_csv,gt_start_seconds,gt_last_sample_seconds,gt_phase_end_seconds,gt_source_samples,gt_duration_seconds,label_status_values,definition_match
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,21.65,25.55,25.55,391,3.900000000000002,model_assisted_not_ground_truth,yes
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,21.65,25.55,25.55,391,3.900000000000002,model_assisted_not_ground_truth,yes
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,22.13,25.23,25.23,311,3.1000000000000014,model_assisted_not_ground_truth,yes
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,22.13,25.23,25.23,311,3.1000000000000014,model_assisted_not_ground_truth,yes
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,21.06,24.91,24.91,386,3.8500000000000014,model_assisted_not_ground_truth,yes
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,21.06,24.91,24.91,386,3.8500000000000014,model_assisted_not_ground_truth,yes
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,22.46,24.99,24.99,254,2.5299999999999976,model_assisted_not_ground_truth,yes
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,22.46,24.99,24.99,254,2.5299999999999976,model_assisted_not_ground_truth,yes
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,19.45,23.12,23.12,368,3.6700000000000017,model_assisted_not_ground_truth,yes
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,19.45,23.12,23.12,368,3.6700000000000017,model_assisted_not_ground_truth,yes
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,20.92,25.52,25.52,461,4.599999999999998,model_assisted_not_ground_truth,yes
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,20.92,25.52,25.52,461,4.599999999999998,model_assisted_not_ground_truth,yes
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,21.41,23.84,23.84,244,2.4299999999999997,model_assisted_not_ground_truth,yes
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,21.41,23.84,23.84,244,2.4299999999999997,model_assisted_not_ground_truth,yes
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,19.0,22.71,22.71,372,3.710000000000001,model_assisted_not_ground_truth,yes
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,19.0,22.71,22.71,372,3.710000000000001,model_assisted_not_ground_truth,yes
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,21.43,24.71,24.71,329,3.280000000000001,model_assisted_not_ground_truth,yes
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,21.43,24.71,24.71,329,3.280000000000001,model_assisted_not_ground_truth,yes
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,19.64,24.6,24.6,497,4.960000000000001,model_assisted_not_ground_truth,yes
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,19.64,24.6,24.6,497,4.960000000000001,model_assisted_not_ground_truth,yes
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,19.67,24.63,24.63,497,4.959999999999997,model_assisted_not_ground_truth,yes
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,19.67,24.63,24.63,497,4.959999999999997,model_assisted_not_ground_truth,yes
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,20.2,23.73,23.73,354,3.530000000000001,model_assisted_not_ground_truth,yes
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,20.2,23.73,23.73,354,3.530000000000001,model_assisted_not_ground_truth,yes
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,21.84,25.52,25.52,369,3.6799999999999997,model_assisted_not_ground_truth,yes
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,21.84,25.52,25.52,369,3.6799999999999997,model_assisted_not_ground_truth,yes
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,20.34,23.21,23.21,288,2.870000000000001,model_assisted_not_ground_truth,yes
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,20.34,23.21,23.21,288,2.870000000000001,model_assisted_not_ground_truth,yes
jitu_21,5,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,19.51,24.56,24.56,506,5.049999999999997,model_assisted_not_ground_truth,yes
jitu_21,5,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,19.51,24.56,24.56,506,5.049999999999997,model_assisted_not_ground_truth,yes
jitu_21,6,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,20.41,24.86,24.86,446,4.449999999999999,model_assisted_not_ground_truth,yes
jitu_21,6,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,20.41,24.86,24.86,446,4.449999999999999,model_assisted_not_ground_truth,yes
jitu_21,7,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,17.25,23.52,23.52,628,6.27,model_assisted_not_ground_truth,yes
jitu_21,7,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,17.25,23.52,23.52,628,6.27,model_assisted_not_ground_truth,yes
jitu_21,8,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,20.18,24.61,24.61,444,4.43,model_assisted_not_ground_truth,yes
jitu_21,8,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,20.18,24.61,24.61,444,4.43,model_assisted_not_ground_truth,yes
jitu_21,9,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,19.93,23.18,23.18,326,3.25,model_assisted_not_ground_truth,yes
jitu_21,9,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,19.93,23.18,23.18,326,3.25,model_assisted_not_ground_truth,yes
jitu_21,10,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,19.49,22.13,22.13,265,2.6400000000000006,model_assisted_not_ground_truth,yes
jitu_21,10,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,19.49,22.13,22.13,265,2.6400000000000006,model_assisted_not_ground_truth,yes
