normalized_slt_percent,fmg_channel_3_mean,fmg_channel_3_standard_deviation,contributing_trace_count
0,311.9125,269.371766512,40
0.334448160535,312.051212375,269.524575495,40
0.66889632107,312.147240803,269.669120697,40
1.00334448161,312.165551839,269.862002221,40
1.33779264214,312.182525084,269.99746178,40
1.67224080268,312.118979933,270.020382445,40
2.00668896321,312.002090301,270.027998276,40
2.34113712375,311.928010033,269.908430268,40
2.67558528428,311.886956522,269.814148046,40
3.01003344482,311.789046823,269.748877736,40
3.34448160535,311.714046823,269.63984106,40
3.67892976589,311.52583612,269.543711233,40
4.01337792642,311.289882943,269.386200433,40
4.34782608696,311.108695652,269.142572073,40
4.68227424749,310.93687291,268.928044678,40
5.01672240803,310.749498328,268.741300595,40
5.35117056856,310.566220736,268.499502354,40
5.6856187291,310.388294314,268.310286171,40
6.02006688963,310.250167224,268.159612385,40
6.35451505017,310.129431438,268.038257743,40
6.6889632107,310.063294314,267.940387148,40
7.02341137124,310.094397993,267.823418305,40
7.35785953177,310.002926421,267.806302346,40
7.69230769231,309.886538462,267.839228574,40
8.02675585284,309.928511706,267.844558781,40
8.36120401338,310.04958194,267.859074689,40
8.69565217391,310.222826087,267.9188215,40
9.03010033445,310.354264214,268.085107353,40
9.36454849498,310.423829431,268.328038029,40
9.69899665552,310.634698997,268.522331289,40
10.0334448161,310.866220736,268.708594674,40
10.3678929766,311.036287625,268.869677011,40
10.7023411371,311.264381271,268.970901502,40
11.0367892977,311.515301003,269.099293317,40
11.3712374582,311.752759197,269.300075234,40
11.7056856187,311.982692308,269.486623249,40
12.0401337793,312.210785953,269.668590391,40
12.3745819398,312.344397993,269.912994118,40
12.7090301003,312.449623746,270.146061306,40
13.0434782609,312.603804348,270.36436144,40
13.3779264214,312.775961538,270.601891769,40
13.7123745819,312.91722408,270.773667819,40
14.0468227425,313.036120401,270.888201229,40
14.381270903,313.150083612,271.00264478,40
14.7157190635,313.250250836,271.155493185,40
15.0501672241,313.291973244,271.29770951,40
15.3846153846,313.269230769,271.442731954,40
15.7190635452,313.283110368,271.58043253,40
16.0535117057,313.279849498,271.67060664,40
16.3879598662,313.331229097,271.791254408,40
16.7224080268,313.363670569,271.897230372,40
17.0568561873,313.347867893,271.92561242,40
17.3913043478,313.361956522,271.924859553,40
17.7257525084,313.447324415,271.913853032,40
18.0602006689,313.53277592,271.941543075,40
18.3946488294,313.64138796,272.041701341,40
18.72909699,313.793060201,272.086588062,40
19.0635451505,313.935785953,272.110772557,40
19.397993311,313.943979933,272.118549218,40
19.7324414716,313.898578595,272.067079553,40
20.0668896321,313.79180602,272.02208878,40
20.4013377926,313.616011706,272.016723727,40
20.7357859532,313.556103679,272.059551764,40
21.0702341137,313.453637124,272.002638368,40
21.4046822742,313.469816054,271.872777487,40
21.7391304348,313.617934783,271.761893868,40
22.0735785953,313.523829431,271.598184841,40
22.4080267559,313.207316054,271.391312841,40
22.7424749164,312.816973244,271.19859861,40
23.0769230769,312.485576923,270.858725197,40
23.4113712375,312.228595318,270.448907963,40
23.745819398,311.969774247,270.011193263,40
24.0802675585,311.612458194,269.480800717,40
24.4147157191,311.054431438,268.719475633,40
24.7491638796,310.446237458,267.856259012,40
25.0836120401,309.876170569,266.999064533,40
25.4180602007,309.117809365,266.011932616,40
25.7525083612,308.112625418,264.838589242,40
26.0869565217,306.917391304,263.524791378,40
26.4214046823,305.689799331,262.22520338,40
26.7558528428,304.232692308,260.828337532,40
27.0903010033,302.432274247,259.054926572,40
27.4247491639,300.578344482,257.059658684,40
27.7591973244,298.545652174,254.90233223,40
28.0936454849,296.321989967,252.746929892,40
28.4280936455,294.090886288,250.528528666,40
28.762541806,291.725167224,248.122471809,40
29.0969899666,288.863210702,245.462009852,40
29.4314381271,286.186120401,243.029044778,40
29.7658862876,283.521237458,240.376562581,40
30.1003344482,280.903511706,237.663858018,40
30.4347826087,278.110326087,234.930894365,40
30.7692307692,275.255769231,232.230507037,40
31.1036789298,272.776588629,229.714203304,40
31.4381270903,270.341220736,227.118599809,40
31.7725752508,267.852048495,224.51057557,40
32.1070234114,265.14632107,221.699375795,40
32.4414715719,262.493060201,218.968718818,40
32.7759197324,259.837541806,216.33717286,40
33.110367893,257.110367893,213.752541881,40
33.4448160535,254.268979933,211.009473689,40
33.779264214,251.357734114,208.246677653,40
34.1137123746,248.560033445,205.70577381,40
34.4481605351,246.066095318,203.178545484,40
34.7826086957,243.644021739,200.808063101,40
35.1170568562,241.165133779,198.562465181,40
35.4515050167,238.627759197,196.146864765,40
35.7859531773,236.016304348,193.698671867,40
36.1204013378,233.672909699,191.493605912,40
36.4548494983,231.070443144,188.969328628,40
36.7892976589,228.447993311,186.514362677,40
37.1237458194,226.073202341,184.298535989,40
37.4581939799,223.889966555,182.220818939,40
37.7926421405,221.952508361,180.335499007,40
38.127090301,220.143478261,178.592739811,40
38.4615384615,218.551923077,177.050080576,40
38.7959866221,216.782859532,175.328956861,40
39.1304347826,215.060869565,173.685892908,40
39.4648829431,213.373160535,172.200909415,40
39.7993311037,211.7590301,170.794302185,40
40.1337792642,209.989882943,169.202813613,40
40.4682274247,208.191471572,167.686935941,40
40.8026755853,206.676337793,166.485288692,40
41.1371237458,205.446404682,165.577680084,40
41.4715719064,204.21638796,164.742627865,40
41.8060200669,202.815384615,163.787531205,40
42.1404682274,201.664799331,163.005192235,40
42.474916388,200.463461538,162.340503647,40
42.8093645485,199.193729097,161.643444525,40
43.143812709,197.956856187,161.033559998,40
43.4782608696,196.585326087,160.328982685,40
43.8127090301,195.101755853,159.502626063,40
44.1471571906,193.198578595,158.450240707,40
44.4816053512,191.226672241,157.349335,40
44.8160535117,189.117391304,156.052698606,40
45.1505016722,187.069188963,154.762883352,40
45.4849498328,185.047157191,153.486904373,40
45.8193979933,182.753595318,152.127659326,40
46.1538461538,180.596153846,150.953679119,40
46.4882943144,178.884782609,149.877603276,40
46.8227424749,177.344565217,148.845362958,40
47.1571906355,175.807441472,147.948599018,40
47.491638796,174.666722408,147.352014038,40
47.8260869565,173.865217391,146.923111973,40
48.1605351171,173.126923077,146.548098973,40
48.4949832776,172.382232441,146.15444858,40
48.8294314381,171.875501672,145.81273187,40
49.1638795987,171.474080268,145.555875184,40
49.4983277592,171.28729097,145.576834216,40
49.8327759197,171.240468227,145.631953676,40
50.1672240803,171.46291806,145.715215976,40
50.5016722408,171.93014214,145.909448284,40
50.8361204013,172.431730769,146.247945176,40
51.1705685619,173.019607023,146.778300201,40
51.5050167224,173.640259197,147.259672744,40
51.8394648829,174.407817726,147.721302891,40
52.1739130435,175.246195652,148.275485333,40
52.508361204,176.145610368,148.858326526,40
52.8428093645,177.115802676,149.428346947,40
53.1772575251,178.181354515,150.119946604,40
53.5117056856,179.244607023,150.89479927,40
53.8461538462,180.361538462,151.620456341,40
54.1806020067,181.574080268,152.339341145,40
54.5150501672,182.719648829,153.075462751,40
54.8494983278,183.807859532,153.814403267,40
55.1839464883,184.966053512,154.643925894,40
55.5183946488,186.269063545,155.502162223,40
55.8528428094,187.69916388,156.533602713,40
56.1872909699,189.080016722,157.55073435,40
56.5217391304,190.358695652,158.399287519,40
56.856187291,191.647240803,159.346891355,40
57.1906354515,192.945401338,160.343605382,40
57.525083612,194.247240803,161.315046592,40
57.8595317726,195.673578595,162.359680145,40
58.1939799331,197.076505017,163.404298035,40
58.5284280936,198.226755853,164.329573217,40
58.8628762542,199.291889632,165.193258932,40
59.1973244147,200.50451505,166.164982326,40
59.5317725753,201.734698997,167.180218113,40
59.8662207358,203.11270903,168.261497343,40
60.2006688963,204.354013378,169.219148854,40
60.5351170569,205.548829431,170.149772886,40
60.8695652174,206.738043478,171.089880779,40
61.2040133779,207.899916388,172.020819162,40
61.5384615385,209.221153846,172.982496624,40
61.872909699,210.30388796,173.754781227,40
62.2073578595,211.24264214,174.501305434,40
62.5418060201,212.374623746,175.413448571,40
62.8762541806,213.453386288,176.134160157,40
63.2107023411,214.254598662,176.650410835,40
63.5451505017,214.881981605,177.16489498,40
63.8795986622,215.685953177,177.737116849,40
64.2140468227,216.375501672,178.236532157,40
64.5484949833,216.929849498,178.750355069,40
64.8829431438,217.443645485,179.09938888,40
65.2173913043,217.840217391,179.244073385,40
65.5518394649,218.271404682,179.497904912,40
65.8862876254,218.735785953,179.914936714,40
66.220735786,219.31229097,180.437805298,40
66.5551839465,219.861454849,180.852309381,40
66.889632107,220.273244147,181.114698013,40
67.2240802676,220.652341137,181.28306847,40
67.5585284281,220.742391304,181.246356444,40
67.8929765886,220.813545151,181.255600216,40
68.2274247492,220.983946488,181.449488688,40
68.5618729097,221.205518395,181.633014772,40
68.8963210702,221.573494983,181.799822286,40
69.2307692308,222.0125,182.102371476,40
69.5652173913,222.434782609,182.533224311,40
69.8996655518,222.56229097,182.684305125,40
70.2341137124,222.803177258,182.95089174,40
70.5685618729,222.984866221,183.06208535,40
70.9030100334,223.072491639,182.952767636,40
71.237458194,223.125668896,182.785636238,40
71.5719063545,222.863545151,182.420684419,40
71.9063545151,222.694481605,182.262688857,40
72.2408026756,222.574623746,182.102284638,40
72.5752508361,222.615551839,181.980133798,40
72.9096989967,222.607901338,181.683383916,40
73.2441471572,222.406187291,181.225839706,40
73.5785953177,222.261413043,180.849044799,40
73.9130434783,221.97173913,180.419377957,40
74.2474916388,221.583110368,179.984387544,40
74.5819397993,221.25062709,179.406776751,40
74.9163879599,220.903344482,178.762898607,40
75.2508361204,220.626379599,178.273973006,40
75.5852842809,220.372742475,177.807965747,40
75.9197324415,219.710200669,177.076354502,40
76.254180602,218.716722408,176.073172288,40
76.5886287625,217.829849498,174.997364323,40
76.9230769231,217.438461538,174.351238026,40
77.2575250836,217.117140468,173.937264602,40
77.5919732441,216.706020067,173.392546833,40
77.9264214047,216.050501672,172.645484229,40
78.2608695652,214.885869565,171.445173214,40
78.5953177258,214.027759197,170.396039692,40
78.9297658863,213.51229097,169.691084329,40
79.2642140468,213.056438127,169.081228806,40
79.5986622074,212.763712375,168.575097988,40
79.9331103679,212.356772575,167.785652886,40
80.2675585284,212.204264214,167.184646443,40
80.602006689,212.060033445,166.728900611,40
80.9364548495,211.85777592,166.308177235,40
81.27090301,211.662792642,165.923662019,40
81.6053511706,211.222533445,165.171712826,40
81.9397993311,210.965551839,164.613451338,40
82.2742474916,211.045652174,164.362361504,40
82.6086956522,211.60326087,164.334257315,40
82.9431438127,212.421822742,164.63165155,40
83.2775919732,213.249247492,165.214323799,40
83.6120401338,214.554431438,166.463662991,40
83.9464882943,215.621822742,167.490855309,40
84.2809364548,216.754431438,168.479000275,40
84.6153846154,218.375,169.974188945,40
84.9498327759,220.122742475,171.770164228,40
85.2842809365,222.27867893,174.000803233,40
85.618729097,224.624331104,176.355449959,40
85.9531772575,227.042809365,178.691105614,40
86.2876254181,229.857023411,181.389012463,40
86.6220735786,232.732274247,184.23313753,40
86.9565217391,235.480434783,187.084587571,40
87.2909698997,238.584197324,190.115950477,40
87.6254180602,241.607441472,193.194428251,40
87.9598662207,244.229431438,196.016225035,40
88.2943143813,247.03645485,198.926251397,40
88.6287625418,250.177006689,202.13769204,40
88.9632107023,253.223913043,205.289724731,40
89.2976588629,256.156772575,208.333202696,40
89.6321070234,258.81229097,211.205776921,40
89.9665551839,261.181103679,213.840095513,40
90.3010033445,263.583026756,216.486303177,40
90.635451505,265.963168896,219.12807362,40
90.9698996656,268.130058528,221.550827013,40
91.3043478261,270.495108696,224.156410931,40
91.6387959866,272.894690635,226.826389065,40
91.9732441472,275.258110368,229.421399147,40
92.3076923077,277.688461538,232.144428079,40
92.6421404682,280.205016722,235.018819242,40
92.9765886288,282.730685619,237.959521399,40
93.3110367893,285.240802676,240.877464206,40
93.6454849498,287.62541806,243.537595798,40
93.9799331104,289.660618729,245.91478732,40
94.3143812709,291.807525084,248.468506186,40
94.6488294314,293.895986622,250.864747633,40
94.983277592,295.768645485,252.950620189,40
95.3177257525,297.611454849,255.092731783,40
95.652173913,299.182608696,257.015888493,40
95.9866220736,300.543687291,258.63490019,40
96.3210702341,301.809113712,260.167940602,40
96.6555183946,303.096697324,261.596885492,40
96.9899665552,304.150585284,262.830206959,40
97.3244147157,304.826003344,263.87977845,40
97.6588628763,305.537040134,264.875117746,40
97.9933110368,306.15409699,265.807024614,40
98.3277591973,306.729431438,266.720266432,40
98.6622073579,307.225167224,267.478808026,40
98.9966555184,307.431521739,268.09673732,40
99.3311036789,307.485033445,268.659509015,40
99.6655518395,307.741889632,269.121391958,40
100,308.05,269.557526328,40
