record,physical_trial,slt_start_seconds,slt_end_boundary_seconds,slt_duration_seconds,reference_limb_recorded,stored_slt_grouping,l_candidate_peak_at_start_seconds,l_candidate_peak_at_end_seconds,l_candidate_peaks_strictly_inside_slt_seconds,l_endpoint_pair_matches_slt_boundaries,r_candidate_peak_at_start_seconds,r_candidate_peak_at_end_seconds,r_candidate_peaks_strictly_inside_slt_seconds,r_endpoint_pair_matches_slt_boundaries
jitu_1,1,6.51,8.19,1.6799999999999997,R,one selected transition interval,,,7.63,no,6.51,8.19,,yes
jitu_1,2,6.6,8.28,1.6799999999999997,R,one selected transition interval,,,7.48,no,6.60,8.28,,yes
jitu_1,3,5.87,7.57,1.7000000000000002,R,one selected transition interval,,,,no,5.87,7.57,,yes
jitu_1,4,17.61,18.94,1.3300000000000018,L,one selected transition interval,17.61,18.94,,yes,,,18.16,no
jitu_1,5,4.88,6.57,1.6900000000000004,R,one selected transition interval,,,5.81,no,4.88,6.57,,yes
jitu_1,6,12.63,14.31,1.6799999999999997,none,one selected transition interval,,,,no,12.63,14.31,,yes
jitu_1,7,10.95,12.83,1.8800000000000008,R,one selected transition interval,,,12.07,no,10.95,12.83,,yes
jitu_1,8,9.36,11.05,1.6900000000000013,R,one selected transition interval,,,10.45,no,9.36,11.05,,yes
jitu_1,9,6.05,7.55,1.5,none,one selected transition interval,,,6.99,no,6.05,7.55,,yes
jitu_1,10,8.77,10.57,1.8000000000000007,R,one selected transition interval,,,10.01,no,8.77,10.57,,yes
jitu_21,1,9.07,10.66,1.5899999999999999,none,one selected transition interval,,,10.06,no,9.07,10.66,,yes
jitu_21,2,4.78,6.34,1.5599999999999996,R,one selected transition interval,,,5.85,no,4.78,6.34,,yes
jitu_21,3,6.24,7.94,1.7000000000000002,R,one selected transition interval,,,7.37,no,6.24,7.94,,yes
jitu_21,4,6.49,8.32,1.83,none,one selected transition interval,,,7.55,no,6.49,8.32,,yes
jitu_21,5,11.65,13.38,1.7300000000000004,R,one selected transition interval,,,12.71,no,11.65,13.38,,yes
jitu_21,6,6.2,7.79,1.5899999999999999,R,one selected transition interval,,,7.27,no,6.20,7.79,,yes
jitu_21,7,8.04,9.69,1.6500000000000004,R,one selected transition interval,,,9.06,no,8.04,9.69,,yes
jitu_21,8,5.62,7.33,1.71,R,one selected transition interval,,,,no,5.62,7.33,,yes
jitu_21,9,8.68,10.35,1.67,L,one selected transition interval,8.68,10.35,,yes,,,9.55,no
jitu_21,10,4.26,5.9,1.6400000000000006,none,one selected transition interval,,,5.27,no,4.26,5.90,,yes
