record,physical_trial,limb,source_csv,slt_start_seconds,slt_last_sample_seconds,slt_phase_end_boundary_seconds,slt_source_samples,slt_duration_to_phase_boundary_seconds,label_status_values,definition_match
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,6.51,8.18,8.19,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,6.51,8.18,8.19,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,6.6,8.27,8.28,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,6.6,8.27,8.28,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,5.87,7.56,7.57,170,1.7000000000000002,model_assisted_not_ground_truth,yes
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,5.87,7.56,7.57,170,1.7000000000000002,model_assisted_not_ground_truth,yes
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,17.61,18.93,18.94,133,1.3300000000000018,model_assisted_not_ground_truth,yes
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,17.61,18.93,18.94,133,1.3300000000000018,model_assisted_not_ground_truth,yes
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,4.88,6.56,6.57,169,1.6900000000000004,model_assisted_not_ground_truth,yes
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,4.88,6.56,6.57,169,1.6900000000000004,model_assisted_not_ground_truth,yes
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,12.63,14.3,14.31,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,12.63,14.3,14.31,168,1.6799999999999997,model_assisted_not_ground_truth,yes
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,10.95,12.82,12.83,188,1.8800000000000008,model_assisted_not_ground_truth,yes
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,10.95,12.82,12.83,188,1.8800000000000008,model_assisted_not_ground_truth,yes
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,9.36,11.04,11.05,169,1.6900000000000013,model_assisted_not_ground_truth,yes
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,9.36,11.04,11.05,169,1.6900000000000013,model_assisted_not_ground_truth,yes
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,6.05,7.54,7.55,150,1.5,model_assisted_not_ground_truth,yes
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,6.05,7.54,7.55,150,1.5,model_assisted_not_ground_truth,yes
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,8.77,10.56,10.57,180,1.8000000000000007,model_assisted_not_ground_truth,yes
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,8.77,10.56,10.57,180,1.8000000000000007,model_assisted_not_ground_truth,yes
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,9.07,10.65,10.66,159,1.5899999999999999,model_assisted_not_ground_truth,yes
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,9.07,10.65,10.66,159,1.5899999999999999,model_assisted_not_ground_truth,yes
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,4.78,6.33,6.34,156,1.5599999999999996,model_assisted_not_ground_truth,yes
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,4.78,6.33,6.34,156,1.5599999999999996,model_assisted_not_ground_truth,yes
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,6.24,7.93,7.94,170,1.7000000000000002,model_assisted_not_ground_truth,yes
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,6.24,7.93,7.94,170,1.7000000000000002,model_assisted_not_ground_truth,yes
