normalized_sslw_percent,fmg_channel_1_mean,fmg_channel_1_standard_deviation,contributing_trace_count
0,404.6375,273.449035185,40
0.334448160535,403.130602007,275.559306273,40
0.66889632107,402.42867893,275.610358738,40
1.00334448161,403.947658863,274.217742245,40
1.33779264214,405.077508361,273.771636397,40
1.67224080268,406.17132107,273.743875628,40
2.00668896321,406.761036789,273.996148535,40
2.34113712375,407.82826087,273.52385155,40
2.67558528428,410.110451505,271.210191802,40
3.01003344482,411.884448161,267.051501833,40
3.34448160535,411.709364548,260.448311663,40
3.67892976589,404.490677258,249.044920404,40
4.01337792642,385.80861204,233.134335676,40
4.34782608696,356.78423913,214.789374805,40
4.68227424749,324.452424749,199.34288295,40
5.01672240803,298.117516722,195.792620525,40
5.35117056856,280.284448161,194.720636915,40
5.6856187291,272.345108696,190.01481821,40
6.02006688963,267.690635451,181.203148684,40
6.35451505017,264.469732441,169.623446514,40
6.6889632107,265.97132107,161.333997332,40
7.02341137124,268.910744147,152.842931479,40
7.35785953177,268.639214047,147.82589935,40
7.69230769231,271.705769231,147.233494959,40
8.02675585284,273.109197324,147.749124223,40
8.36120401338,273.925877926,148.60109538,40
8.69565217391,271.176086957,147.692504526,40
9.03010033445,268.582692308,143.766119099,40
9.36454849498,262.645401338,136.122348514,40
9.69899665552,259.801839465,131.306271293,40
10.0334448161,259.602006689,130.997066111,40
10.3678929766,271.374916388,146.054680203,40
10.7023411371,285.765886288,167.313350446,40
11.0367892977,300.021404682,185.109862248,40
11.3712374582,313.751003344,199.95384364,40
11.7056856187,324.743478261,211.59259233,40
12.0401337793,331.807023411,218.18916924,40
12.3745819398,339.931103679,224.289656628,40
12.7090301003,346.730267559,228.800623132,40
13.0434782609,354.069565217,232.547566897,40
13.3779264214,357.873244147,235.588158922,40
13.7123745819,361.468896321,236.401311343,40
14.0468227425,364.384949833,236.528907787,40
14.381270903,366.924080268,235.478583763,40
14.7157190635,367.292140468,233.550869623,40
15.0501672241,366.717307692,231.253644232,40
15.3846153846,364.965384615,227.036811915,40
15.7190635452,359.487123746,219.697302812,40
16.0535117057,349.811329431,209.339337976,40
16.3879598662,334.516011706,199.389440837,40
16.7224080268,320.578762542,191.093895566,40
17.0568561873,307.952132107,185.730118496,40
17.3913043478,299.502173913,183.122303254,40
17.7257525084,292.141053512,177.139541146,40
18.0602006689,288.109991639,173.009209498,40
18.3946488294,289.934782609,169.955390165,40
18.72909699,288.568018395,168.441198458,40
19.0635451505,290.534155518,173.376798009,40
19.397993311,293.177132107,180.251832806,40
19.7324414716,296.388963211,183.667097675,40
20.0668896321,300.134364548,186.375420808,40
20.4013377926,304.890217391,189.308243033,40
20.7357859532,309.914381271,190.995597406,40
21.0702341137,312.362792642,192.254441433,40
21.4046822742,311.509866221,194.126565576,40
21.7391304348,311.080978261,195.692466684,40
22.0735785953,312.709782609,195.880646364,40
22.4080267559,326.580769231,200.416783671,40
22.7424749164,343.305811037,211.563600734,40
23.0769230769,352.677884615,221.031039429,40
23.4113712375,360.600794314,227.55711483,40
23.745819398,367.19222408,232.803023064,40
24.0802675585,372.379640468,238.436138888,40
