raw_batch,local_trial,limb,source_csv,sslw_source_samples,sslw_start_seconds,sslw_end_seconds,channel_1_imputed_samples,channel_2_imputed_samples,channel_3_imputed_samples,channel_4_imputed_samples,channel_5_imputed_samples,channel_6_imputed_samples,channel_7_imputed_samples,channel_8_imputed_samples,used,rejection_reason
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,1346,8.19,21.64,0,0,0,0,0,0,0,0,yes,
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,1346,8.19,21.64,0,0,0,0,0,0,0,0,yes,
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,1385,8.28,22.12,0,0,0,0,0,0,0,0,yes,
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,1385,8.28,22.12,0,0,0,0,0,0,0,0,yes,
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,1349,7.57,21.05,0,0,0,0,0,0,0,0,yes,
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,1349,7.57,21.05,0,0,0,0,0,0,0,0,yes,
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,352,18.94,22.45,0,0,0,0,0,0,0,0,yes,
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,352,18.94,22.45,0,0,0,0,0,0,0,0,yes,
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,1288,6.57,19.44,0,0,0,0,0,0,0,0,yes,
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,1288,6.57,19.44,0,0,0,0,0,0,0,0,yes,
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,661,14.31,20.91,0,0,0,0,0,0,0,0,yes,
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,661,14.31,20.91,0,0,0,0,0,0,0,0,yes,
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,858,12.83,21.4,0,0,0,0,0,0,0,0,yes,
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,858,12.83,21.4,0,0,0,0,0,0,0,0,yes,
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,795,11.05,18.99,0,0,0,0,0,0,0,0,yes,
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,795,11.05,18.99,0,0,0,0,0,0,0,0,yes,
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,1388,7.55,21.42,0,0,0,0,0,0,0,0,yes,
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,1388,7.55,21.42,0,0,0,0,0,0,0,0,yes,
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,907,10.57,19.63,0,0,0,0,0,0,0,0,yes,
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,907,10.57,19.63,0,0,0,0,0,0,0,0,yes,
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,901,10.66,19.66,0,0,0,0,0,0,0,0,yes,
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,901,10.66,19.66,0,0,0,0,0,0,0,0,yes,
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,1386,6.34,20.19,0,0,0,0,0,0,0,0,yes,
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,1386,6.34,20.19,0,0,0,0,0,0,0,0,yes,
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,1390,7.94,21.83,0,0,0,0,0,0,0,0,yes,
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,1390,7.94,21.83,0,0,0,0,0,0,0,0,yes,
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,1202,8.32,20.33,0,0,0,0,0,0,0,0,yes,
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,1202,8.32,20.33,0,0,0,0,0,0,0,0,yes,
