record,physical_trial,sslw_start_seconds,sslw_end_boundary_seconds,sslw_duration_seconds,reference_limb_used_by_segmentation,l_candidate_peak_times_seconds,l_candidate_peak_boundary_count,l_candidate_interpeak_intervals,r_candidate_peak_times_seconds,r_candidate_peak_boundary_count,r_candidate_interpeak_intervals,reference_limb_candidate_interpeak_intervals
jitu_1,1,8.19,21.65,13.459999999999999,R,9.14;10.76;12.96;14.74;16.40;17.88;19.70;21.65,8,7,8.19;9.91;11.70;13.61;15.27;16.95;18.63;20.41,8,7,7
jitu_1,2,8.28,22.13,13.85,R,9.22;11.01;12.90;14.72,4,3,8.28;9.92;11.73;13.56;15.48;17.05;18.63;20.24;22.13,9,8,8
jitu_1,3,7.57,21.06,13.489999999999998,R,12.44;14.31;15.95;17.59;19.27;21.06,6,5,7.57;9.47;11.27;13.09;14.85;16.50;18.12;19.88,8,7,7
jitu_1,4,18.94,22.46,3.5199999999999996,L,18.94;20.58;22.46,3,2,19.63;21.28,2,1,2
jitu_1,5,6.57,19.45,12.879999999999999,R,7.61;9.44;11.08;12.55;14.38;15.97;17.97;19.45,8,7,6.57;8.28;9.89;11.73;13.36;15.11;16.78;18.55,8,7,7
jitu_1,6,14.31,20.92,6.610000000000001,none,,0,0,14.31;16.02;17.58;19.19;20.92,5,4,
jitu_1,7,12.83,21.41,8.58,R,14.01;15.60;17.08;19.04,4,3,12.83;14.63;16.29;17.88;19.66;21.41,6,5,5
jitu_1,8,11.05,19.0,7.949999999999999,R,11.84;14.00;15.43;17.05;19.00,5,4,11.05;12.83;14.64;16.28;17.96,5,4,4
jitu_1,9,7.55,21.43,13.879999999999999,none,8.40;10.02;11.95,3,2,7.55;9.23;10.82;12.65;14.35;16.17;17.92;19.65;21.43,9,8,
jitu_1,10,10.57,19.64,9.07,R,11.71;13.25;14.69;16.65;18.22;19.64,6,5,10.57;12.29;13.90;15.61;17.24;18.89,6,5,5
jitu_21,1,10.66,19.67,9.010000000000002,none,11.73,1,0,10.66;12.52;14.27;16.09;17.86;19.67,6,5,
jitu_21,2,6.34,20.2,13.86,R,7.11;9.18;10.90;12.74;14.28;16.03,6,5,6.34;8.00;9.77;11.61;13.31;14.94;16.76;18.53;20.20,9,8,8
jitu_21,3,7.94,21.84,13.899999999999999,R,8.93;10.58;12.50;14.31,4,3,7.94;9.64;11.34;13.12;14.90;16.59;18.45;20.12;21.84,9,8,8
jitu_21,4,8.32,20.34,12.02,none,9.40,1,0,8.32;10.14;12.05;13.75;15.42;17.02;18.67;20.34,8,7,
jitu_21,5,13.38,19.51,6.130000000000001,R,14.49;16.04;17.34;19.51,4,3,13.38;14.95;16.62;18.24,4,3,3
jitu_21,6,7.79,20.41,12.620000000000001,R,8.87;10.23;12.04;13.71;15.48;17.31;19.03;20.41,8,7,7.79;9.41;11.05;12.72;14.47;16.20;17.90;19.68,8,7,7
jitu_21,7,9.69,17.25,7.5600000000000005,R,10.74;12.52;14.28;15.55;17.25,5,4,9.69;11.40;13.06;14.76;16.42,5,4,4
jitu_21,8,7.33,20.18,12.85,R,11.84;13.73;15.08;16.77;18.63;20.18,6,5,7.33;9.11;10.82;12.60;14.37;15.98;17.68;19.38,8,7,7
jitu_21,9,10.35,19.93,9.58,L,10.35;12.01;13.86;15.55;17.49;19.32,6,5,11.20;12.83;14.46;16.30;18.10;19.93,6,5,5
jitu_21,10,5.9,19.49,13.589999999999998,none,7.00;8.60;10.06;12.04;13.76;15.45;17.07;18.70,8,7,5.90;7.60;9.28;10.91;12.71;14.46;16.14;17.79;19.49,9,8,
