record,physical_trial,limb,source_csv,sslw_start_seconds,sslw_last_sample_seconds,sslw_phase_end_boundary_seconds,sslw_source_samples,sslw_duration_to_phase_boundary_seconds,label_status_values,definition_match
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,8.19,21.64,21.65,1346,13.459999999999999,model_assisted_not_ground_truth,yes
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,8.19,21.64,21.65,1346,13.459999999999999,model_assisted_not_ground_truth,yes
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,8.28,22.12,22.13,1385,13.85,model_assisted_not_ground_truth,yes
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,8.28,22.12,22.13,1385,13.85,model_assisted_not_ground_truth,yes
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,7.57,21.05,21.06,1349,13.489999999999998,model_assisted_not_ground_truth,yes
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,7.57,21.05,21.06,1349,13.489999999999998,model_assisted_not_ground_truth,yes
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,18.94,22.45,22.46,352,3.5199999999999996,model_assisted_not_ground_truth,yes
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,18.94,22.45,22.46,352,3.5199999999999996,model_assisted_not_ground_truth,yes
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,6.57,19.44,19.45,1288,12.879999999999999,model_assisted_not_ground_truth,yes
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,6.57,19.44,19.45,1288,12.879999999999999,model_assisted_not_ground_truth,yes
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,14.31,20.91,20.92,661,6.610000000000001,model_assisted_not_ground_truth,yes
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,14.31,20.91,20.92,661,6.610000000000001,model_assisted_not_ground_truth,yes
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,12.83,21.4,21.41,858,8.58,model_assisted_not_ground_truth,yes
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,12.83,21.4,21.41,858,8.58,model_assisted_not_ground_truth,yes
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,11.05,18.99,19.0,795,7.949999999999999,model_assisted_not_ground_truth,yes
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,11.05,18.99,19.0,795,7.949999999999999,model_assisted_not_ground_truth,yes
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,7.55,21.42,21.43,1388,13.879999999999999,model_assisted_not_ground_truth,yes
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,7.55,21.42,21.43,1388,13.879999999999999,model_assisted_not_ground_truth,yes
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,10.57,19.63,19.64,907,9.07,model_assisted_not_ground_truth,yes
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,10.57,19.63,19.64,907,9.07,model_assisted_not_ground_truth,yes
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,10.66,19.66,19.67,901,9.010000000000002,model_assisted_not_ground_truth,yes
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,10.66,19.66,19.67,901,9.010000000000002,model_assisted_not_ground_truth,yes
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,6.34,20.19,20.2,1386,13.86,model_assisted_not_ground_truth,yes
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,6.34,20.19,20.2,1386,13.86,model_assisted_not_ground_truth,yes
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,7.94,21.83,21.84,1390,13.899999999999999,model_assisted_not_ground_truth,yes
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,7.94,21.83,21.84,1390,13.899999999999999,model_assisted_not_ground_truth,yes
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,8.32,20.33,20.34,1202,12.02,model_assisted_not_ground_truth,yes
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,8.32,20.33,20.34,1202,12.02,model_assisted_not_ground_truth,yes
jitu_21,5,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,13.38,19.5,19.51,613,6.130000000000001,model_assisted_not_ground_truth,yes
jitu_21,5,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,13.38,19.5,19.51,613,6.130000000000001,model_assisted_not_ground_truth,yes
jitu_21,6,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,7.79,20.4,20.41,1262,12.620000000000001,model_assisted_not_ground_truth,yes
jitu_21,6,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,7.79,20.4,20.41,1262,12.620000000000001,model_assisted_not_ground_truth,yes
jitu_21,7,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,9.69,17.24,17.25,756,7.5600000000000005,model_assisted_not_ground_truth,yes
jitu_21,7,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,9.69,17.24,17.25,756,7.5600000000000005,model_assisted_not_ground_truth,yes
jitu_21,8,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,7.33,20.17,20.18,1285,12.85,model_assisted_not_ground_truth,yes
jitu_21,8,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,7.33,20.17,20.18,1285,12.85,model_assisted_not_ground_truth,yes
jitu_21,9,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,10.35,19.92,19.93,958,9.58,model_assisted_not_ground_truth,yes
jitu_21,9,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,10.35,19.92,19.93,958,9.58,model_assisted_not_ground_truth,yes
jitu_21,10,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,5.9,19.48,19.49,1359,13.589999999999998,model_assisted_not_ground_truth,yes
jitu_21,10,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,5.9,19.48,19.49,1359,13.589999999999998,model_assisted_not_ground_truth,yes
