normalized_sssw_percent,fmg_channel_5_mean,fmg_channel_5_standard_deviation,contributing_trace_count
0,239.725,255.577286501,40
0.334448160535,239.678428094,254.976169106,40
0.66889632107,239.535785953,253.397841166,40
1.00334448161,238.28319398,251.118906481,40
1.33779264214,236.441680602,247.991676417,40
1.67224080268,234.508695652,244.747310948,40
2.00668896321,231.748536789,241.294958889,40
2.34113712375,229.035535117,237.916688593,40
2.67558528428,226.175585284,234.746769829,40
3.01003344482,222.090510033,231.646637049,40
3.34448160535,217.550668896,228.524059665,40
3.67892976589,211.87173913,224.805920128,40
4.01337792642,206.72479097,221.630961311,40
4.34782608696,202.430434783,219.340044417,40
4.68227424749,199.647073579,218.030730896,40
5.01672240803,198.712249164,218.368932536,40
5.35117056856,196.746655518,218.47431905,40
5.6856187291,193.617725753,217.544061081,40
6.02006688963,189.03319398,214.500014407,40
6.35451505017,182.456688963,210.557364482,40
6.6889632107,176.497617057,207.004701774,40
7.02341137124,170.696488294,203.271659908,40
7.35785953177,164.046780936,199.188813049,40
7.69230769231,156.975961538,195.114315356,40
8.02675585284,151.181438127,191.425651648,40
8.36120401338,146.143478261,187.917744851,40
8.69565217391,139.763043478,184.397139938,40
9.03010033445,132.236120401,179.710906952,40
9.36454849498,123.530016722,174.008889371,40
9.69899665552,115.688586957,166.518520954,40
10.0334448161,107.634113712,155.695077945,40
10.3678929766,101.133110368,146.492944456,40
10.7023411371,93.4088210702,136.910153314,40
11.0367892977,84.9733695652,127.586857531,40
11.3712374582,79.364632107,121.500733815,40
11.7056856187,75.4052675585,118.802584678,40
12.0401337793,72.1744147157,117.318910835,40
12.3745819398,69.3185618729,116.666507543,40
12.7090301003,66.7605351171,116.325574405,40
13.0434782609,66.1809782609,117.425931526,40
13.3779264214,66.9386287625,119.599027031,40
13.7123745819,67.2311036789,120.774791314,40
14.0468227425,69.4411371238,123.825384097,40
14.381270903,70.6751254181,125.729975441,40
14.7157190635,70.6234113713,126.693373938,40
15.0501672241,71.7856187291,127.497535306,40
15.3846153846,73.2653846154,128.557296127,40
15.7190635452,74.1753344482,128.89040597,40
16.0535117057,74.2334866221,128.559321623,40
16.3879598662,78.4090719064,131.954345332,40
16.7224080268,83.970861204,137.930720563,40
17.0568561873,89.6596571906,144.763479445,40
17.3913043478,95.1875,151.434873008,40
17.7257525084,99.8967391304,155.974975081,40
18.0602006689,105.892140468,161.215718253,40
18.3946488294,111.31576087,166.608705003,40
18.72909699,115.123745819,169.808281946,40
19.0635451505,118.670401338,172.287458986,40
19.397993311,121.7659699,174.939091202,40
19.7324414716,123.624498328,175.905367729,40
20.0668896321,126.434448161,176.587171427,40
20.4013377926,128.567809365,176.419685299,40
20.7357859532,130.651295987,175.684526219,40
21.0702341137,130.636413043,172.800971201,40
21.4046822742,131.279431438,170.376979116,40
21.7391304348,132.353804348,168.031780837,40
22.0735785953,134.577341137,169.011743204,40
22.4080267559,136.67826087,172.178454511,40
22.7424749164,139.705183946,176.244494496,40
23.0769230769,142.501923077,180.138730223,40
23.4113712375,145.748494983,183.085953581,40
23.745819398,149.591680602,186.805667493,40
24.0802675585,154.25493311,190.492729311,40
24.4147157191,159.748913043,193.524396565,40
24.7491638796,163.99979097,195.650035624,40
25.0836120401,167.389214047,197.46297149,40
25.4180602007,169.722826087,198.590564809,40
25.7525083612,170.343812709,198.869480492,40
26.0869565217,170.173369565,198.866188856,40
26.4214046823,169.621279264,198.467583832,40
26.7558528428,168.126588629,197.020982197,40
27.0903010033,165.913879599,196.48329923,40
27.4247491639,167.173411371,197.401559776,40
27.7591973244,167.992892977,198.874644844,40
28.0936454849,168.553804348,200.463424227,40
