raw_batch,local_trial,limb,source_csv,sssw_source_samples,sssw_start_seconds,sssw_end_seconds,channel_1_imputed_samples,channel_2_imputed_samples,channel_3_imputed_samples,channel_4_imputed_samples,channel_5_imputed_samples,channel_6_imputed_samples,channel_7_imputed_samples,channel_8_imputed_samples,used,rejection_reason
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,278,3.73,6.5,0,0,0,0,0,0,0,0,yes,
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,278,3.73,6.5,0,0,0,0,0,0,0,0,yes,
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,360,3.0,6.59,0,0,0,0,0,0,0,0,yes,
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,360,3.0,6.59,0,0,0,0,0,0,0,0,yes,
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,289,2.98,5.86,0,0,0,0,0,0,0,0,yes,
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,289,2.98,5.86,0,0,0,0,0,0,0,0,yes,
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,1401,3.6,17.6,0,0,0,0,0,0,0,0,yes,
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,1401,3.6,17.6,0,0,0,0,0,0,0,0,yes,
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,295,1.93,4.87,0,0,0,0,0,0,0,0,yes,
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,295,1.93,4.87,0,0,0,0,0,0,0,0,yes,
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,853,4.1,12.62,0,0,0,0,0,0,0,0,yes,
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,853,4.1,12.62,0,0,0,0,0,0,0,0,yes,
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,860,2.35,10.94,0,0,0,0,0,0,0,0,yes,
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,860,2.35,10.94,0,0,0,0,0,0,0,0,yes,
jitu_1,8,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,641,2.95,9.35,0,0,0,0,0,0,0,0,yes,
jitu_1,8,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,641,2.95,9.35,0,0,0,0,0,0,0,0,yes,
jitu_1,9,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,280,3.25,6.04,0,0,0,0,0,0,0,0,yes,
jitu_1,9,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,280,3.25,6.04,0,0,0,0,0,0,0,0,yes,
jitu_1,10,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,504,3.73,8.76,0,0,0,0,0,0,0,0,yes,
jitu_1,10,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,504,3.73,8.76,0,0,0,0,0,0,0,0,yes,
jitu_21,1,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,656,2.51,9.06,0,0,0,0,0,0,0,0,yes,
jitu_21,1,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,656,2.51,9.06,0,0,0,0,0,0,0,0,yes,
jitu_21,2,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,267,2.11,4.77,0,0,0,0,0,0,0,0,yes,
jitu_21,2,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,267,2.11,4.77,0,0,0,0,0,0,0,0,yes,
jitu_21,3,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,185,4.39,6.23,0,0,0,0,0,0,0,0,yes,
jitu_21,3,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,185,4.39,6.23,0,0,0,0,0,0,0,0,yes,
jitu_21,4,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,446,2.03,6.48,0,0,0,0,0,0,0,0,yes,
jitu_21,4,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,446,2.03,6.48,0,0,0,0,0,0,0,0,yes,
jitu_21,5,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,836,3.29,11.64,0,0,0,0,0,0,0,0,yes,
jitu_21,5,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,836,3.29,11.64,0,0,0,0,0,0,0,0,yes,
jitu_21,6,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,268,3.52,6.19,0,0,0,0,0,0,0,0,yes,
jitu_21,6,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,268,3.52,6.19,0,0,0,0,0,0,0,0,yes,
jitu_21,7,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,484,3.2,8.03,0,0,0,0,0,0,0,0,yes,
jitu_21,7,R,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,484,3.2,8.03,0,0,0,0,0,0,0,0,yes,
jitu_21,8,L,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,307,2.55,5.61,0,0,0,0,0,0,0,0,yes,
