record,physical_trial,sssw_start_seconds,sssw_end_boundary_seconds,sssw_duration_seconds,reference_limb_used_by_segmentation,l_candidate_peak_times_seconds,l_candidate_peak_boundary_count,l_candidate_interpeak_intervals,r_candidate_peak_times_seconds,r_candidate_peak_boundary_count,r_candidate_interpeak_intervals,reference_limb_candidate_interpeak_intervals
jitu_1,1,3.73,6.51,2.78,R,4.33;5.83,2,1,3.73;4.94;6.51,3,2,2
jitu_1,2,3.0,6.6,3.5999999999999996,R,3.00;4.27;5.88,3,2,3.56;5.06;6.60,3,2,2
jitu_1,3,2.98,5.87,2.89,R,,0,0,2.98;4.20;5.87,3,2,2
jitu_1,4,3.6,17.61,14.01,L,3.60;5.52;7.11;8.77;10.28;12.01;13.89;15.79;17.61,9,8,4.44;6.10;7.65;9.31;10.97;12.78;14.59;16.48,8,7,8
jitu_1,5,1.93,4.88,2.95,R,2.70;4.37,2,1,1.93;3.16;4.88,3,2,2
jitu_1,6,4.1,12.63,8.530000000000001,none,5.01;6.81;8.36,3,2,4.10;5.80;7.40;9.10;10.91;12.63,6,5,
jitu_1,7,2.35,10.95,8.6,R,2.35;3.62;5.23;7.27;8.46;10.17,6,5,3.17;4.50;6.15;7.70;9.33;10.95,6,5,5
jitu_1,8,2.95,9.36,6.409999999999999,R,3.71;5.42;7.03;8.75,4,3,2.95;4.55;6.12;7.70;9.36,5,4,4
jitu_1,9,3.25,6.05,2.8,none,3.86;5.21,2,1,3.25;4.50;6.05,3,2,
jitu_1,10,3.73,8.77,5.039999999999999,R,4.84;6.39;8.16,3,2,3.73;5.40;7.06;8.77,4,3,3
jitu_21,1,2.51,9.07,6.5600000000000005,none,3.56;5.40;6.56;8.45,4,3,2.51;4.25;5.81;7.42;9.07,5,4,
jitu_21,2,2.11,4.78,2.6700000000000004,R,2.64;4.22,2,1,2.11;3.27;4.78,3,2,2
jitu_21,3,4.39,6.24,1.8500000000000005,R,,0,0,4.39;5.01;6.24,3,2,2
jitu_21,4,2.03,6.49,4.460000000000001,none,2.75;4.21;5.56,3,2,2.03;3.31;4.80;6.49,4,3,
jitu_21,5,3.29,11.65,8.36,R,4.39;6.10;7.53;9.21;10.87,5,4,3.29;5.00;6.60;8.22;9.92;11.65,6,5,5
jitu_21,6,3.52,6.2,2.68,R,4.14;5.66,2,1,3.52;4.72;6.20,3,2,2
jitu_21,7,3.2,8.04,4.839999999999999,R,4.22;5.72;7.18,3,2,3.20;4.85;6.44;8.04,4,3,3
jitu_21,8,2.55,5.62,3.0700000000000003,R,,0,0,2.55;3.90;5.62,3,2,2
jitu_21,9,3.13,8.68,5.55,L,4.21;5.63;7.10;8.68,4,3,3.13;4.73;6.27;7.89,4,3,3
jitu_21,10,1.44,4.26,2.82,none,2.16;3.62,2,1,1.44;2.70;4.26,3,2,
