record,physical_trial,limb,source_csv,sssw_start_seconds,sssw_last_sample_seconds,sssw_phase_end_boundary_seconds,sssw_source_samples,sssw_duration_to_phase_boundary_seconds,label_status_values,definition_match
jitu_1,1,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,3.73,6.5,6.51,278,2.78,model_assisted_not_ground_truth,yes
jitu_1,1,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,3.73,6.5,6.51,278,2.78,model_assisted_not_ground_truth,yes
jitu_1,2,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,3.0,6.59,6.6,360,3.5999999999999996,model_assisted_not_ground_truth,yes
jitu_1,2,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,3.0,6.59,6.6,360,3.5999999999999996,model_assisted_not_ground_truth,yes
jitu_1,3,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,2.98,5.86,5.87,289,2.89,model_assisted_not_ground_truth,yes
jitu_1,3,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,2.98,5.86,5.87,289,2.89,model_assisted_not_ground_truth,yes
jitu_1,4,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,3.6,17.6,17.61,1401,14.01,model_assisted_not_ground_truth,yes
jitu_1,4,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,3.6,17.6,17.61,1401,14.01,model_assisted_not_ground_truth,yes
jitu_1,5,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,1.93,4.87,4.88,295,2.95,model_assisted_not_ground_truth,yes
jitu_1,5,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,1.93,4.87,4.88,295,2.95,model_assisted_not_ground_truth,yes
jitu_1,6,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,4.1,12.62,12.63,853,8.530000000000001,model_assisted_not_ground_truth,yes
jitu_1,6,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,4.1,12.62,12.63,853,8.530000000000001,model_assisted_not_ground_truth,yes
jitu_1,7,L,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,2.35,10.94,10.95,860,8.6,model_assisted_not_ground_truth,yes
jitu_1,7,R,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,2.35,10.94,10.95,860,8.6,model_assisted_not_ground_truth,yes
