png,side,source_data_file,status,subject,trials_averaged
Sub01_A__jitu_1__l_gi_avg.png,l,jitu_1,created,Sub01_A,10
Sub01_A__jitu_1__r_gi_avg.png,r,jitu_1,created,Sub01_A,10
Sub01_A__jitu_21__l_gi_avg.png,l,jitu_21,created,Sub01_A,10
Sub01_A__jitu_21__r_gi_avg.png,r,jitu_21,created,Sub01_A,10
Sub01_H__abh_1__l_gi_avg.png,l,abh_1,created,Sub01_H,18
Sub01_H__abh_1__r_gi_avg.png,r,abh_1,created,Sub01_H,18
Sub01_H__abh_21__l_gi_avg.png,l,abh_21,created,Sub01_H,21
Sub01_H__abh_21__r_gi_avg.png,r,abh_21,created,Sub01_H,21
Sub02_A__vipin_1__l_gi_avg.png,l,vipin_1,created,Sub02_A,12
Sub02_A__vipin_1__r_gi_avg.png,r,vipin_1,created,Sub02_A,12
Sub02_A__vipin_21__l_gi_avg.png,l,vipin_21,created,Sub02_A,10
Sub02_A__vipin_21__r_gi_avg.png,r,vipin_21,created,Sub02_A,10
Sub02_H__Alif_1__l_gi_avg.png,l,Alif_1,created,Sub02_H,20
Sub02_H__Alif_1__r_gi_avg.png,r,Alif_1,created,Sub02_H,20
Sub02_H__Alif_21__l_gi_avg.png,l,Alif_21,created,Sub02_H,9
Sub02_H__Alif_21__r_gi_avg.png,r,Alif_21,created,Sub02_H,9
Sub02_H__Alif_30__l_gi_avg.png,l,Alif_30,created,Sub02_H,13
Sub02_H__Alif_30__r_gi_avg.png,r,Alif_30,created,Sub02_H,13
Sub03_H__Amit_1__l_gi_avg.png,l,Amit_1,created,Sub03_H,29
Sub03_H__Amit_1__r_gi_avg.png,r,Amit_1,created,Sub03_H,29
Sub03_H__Amit_21__l_gi_avg.png,l,Amit_21,created,Sub03_H,16
Sub03_H__Amit_21__r_gi_avg.png,r,Amit_21,created,Sub03_H,20
Sub04_H__ashu_1__l_gi_avg.png,l,ashu_1,created,Sub04_H,2
Sub04_H__ashu_1__r_gi_avg.png,r,ashu_1,created,Sub04_H,19
Sub04_H__ashu_21__l_gi_avg.png,l,ashu_21,created,Sub04_H,4
Sub04_H__ashu_21__r_gi_avg.png,r,ashu_21,created,Sub04_H,20
Sub05_H__sub_1__l_gi_avg.png,l,sub_1,created,Sub05_H,20
Sub05_H__sub_1__r_gi_avg.png,r,sub_1,created,Sub05_H,20
Sub05_H__sub_21__l_gi_avg.png,l,sub_21,created,Sub05_H,17
Sub05_H__sub_21__r_gi_avg.png,r,sub_21,created,Sub05_H,20
Sub06_H__Rishabh_2__l_gi_avg.png,l,Rishabh_2,created,Sub06_H,1
Sub06_H__Rishabh_2__r_gi_avg.png,r,Rishabh_2,created,Sub06_H,1
Sub06_H__Rishabh_3__r_gi_avg.png,r,Rishabh_3,created,Sub06_H,1
Sub06_H__Rishabh_4__l_gi_avg.png,l,Rishabh_4,created,Sub06_H,1
Sub06_H__Rishabh_4__r_gi_avg.png,r,Rishabh_4,created,Sub06_H,1
Sub06_H__Rishabh_7__l_gi_avg.png,l,Rishabh_7,created,Sub06_H,1
Sub06_H__Rishabh_7__r_gi_avg.png,r,Rishabh_7,created,Sub06_H,1
Sub06_H__Rishabh_9__r_gi_avg.png,r,Rishabh_9,created,Sub06_H,1
Sub06_H__Rishabh_10__l_gi_avg.png,l,Rishabh_10,created,Sub06_H,1
Sub06_H__Rishabh_10__r_gi_avg.png,r,Rishabh_10,created,Sub06_H,1
Sub06_H__Rishabh_11__r_gi_avg.png,r,Rishabh_11,created,Sub06_H,1
Sub06_H__Rishabh_12__l_gi_avg.png,l,Rishabh_12,created,Sub06_H,1
Sub06_H__Rishabh_12__r_gi_avg.png,r,Rishabh_12,created,Sub06_H,1
Sub06_H__Rishabh_13__l_gi_avg.png,l,Rishabh_13,created,Sub06_H,1
Sub06_H__Rishabh_13__r_gi_avg.png,r,Rishabh_13,created,Sub06_H,1
Sub06_H__Rishabh_14__l_gi_avg.png,l,Rishabh_14,created,Sub06_H,1
Sub06_H__Rishabh_14__r_gi_avg.png,r,Rishabh_14,created,Sub06_H,1
Sub06_H__Rishabh_15__l_gi_avg.png,l,Rishabh_15,created,Sub06_H,1
Sub06_H__Rishabh_15__r_gi_avg.png,r,Rishabh_15,created,Sub06_H,1
Sub06_H__Rishabh_16__l_gi_avg.png,l,Rishabh_16,created,Sub06_H,1
Sub06_H__Rishabh_16__r_gi_avg.png,r,Rishabh_16,created,Sub06_H,1
Sub06_H__Rishabh_17__l_gi_avg.png,l,Rishabh_17,created,Sub06_H,1
Sub06_H__Rishabh_17__r_gi_avg.png,r,Rishabh_17,created,Sub06_H,1
Sub06_H__Rishabh_18__l_gi_avg.png,l,Rishabh_18,created,Sub06_H,1
Sub06_H__Rishabh_18__r_gi_avg.png,r,Rishabh_18,created,Sub06_H,1
Sub06_H__Rishabh_19__l_gi_avg.png,l,Rishabh_19,created,Sub06_H,1
Sub06_H__Rishabh_19__r_gi_avg.png,r,Rishabh_19,created,Sub06_H,1
Sub06_H__Rishabh_20__l_gi_avg.png,l,Rishabh_20,created,Sub06_H,1
Sub06_H__Rishabh_20__r_gi_avg.png,r,Rishabh_20,created,Sub06_H,1
Sub06_H__Rishabh_23__l_gi_avg.png,l,Rishabh_23,created,Sub06_H,1
Sub06_H__Rishabh_23__r_gi_avg.png,r,Rishabh_23,created,Sub06_H,1
