png,source_recordings,status,subject,trials_averaged
Sub01_A_subject_gi_average.png,2,created,Sub01_A,40
Sub01_H_subject_gi_average.png,2,created,Sub01_H,78
Sub02_A_subject_gi_average.png,2,created,Sub02_A,44
Sub02_H_subject_gi_average.png,3,created,Sub02_H,84
Sub03_H_subject_gi_average.png,2,created,Sub03_H,94
Sub04_H_subject_gi_average.png,2,created,Sub04_H,45
Sub05_H_subject_gi_average.png,2,created,Sub05_H,77
Sub06_H_subject_gi_average.png,34,created,Sub06_H,65
Sub07_H_subject_gi_average.png,15,created,Sub07_H,78
Sub08_H_subject_gi_average.png,2,created,Sub08_H,82
