alignment_method,detection_status,fmg_display_seconds,fmg_gi_samples,fmg_gi_seconds,fmg_qs_reference_samples,insole_display_seconds,insole_gi_samples,insole_gi_seconds,insole_qs_reference_samples,local_trial,png,record,side,status,subject,sync_status
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,1,Sub01_A/jitu_1/trial_01_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,2,Sub01_A/jitu_1/trial_02_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,3,Sub01_A/jitu_1/trial_03_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,4,Sub01_A/jitu_1/trial_04_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,5,Sub01_A/jitu_1/trial_05_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,6,Sub01_A/jitu_1/trial_06_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,7,Sub01_A/jitu_1/trial_07_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,8,Sub01_A/jitu_1/trial_08_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,9,Sub01_A/jitu_1/trial_09_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
matched fixed elapsed time after trial-start trigger,fixed protocol GI window: 3.0-4.0 s after trial-start trigger,1.5,100,1.0,50,1.5,100,1.0,50,10,Sub01_A/jitu_1/trial_10_l.png,jitu_1,L,created,Sub01_A,trigger sequence synchronized
