fmg_trigger_rising_edges,insole_trigger_rising_edges,p95_relative_trigger_error_seconds,record,side,status,subject,sync_status
20,20,0.0105,jitu_1,L,,Sub01_A,trigger sequence synchronized
20,20,0.01,jitu_1,R,,Sub01_A,trigger sequence synchronized
20,20,0.01,jitu_21,L,,Sub01_A,trigger sequence synchronized
20,20,0.01,jitu_21,R,,Sub01_A,trigger sequence synchronized
36,36,0.01,abh_1,L,,Sub01_H,trigger sequence synchronized
36,36,0.01,abh_1,R,,Sub01_H,trigger sequence synchronized
42,44,,abh_21,L,,Sub01_H,trigger count mismatch 42 vs 44
42,44,,abh_21,R,,Sub01_H,trigger count mismatch 42 vs 44
24,24,0.0185,vipin_1,L,,Sub02_A,trigger sequence synchronized
24,24,0.0185,vipin_1,R,,Sub02_A,trigger sequence synchronized
20,20,0.02,vipin_21,L,,Sub02_A,trigger sequence synchronized
20,20,0.02,vipin_21,R,,Sub02_A,trigger sequence synchronized
40,40,0.0105,Alif_1,L,,Sub02_H,trigger sequence synchronized
40,40,0.01,Alif_1,R,,Sub02_H,trigger sequence synchronized
18,17,,Alif_21,L,,Sub02_H,trigger count mismatch 18 vs 17
18,18,0.02,Alif_21,R,,Sub02_H,trigger sequence synchronized
26,26,0.01,Alif_30,L,,Sub02_H,trigger sequence synchronized
26,26,0.02,Alif_30,R,,Sub02_H,trigger sequence synchronized
59,59,0.02,Amit_1,L,,Sub03_H,trigger sequence synchronized
59,59,0.01,Amit_1,R,,Sub03_H,trigger sequence synchronized
40,39,,Amit_21,L,,Sub03_H,trigger count mismatch 40 vs 39
40,40,0.02,Amit_21,R,,Sub03_H,trigger sequence synchronized
37,155,,ashu_1,L,,Sub04_H,trigger count mismatch 37 vs 155
37,39,,ashu_1,R,,Sub04_H,trigger count mismatch 37 vs 39
40,607,,ashu_21,L,,Sub04_H,trigger count mismatch 40 vs 607
40,40,0.2405,ashu_21,R,,Sub04_H,trigger sequence synchronized
40,40,0.01,sub_1,L,,Sub05_H,trigger sequence synchronized
40,40,0.01,sub_1,R,,Sub05_H,trigger sequence synchronized
