png,side,source_data_file,status,subject
Sub01_A__jitu_1__l_avg.png,left,jitu_1,created,Sub01_A
Sub01_A__jitu_1__r_avg.png,right,jitu_1,created,Sub01_A
Sub01_A__jitu_21__l_avg.png,left,jitu_21,created,Sub01_A
Sub01_A__jitu_21__r_avg.png,right,jitu_21,created,Sub01_A
Sub01_H__abh_1__l_avg.png,left,abh_1,created,Sub01_H
Sub01_H__abh_1__r_avg.png,right,abh_1,created,Sub01_H
Sub01_H__abh_21__l_avg.png,left,abh_21,created,Sub01_H
Sub01_H__abh_21__r_avg.png,right,abh_21,created,Sub01_H
Sub02_A__vipin_1__l_avg.png,left,vipin_1,created,Sub02_A
Sub02_A__vipin_1__r_avg.png,right,vipin_1,created,Sub02_A
Sub02_A__vipin_21__l_avg.png,left,vipin_21,created,Sub02_A
Sub02_A__vipin_21__r_avg.png,right,vipin_21,created,Sub02_A
Sub02_H__Alif_1__l_avg.png,left,Alif_1,created,Sub02_H
Sub02_H__Alif_1__r_avg.png,right,Alif_1,created,Sub02_H
Sub02_H__Alif_21__l_avg.png,left,Alif_21,created,Sub02_H
Sub02_H__Alif_21__r_avg.png,right,Alif_21,created,Sub02_H
Sub02_H__Alif_30__l_avg.png,left,Alif_30,created,Sub02_H
Sub02_H__Alif_30__r_avg.png,right,Alif_30,created,Sub02_H
Sub03_H__Amit_1__l_avg.png,left,Amit_1,created,Sub03_H
Sub03_H__Amit_1__r_avg.png,right,Amit_1,created,Sub03_H
Sub03_H__Amit_21__l_avg.png,left,Amit_21,created,Sub03_H
Sub03_H__Amit_21__r_avg.png,right,Amit_21,created,Sub03_H
Sub04_H__ashu_1__l_avg.png,left,ashu_1,created,Sub04_H
Sub04_H__ashu_1__r_avg.png,right,ashu_1,created,Sub04_H
Sub04_H__ashu_21__l_avg.png,left,ashu_21,created,Sub04_H
Sub04_H__ashu_21__r_avg.png,right,ashu_21,created,Sub04_H
Sub05_H__sub_1__l_avg.png,left,sub_1,created,Sub05_H
Sub05_H__sub_1__r_avg.png,right,sub_1,created,Sub05_H
Sub05_H__sub_21__l_avg.png,left,sub_21,created,Sub05_H
Sub05_H__sub_21__r_avg.png,right,sub_21,created,Sub05_H
Sub06_H__Rishabh_2__l_avg.png,left,Rishabh_2,created,Sub06_H
Sub06_H__Rishabh_2__r_avg.png,right,Rishabh_2,created,Sub06_H
Sub06_H__Rishabh_3__r_avg.png,right,Rishabh_3,created,Sub06_H
Sub06_H__Rishabh_4__l_avg.png,left,Rishabh_4,created,Sub06_H
Sub06_H__Rishabh_4__r_avg.png,right,Rishabh_4,created,Sub06_H
Sub06_H__Rishabh_7__l_avg.png,left,Rishabh_7,created,Sub06_H
Sub06_H__Rishabh_7__r_avg.png,right,Rishabh_7,created,Sub06_H
Sub06_H__Rishabh_9__r_avg.png,right,Rishabh_9,created,Sub06_H
Sub06_H__Rishabh_10__l_avg.png,left,Rishabh_10,created,Sub06_H
Sub06_H__Rishabh_10__r_avg.png,right,Rishabh_10,created,Sub06_H
Sub06_H__Rishabh_11__r_avg.png,right,Rishabh_11,created,Sub06_H
Sub06_H__Rishabh_12__l_avg.png,left,Rishabh_12,created,Sub06_H
Sub06_H__Rishabh_12__r_avg.png,right,Rishabh_12,created,Sub06_H
Sub06_H__Rishabh_13__l_avg.png,left,Rishabh_13,created,Sub06_H
Sub06_H__Rishabh_13__r_avg.png,right,Rishabh_13,created,Sub06_H
Sub06_H__Rishabh_14__l_avg.png,left,Rishabh_14,created,Sub06_H
Sub06_H__Rishabh_14__r_avg.png,right,Rishabh_14,created,Sub06_H
Sub06_H__Rishabh_15__l_avg.png,left,Rishabh_15,created,Sub06_H
Sub06_H__Rishabh_15__r_avg.png,right,Rishabh_15,created,Sub06_H
Sub06_H__Rishabh_16__l_avg.png,left,Rishabh_16,created,Sub06_H
Sub06_H__Rishabh_16__r_avg.png,right,Rishabh_16,created,Sub06_H
Sub06_H__Rishabh_17__l_avg.png,left,Rishabh_17,created,Sub06_H
Sub06_H__Rishabh_17__r_avg.png,right,Rishabh_17,created,Sub06_H
Sub06_H__Rishabh_18__l_avg.png,left,Rishabh_18,created,Sub06_H
Sub06_H__Rishabh_18__r_avg.png,right,Rishabh_18,created,Sub06_H
Sub06_H__Rishabh_19__l_avg.png,left,Rishabh_19,created,Sub06_H
Sub06_H__Rishabh_19__r_avg.png,right,Rishabh_19,created,Sub06_H
Sub06_H__Rishabh_20__l_avg.png,left,Rishabh_20,created,Sub06_H
Sub06_H__Rishabh_20__r_avg.png,right,Rishabh_20,created,Sub06_H
Sub06_H__Rishabh_23__l_avg.png,left,Rishabh_23,created,Sub06_H
Sub06_H__Rishabh_23__r_avg.png,right,Rishabh_23,created,Sub06_H
Sub06_H__Rishabh_24__l_avg.png,left,Rishabh_24,created,Sub06_H
Sub06_H__Rishabh_24__r_avg.png,right,Rishabh_24,created,Sub06_H
Sub06_H__Rishabh_25__l_avg.png,left,Rishabh_25,created,Sub06_H
Sub06_H__Rishabh_25__r_avg.png,right,Rishabh_25,created,Sub06_H
Sub06_H__Rishabh_26__l_avg.png,left,Rishabh_26,created,Sub06_H
Sub06_H__Rishabh_26__r_avg.png,right,Rishabh_26,created,Sub06_H
Sub06_H__Rishabh_27__l_avg.png,left,Rishabh_27,created,Sub06_H
Sub06_H__Rishabh_27__r_avg.png,right,Rishabh_27,created,Sub06_H
Sub06_H__Rishabh_28__l_avg.png,left,Rishabh_28,created,Sub06_H
Sub06_H__Rishabh_28__r_avg.png,right,Rishabh_28,created,Sub06_H
Sub06_H__Rishabh_29__l_avg.png,left,Rishabh_29,created,Sub06_H
Sub06_H__Rishabh_29__r_avg.png,right,Rishabh_29,created,Sub06_H
Sub06_H__Rishabh_30__l_avg.png,left,Rishabh_30,created,Sub06_H
Sub06_H__Rishabh_30__r_avg.png,right,Rishabh_30,created,Sub06_H
Sub06_H__Rishabh_31__l_avg.png,left,Rishabh_31,created,Sub06_H
Sub06_H__Rishabh_31__r_avg.png,right,Rishabh_31,created,Sub06_H
Sub06_H__Rishabh_32__l_avg.png,left,Rishabh_32,created,Sub06_H
Sub06_H__Rishabh_32__r_avg.png,right,Rishabh_32,created,Sub06_H
Sub06_H__Rishabh_33__l_avg.png,left,Rishabh_33,created,Sub06_H
Sub06_H__Rishabh_33__r_avg.png,right,Rishabh_33,created,Sub06_H
Sub06_H__Rishabh_34__l_avg.png,left,Rishabh_34,created,Sub06_H
Sub06_H__Rishabh_34__r_avg.png,right,Rishabh_34,created,Sub06_H
Sub06_H__Rishabh_35__l_avg.png,left,Rishabh_35,created,Sub06_H
Sub06_H__Rishabh_35__r_avg.png,right,Rishabh_35,created,Sub06_H
Sub06_H__Rishabh_36__l_avg.png,left,Rishabh_36,created,Sub06_H
Sub06_H__Rishabh_36__r_avg.png,right,Rishabh_36,created,Sub06_H
Sub06_H__Rishabh_37__l_avg.png,left,Rishabh_37,created,Sub06_H
Sub06_H__Rishabh_37__r_avg.png,right,Rishabh_37,created,Sub06_H
Sub06_H__Rishabh_38__l_avg.png,left,Rishabh_38,created,Sub06_H
Sub06_H__Rishabh_38__r_avg.png,right,Rishabh_38,created,Sub06_H
Sub06_H__Rishabh_39__l_avg.png,left,Rishabh_39,created,Sub06_H
Sub06_H__Rishabh_39__r_avg.png,right,Rishabh_39,created,Sub06_H
Sub06_H__Rishabh_40__l_avg.png,left,Rishabh_40,created,Sub06_H
Sub06_H__Rishabh_40__r_avg.png,right,Rishabh_40,created,Sub06_H
Sub07_H__rohan_1__r_avg.png,right,rohan_1,created,Sub07_H
Sub07_H__rohan_2__l_avg.png,left,rohan_2,created,Sub07_H
Sub07_H__rohan_2__r_avg.png,right,rohan_2,created,Sub07_H
Sub07_H__rohan_3__l_avg.png,left,rohan_3,created,Sub07_H
Sub07_H__rohan_3__r_avg.png,right,rohan_3,created,Sub07_H
Sub07_H__rohan_4__l_avg.png,left,rohan_4,created,Sub07_H
Sub07_H__rohan_4__r_avg.png,right,rohan_4,created,Sub07_H
Sub07_H__rohan_5__l_avg.png,left,rohan_5,created,Sub07_H
Sub07_H__rohan_5__r_avg.png,right,rohan_5,created,Sub07_H
Sub07_H__rohan_6__l_avg.png,left,rohan_6,created,Sub07_H
Sub07_H__rohan_7__l_avg.png,left,rohan_7,created,Sub07_H
Sub07_H__rohan_7__r_avg.png,right,rohan_7,created,Sub07_H
Sub07_H__rohan_8__l_avg.png,left,rohan_8,created,Sub07_H
Sub07_H__rohan_8__r_avg.png,right,rohan_8,created,Sub07_H
Sub07_H__rohan_9__l_avg.png,left,rohan_9,created,Sub07_H
Sub07_H__rohan_9__r_avg.png,right,rohan_9,created,Sub07_H
Sub07_H__rohan_10__l_avg.png,left,rohan_10,created,Sub07_H
Sub07_H__rohan_10__r_avg.png,right,rohan_10,created,Sub07_H
Sub07_H__rohan_11__l_avg.png,left,rohan_11,created,Sub07_H
Sub07_H__rohan_11__r_avg.png,right,rohan_11,created,Sub07_H
Sub07_H__rohan_12__l_avg.png,left,rohan_12,created,Sub07_H
Sub07_H__rohan_12__r_avg.png,right,rohan_12,created,Sub07_H
Sub07_H__rohan_13__l_avg.png,left,rohan_13,created,Sub07_H
Sub07_H__rohan_13__r_avg.png,right,rohan_13,created,Sub07_H
Sub07_H__rohan_21__l_avg.png,left,rohan_21,created,Sub07_H
Sub07_H__rohan_21__r_avg.png,right,rohan_21,created,Sub07_H
Sub07_H__rohan_30__l_avg.png,left,rohan_30,created,Sub07_H
Sub07_H__rohan_30__r_avg.png,right,rohan_30,created,Sub07_H
Sub08_H__sir_1__l_avg.png,left,sir_1,created,Sub08_H
Sub08_H__sir_1__r_avg.png,right,sir_1,created,Sub08_H
Sub08_H__sir_21__l_avg.png,left,sir_21,created,Sub08_H
Sub08_H__sir_21__r_avg.png,right,sir_21,created,Sub08_H
