png,source_recordings,status,subject,trials_averaged,trigger_pairs_flagged_for_review
Sub01_A_subject_average.png,2,created,Sub01_A,40,0
Sub01_H_subject_average.png,2,created,Sub01_H,78,2
Sub02_A_subject_average.png,2,created,Sub02_A,44,0
Sub02_H_subject_average.png,3,created,Sub02_H,84,1
Sub03_H_subject_average.png,2,created,Sub03_H,100,1
Sub04_H_subject_average.png,2,created,Sub04_H,78,3
Sub05_H_subject_average.png,2,created,Sub05_H,80,1
Sub06_H_subject_average.png,34,created,Sub06_H,65,0
Sub07_H_subject_average.png,15,created,Sub07_H,78,4
Sub08_H_subject_average.png,2,created,Sub08_H,82,0
