fmg_invalid_rows_skipped,fmg_trigger_rising_edges,insole_invalid_rows_skipped,insole_trigger_rising_edges,p95_relative_trigger_error_seconds,plots_created,record,side,status,subject,sync_status
3,20,4,20,0.0105,,jitu_1,L,,Sub01_A,trigger sequence synchronized
3,20,2,20,0.01,,jitu_1,R,,Sub01_A,trigger sequence synchronized
3,20,4,20,0.01,,jitu_21,L,,Sub01_A,trigger sequence synchronized
3,20,2,20,0.01,,jitu_21,R,,Sub01_A,trigger sequence synchronized
18,36,5,36,0.01,,abh_1,L,,Sub01_H,trigger sequence synchronized
18,36,3,36,0.01,,abh_1,R,,Sub01_H,trigger sequence synchronized
49,42,7,44,,,abh_21,L,,Sub01_H,trigger count mismatch 42 vs 44
49,42,4,44,,,abh_21,R,,Sub01_H,trigger count mismatch 42 vs 44
3,24,3,24,0.0185,,vipin_1,L,,Sub02_A,trigger sequence synchronized
3,24,4,24,0.0185,,vipin_1,R,,Sub02_A,trigger sequence synchronized
3,20,3,20,0.02,,vipin_21,L,,Sub02_A,trigger sequence synchronized
3,20,0,20,0.02,,vipin_21,R,,Sub02_A,trigger sequence synchronized
5,40,5,40,0.0105,,Alif_1,L,,Sub02_H,trigger sequence synchronized
5,40,2,40,0.01,,Alif_1,R,,Sub02_H,trigger sequence synchronized
3,18,6,17,,,Alif_21,L,,Sub02_H,trigger count mismatch 18 vs 17
3,18,3,18,0.02,,Alif_21,R,,Sub02_H,trigger sequence synchronized
8,26,5,26,0.01,,Alif_30,L,,Sub02_H,trigger sequence synchronized
8,26,2,26,0.02,,Alif_30,R,,Sub02_H,trigger sequence synchronized
8,59,8,59,0.02,,Amit_1,L,,Sub03_H,trigger sequence synchronized
8,59,6,59,0.01,,Amit_1,R,,Sub03_H,trigger sequence synchronized
4,40,4,39,,,Amit_21,L,,Sub03_H,trigger count mismatch 40 vs 39
4,40,4,40,0.02,,Amit_21,R,,Sub03_H,trigger sequence synchronized
60,37,17,155,,,ashu_1,L,,Sub04_H,trigger count mismatch 37 vs 155
60,37,4,39,,,ashu_1,R,,Sub04_H,trigger count mismatch 37 vs 39
47,40,13,607,,,ashu_21,L,,Sub04_H,trigger count mismatch 40 vs 607
47,40,7,40,0.2405,,ashu_21,R,,Sub04_H,trigger sequence synchronized
7,40,4,40,0.01,,sub_1,L,,Sub05_H,trigger sequence synchronized
7,40,6,40,0.01,,sub_1,R,,Sub05_H,trigger sequence synchronized
5,40,0,39,,,sub_21,L,,Sub05_H,trigger count mismatch 40 vs 39
5,40,5,40,0.0105,,sub_21,R,,Sub05_H,trigger sequence synchronized
