fmg_gaps,full_fmg_seconds,full_insole_seconds,gt_start_seconds,insole_gaps,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,review,settled_seconds,side,trial,trigger_end_error_seconds,walk_stage_labels
0,26.310000000000002,26.32000000000005,,0,91,6.21,Sub08_H/sir_1/trial_01_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,1,0.010000000000047748,unverified: no per-trial step-length event annotations
0,13.079999999999984,13.090000000000032,,0,45,4.22,Sub08_H/sir_1/trial_02_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,2,0.010000000000047748,unverified: no per-trial step-length event annotations
0,25.96999999999997,25.960000000000036,,0,95,5.94,Sub08_H/sir_1/trial_03_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,3,-0.009999999999934062,unverified: no per-trial step-length event annotations
0,24.889999999999986,24.899999999999977,,0,90,6.1,Sub08_H/sir_1/trial_04_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,4,0.009999999999990905,unverified: no per-trial step-length event annotations
0,28.049999999999955,28.050000000000068,,0,78,8.19,Sub08_H/sir_1/trial_05_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,5,1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,24.97999999999996,24.970000000000027,,0,109,5.67,Sub08_H/sir_1/trial_06_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,6,-0.009999999999934062,unverified: no per-trial step-length event annotations
0,22.899999999999977,22.899999999999977,,0,75,3.0,Sub08_H/sir_1/trial_07_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,7,0.0,unverified: no per-trial step-length event annotations
0,23.829999999999927,23.83000000000004,,0,47,4.9,Sub08_H/sir_1/trial_08_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,8,1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,23.540000000000077,23.539999999999964,,0,51,3.18,Sub08_H/sir_1/trial_09_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,9,-1.1368683772161603e-13,unverified: no per-trial step-length event annotations
0,23.700000000000045,23.68999999999994,,0,65,3.64,Sub08_H/sir_1/trial_10_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,10,-0.010000000000104592,unverified: no per-trial step-length event annotations
0,22.91999999999996,22.930000000000064,,1,51,3.37,Sub08_H/sir_1/trial_11_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,11,0.010000000000104592,unverified: no per-trial step-length event annotations
0,24.819999999999936,24.81000000000006,,0,49,4.27,Sub08_H/sir_1/trial_12_l_complete.png,sir_1,final standing not confirmed within recorded trial; timestamp quality review,,L,12,-0.009999999999877218,unverified: no per-trial step-length event annotations
