fmg_gaps,insole_gaps,nonmonotonic_or_duplicate_timestamps,record,side,trial,trigger_end_error_seconds
0,0,91,sir_1,L,1,0.010000000000047748
0,0,45,sir_1,L,2,0.010000000000047748
0,0,95,sir_1,L,3,-0.009999999999934062
0,0,90,sir_1,L,4,0.009999999999990905
0,0,78,sir_1,L,5,1.1368683772161603e-13
0,0,109,sir_1,L,6,-0.009999999999934062
0,0,75,sir_1,L,7,0.0
0,0,47,sir_1,L,8,1.1368683772161603e-13
0,0,51,sir_1,L,9,-1.1368683772161603e-13
0,0,65,sir_1,L,10,-0.010000000000104592
0,1,51,sir_1,L,11,0.010000000000104592
0,0,49,sir_1,L,12,-0.009999999999877218
0,0,46,sir_1,L,13,0.009999999999990905
0,0,50,sir_1,L,14,0.009999999999877218
2,0,77,sir_1,L,15,0.0
1,0,60,sir_1,L,16,-0.009999999999877218
0,0,58,sir_1,L,17,-1.1368683772161603e-13
0,0,44,sir_1,L,18,0.0
0,0,64,sir_1,L,19,0.009999999999877218
0,0,52,sir_1,L,20,-0.009999999999990905
0,0,49,sir_1,L,21,1.1368683772161603e-13
0,0,91,sir_1,R,1,5.684341886080802e-14
0,0,45,sir_1,R,2,0.020000000000038654
0,0,95,sir_1,R,3,-0.009999999999934062
0,0,90,sir_1,R,4,0.010000000000104592
0,0,78,sir_1,R,5,1.1368683772161603e-13
0,0,109,sir_1,R,6,5.684341886080802e-14
0,0,75,sir_1,R,7,0.0
0,0,47,sir_1,R,8,1.1368683772161603e-13
0,0,51,sir_1,R,9,-1.1368683772161603e-13
0,0,65,sir_1,R,10,-0.010000000000104592
0,0,51,sir_1,R,11,0.020000000000095497
0,0,49,sir_1,R,12,1.1368683772161603e-13
0,0,46,sir_1,R,13,0.0
0,0,50,sir_1,R,14,0.019999999999868123
2,0,77,sir_1,R,15,0.0
1,0,60,sir_1,R,16,-1.1368683772161603e-13
0,0,58,sir_1,R,17,-1.1368683772161603e-13
0,0,44,sir_1,R,18,0.0
0,0,64,sir_1,R,19,0.019999999999868123
0,0,52,sir_1,R,20,-0.009999999999990905
0,0,49,sir_1,R,21,1.1368683772161603e-13
0,0,53,sir_21,L,1,0.020000000000209184
0,0,24,sir_21,L,2,0.02999999999974534
0,0,35,sir_21,L,3,0.0
0,0,31,sir_21,L,4,-0.009999999999990905
0,0,42,sir_21,L,5,-2.2737367544323206e-13
0,0,26,sir_21,L,6,0.0
0,0,37,sir_21,L,7,0.010000000000218279
0,0,23,sir_21,L,8,0.010000000000218279
0,0,39,sir_21,L,9,0.0
0,0,35,sir_21,L,10,-0.009999999999763531
0,0,19,sir_21,L,11,0.009999999999990905
0,0,29,sir_21,L,12,-2.2737367544323206e-13
0,0,47,sir_21,L,13,4.547473508864641e-13
1,0,36,sir_21,L,14,0.0
0,0,34,sir_21,L,15,4.547473508864641e-13
0,0,40,sir_21,L,16,0.010000000000218279
0,0,29,sir_21,L,17,-2.2737367544323206e-13
3,0,41,sir_21,L,18,0.0
0,1,22,sir_21,L,19,0.0
0,0,35,sir_21,L,20,0.0
0,0,53,sir_21,R,1,0.010000000000218279
0,0,24,sir_21,R,2,0.009999999999763531
0,0,35,sir_21,R,3,0.009999999999990905
0,0,31,sir_21,R,4,0.0
0,0,42,sir_21,R,5,0.009999999999763531
0,0,26,sir_21,R,6,-0.009999999999990905
0,0,37,sir_21,R,7,0.010000000000218279
0,0,23,sir_21,R,8,0.010000000000218279
0,0,39,sir_21,R,9,0.009999999999990905
0,0,35,sir_21,R,10,-0.010000000000218279
0,0,19,sir_21,R,11,2.2737367544323206e-13
0,0,29,sir_21,R,12,-0.009999999999990905
0,0,47,sir_21,R,13,4.547473508864641e-13
1,0,36,sir_21,R,14,-0.01999999999998181
0,0,34,sir_21,R,15,-0.009999999999763531
0,0,40,sir_21,R,16,0.010000000000218279
0,0,29,sir_21,R,17,2.2737367544323206e-13
3,0,41,sir_21,R,18,0.010000000000218279
0,0,22,sir_21,R,19,0.0
0,0,35,sir_21,R,20,0.010000000000218279
