detected_gi_start_sample,detected_gi_start_seconds,fmg_samples,fmg_seconds,insole_samples,insole_seconds,png,record,reference_alignment_shift_samples,side,status,subject,sync_status,trial
353,3.53,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_01_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,1
468,4.68,1295,12.95,1115,11.15,Sub08_H/sir_1/trial_02_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,2
518,5.18,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_03_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,3
583,5.83,2200,22.0,2121,21.21,Sub08_H/sir_1/trial_04_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,4
696,6.96,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_05_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,5
527,5.27,2200,22.0,2129,21.29,Sub08_H/sir_1/trial_06_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,6
321,3.21,2200,22.0,1951,19.51,Sub08_H/sir_1/trial_07_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,7
430,4.3,2200,22.0,2032,20.32,Sub08_H/sir_1/trial_08_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,8
317,3.17,2200,22.0,2007,20.07,Sub08_H/sir_1/trial_09_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,9
402,4.02,2200,22.0,2023,20.23,Sub08_H/sir_1/trial_10_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,10
345,3.45,2200,22.0,1941,19.41,Sub08_H/sir_1/trial_11_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,11
447,4.47,2200,22.0,2119,21.19,Sub08_H/sir_1/trial_12_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,12
362,3.62,2200,22.0,2048,20.48,Sub08_H/sir_1/trial_13_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,13
467,4.67,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_14_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,14
630,6.3,2200,22.0,2176,21.76,Sub08_H/sir_1/trial_15_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,15
311,3.11,2200,22.0,1947,19.47,Sub08_H/sir_1/trial_16_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,16
572,5.72,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_17_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,17
365,3.65,2200,22.0,1933,19.33,Sub08_H/sir_1/trial_18_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,18
347,3.47,2200,22.0,2095,20.95,Sub08_H/sir_1/trial_19_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,19
531,5.31,2200,22.0,2128,21.28,Sub08_H/sir_1/trial_20_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,20
375,3.75,2200,22.0,2081,20.81,Sub08_H/sir_1/trial_21_l_complete.png,sir_1,0,L,created,Sub08_H,trigger sequence synchronized,21
595,5.95,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_01_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,1
533,5.33,1295,12.95,1132,11.32,Sub08_H/sir_1/trial_02_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,2
507,5.07,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_03_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,3
534,5.34,2200,22.0,2151,21.51,Sub08_H/sir_1/trial_04_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,4
348,3.48,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_05_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,5
584,5.84,2200,22.0,2158,21.58,Sub08_H/sir_1/trial_06_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,6
300,3.0,2200,22.0,1979,19.79,Sub08_H/sir_1/trial_07_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,7
433,4.33,2200,22.0,2058,20.58,Sub08_H/sir_1/trial_08_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,8
355,3.55,2200,22.0,2034,20.34,Sub08_H/sir_1/trial_09_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,9
336,3.36,2200,22.0,2045,20.45,Sub08_H/sir_1/trial_10_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,10
346,3.46,2200,22.0,1979,19.79,Sub08_H/sir_1/trial_11_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,11
432,4.32,2200,22.0,2145,21.45,Sub08_H/sir_1/trial_12_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,12
390,3.9,2200,22.0,2072,20.72,Sub08_H/sir_1/trial_13_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,13
373,3.73,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_14_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,14
618,6.18,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_15_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,15
311,3.11,2200,22.0,1972,19.72,Sub08_H/sir_1/trial_16_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,16
390,3.9,2200,22.0,2200,22.0,Sub08_H/sir_1/trial_17_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,17
352,3.52,2200,22.0,1955,19.55,Sub08_H/sir_1/trial_18_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,18
341,3.41,2200,22.0,2119,21.19,Sub08_H/sir_1/trial_19_r_complete.png,sir_1,0,R,created,Sub08_H,trigger sequence synchronized,19
