baseline,gain,offset,record,side,signal,trial
63.000000000001585,1.0,200,sir_1,L,Channel 1,1
79.0,1.0,170,sir_1,L,Channel 2,1
42.0,1.0,145,sir_1,L,Channel 3,1
114.0,1.0,120,sir_1,L,Channel 4,1
108.0,1.0,100,sir_1,L,Channel 5,1
106.99999999999932,1.0,80,sir_1,L,Channel 6,1
37.0,1.0,60,sir_1,L,Channel 7,1
194.99999999999795,0.1704545454545595,40,sir_1,L,Channel 8,1
14.54,2.5,400,sir_1,L,CoP,1
1846.5349999999937,0.058770685182235764,380,sir_1,L,vGRF,1
61.0,0.6965174129353446,200,sir_1,R,Channel 1,1
177.0,0.8095238095238156,170,sir_1,R,Channel 2,1
68.99999999999363,0.8091286307053728,145,sir_1,R,Channel 3,1
55.0,1.0,120,sir_1,R,Channel 4,1
239.00000000000182,0.89999999999999,100,sir_1,R,Channel 5,1
92.99999999999886,1.0,80,sir_1,R,Channel 6,1
184.0,0.43103448275862066,60,sir_1,R,Channel 7,1
226.0,0.1595744680851079,40,sir_1,R,Channel 8,1
8.58,2.5,400,sir_1,R,CoP,1
1074.0,0.041224970553607194,380,sir_1,R,vGRF,1
41.000000000000455,1.0,200,sir_1,L,Channel 1,2
87.0,1.0,170,sir_1,L,Channel 2,2
44.0,1.0,145,sir_1,L,Channel 3,2
136.0,1.0,120,sir_1,L,Channel 4,2
120.00000000000614,1.0,100,sir_1,L,Channel 5,2
107.0,1.0,80,sir_1,L,Channel 6,2
34.0,1.0,60,sir_1,L,Channel 7,2
194.9999999999975,0.18292682926829548,40,sir_1,L,Channel 8,2
14.88499999999999,2.5,400,sir_1,L,CoP,2
2151.2400000000043,0.038284001662620366,380,sir_1,L,vGRF,2
96.0,1.0,200,sir_1,R,Channel 1,2
234.00000000000045,0.8080808080808084,170,sir_1,R,Channel 2,2
97.0,1.0,145,sir_1,R,Channel 3,2
126.99999999999932,1.0,120,sir_1,R,Channel 4,2
271.0,1.0,100,sir_1,R,Channel 5,2
148.0,0.813953488372093,80,sir_1,R,Channel 6,2
211.0,0.3787878787878788,60,sir_1,R,Channel 7,2
249.00000000000136,0.1408450704225343,40,sir_1,R,Channel 8,2
8.849999999999927,2.5,400,sir_1,R,CoP,2
1243.0,0.062166962699859225,380,sir_1,R,vGRF,2
60.99999999999524,1.0,200,sir_1,L,Channel 1,3
69.99999999999795,1.0,170,sir_1,L,Channel 2,3
47.999999999997954,1.0,145,sir_1,L,Channel 3,3
94.0,1.0,120,sir_1,L,Channel 4,3
93.50000000000011,1.0,100,sir_1,L,Channel 5,3
109.99999999999181,0.9859154929579785,80,sir_1,L,Channel 6,3
37.99999999999909,1.0,60,sir_1,L,Channel 7,3
161.99999999999977,0.20134228187921652,40,sir_1,L,Channel 8,3
14.93,2.5,400,sir_1,L,CoP,3
2057.190000000026,0.050302533810486924,380,sir_1,L,vGRF,3
56.99999999999932,0.6034482758620672,200,sir_1,R,Channel 1,3
221.0,0.8510638297872534,170,sir_1,R,Channel 2,3
161.0,1.0,145,sir_1,R,Channel 3,3
145.0,1.0,120,sir_1,R,Channel 4,3
276.00000000000114,0.6870229007633528,100,sir_1,R,Channel 5,3
170.0,0.614035087719304,80,sir_1,R,Channel 6,3
244.0,0.2976190476190476,60,sir_1,R,Channel 7,3
