alternative_transition_end_seconds,alternative_transition_start_seconds,flags,gi_end_seconds,gt_start_seconds,load_peaks_left,load_peaks_right,onset_seconds,record,reference_limb,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial
17.56,9.55,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,6.79,20.31,12,11,6.39,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",16.28,14.7,provisional six-phase fit,0.232,weak/ambiguous pattern evidence,1
,,All events provisional; pressure extrema are not heel-strike labels; insufficient bilateral repeated cycles for a six-phase fit,,,2,3,,sir_1,,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",,,unresolved,,unresolved,2
17.03,14.88,All events provisional; pressure extrema are not heel-strike labels,6.27,19.9,11,13,5.96,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",17.03,16.17,provisional six-phase fit,0.3713,moderate pattern evidence,3
16.64,12.82,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,6.75,18.82,11,11,6.15,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",16.64,15.16,provisional six-phase fit,0.2895,weak/ambiguous pattern evidence,4
17.13,10.83,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,8.66,21.44,11,12,8.22,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",15.97,14.62,provisional six-phase fit,0.3212,weak/ambiguous pattern evidence,5
14.44,12.03,All events provisional; pressure extrema are not heel-strike labels,6.2,18.64,12,11,5.7,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",14.44,13.12,provisional six-phase fit,0.375,moderate pattern evidence,6
10.31,5.46,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.34,15.76,11,12,2.94,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.65,5.46,provisional six-phase fit,0.4474,weak/ambiguous pattern evidence,7
13.67,11.14,All events provisional; pressure extrema are not heel-strike labels,5.32,17.98,12,11,4.28,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",13.67,12.26,provisional six-phase fit,0.4698,moderate pattern evidence,8
10.8,6.08,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.95,16.36,11,12,3.27,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.51,8.32,provisional six-phase fit,0.4009,weak/ambiguous pattern evidence,9
14.34,9.51,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.32,17.37,12,11,3.6,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.86,10.7,provisional six-phase fit,0.2555,weak/ambiguous pattern evidence,10
