end_index,end_seconds,phase,record,sequence_assumption,start_index,start_seconds,status,trial
639,6.39,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,1
679,6.79,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",639,6.39,provisional,1
1470,14.7,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",679,6.79,provisional,1
1628,16.28,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1470,14.7,provisional,1
2031,20.31,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1628,16.28,provisional,1
2633,26.32,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",2031,20.31,provisional,1
596,5.96,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,3
627,6.27,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",596,5.96,provisional,3
1617,16.17,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",627,6.27,provisional,3
1703,17.03,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1617,16.17,provisional,3
1990,19.9,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1703,17.03,provisional,3
2598,25.97,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1990,19.9,provisional,3
615,6.15,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,4
675,6.75,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",615,6.15,provisional,4
1516,15.16,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",675,6.75,provisional,4
1664,16.64,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1516,15.16,provisional,4
1882,18.82,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1664,16.64,provisional,4
2491,24.9,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1882,18.82,provisional,4
822,8.22,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,5
866,8.66,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",822,8.22,provisional,5
1462,14.62,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",866,8.66,provisional,5
1597,15.97,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1462,14.62,provisional,5
2144,21.44,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1597,15.97,provisional,5
2806,28.05,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",2144,21.44,provisional,5
570,5.7,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,6
620,6.2,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",570,5.7,provisional,6
1312,13.12,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",620,6.2,provisional,6
1444,14.44,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1312,13.12,provisional,6
1864,18.64,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1444,14.44,provisional,6
2499,24.98,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1864,18.64,provisional,6
294,2.94,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,7
334,3.34,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",294,2.94,provisional,7
546,5.46,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",334,3.34,provisional,7
665,6.65,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",546,5.46,provisional,7
1576,15.76,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",665,6.65,provisional,7
2291,22.9,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1576,15.76,provisional,7
428,4.28,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,8
532,5.32,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",428,4.28,provisional,8
1226,12.26,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",532,5.32,provisional,8
1367,13.67,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1226,12.26,provisional,8
1798,17.98,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1367,13.67,provisional,8
2384,23.83,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1798,17.98,provisional,8
327,3.27,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,9
395,3.95,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",327,3.27,provisional,9
832,8.32,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",395,3.95,provisional,9
951,9.51,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",832,8.32,provisional,9
1636,16.36,SSLW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",951,9.51,provisional,9
2355,23.54,GT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1636,16.36,provisional,9
360,3.6,QS,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",0,0.0,provisional,10
432,4.32,GI,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",360,3.6,provisional,10
1070,10.7,SSSW,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",432,4.32,provisional,10
1186,11.86,SLT,sir_1,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",1070,10.7,provisional,10
