time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing
0.00,42,86,51,82,114,117,32,188,16.43,2320.3200000000002,QS,provisional_assumed_short_to_long,0
0.01,42.000000000001819,85.999999999998181,51,82,113,115.00000000000182,33,188.99999999999909,16.43,2318.3300000000008,QS,provisional_assumed_short_to_long,0
0.02,43.999999999996362,84.000000000003638,51,82,113,116.99999999999818,32.999999999998181,188,16.43,2319.3299999999972,QS,provisional_assumed_short_to_long,0
0.03,42.000000000002728,85.999999999991815,51,82,112.99999999999727,116.00000000000273,31.999999999997272,188,16.43,2317.8249999999957,QS,provisional_assumed_short_to_long,0
0.04,43,83.000000000007276,51,82.000000000003638,112.00000000000728,117,31.000000000003638,188.00000000000364,16.429999999999964,2316.320000000022,QS,provisional_assumed_short_to_long,0
0.05,42.999999999995453,84.999999999990905,51,82.999999999995453,113.99999999999545,117,32,188.99999999999545,16.420000000000002,2322.3299999999954,QS,provisional_assumed_short_to_long,0
0.06,42.000000000005912,83.000000000011823,51,82.000000000005912,113.00000000000591,117,32,188.00000000000591,16.419999999999948,2321.329999999989,QS,provisional_assumed_short_to_long,0
0.07,42,85.999999999984993,50.000000000005002,81.000000000005002,113.999999999995,117,32.999999999994998,188,16.409999999999968,2319.3299999999999,QS,provisional_assumed_short_to_long,0
0.08,43.999999999991815,85.000000000004093,50.999999999995907,81,112.00000000000819,117,32.000000000004093,188.99999999999591,16.404999999999962,2319.335,QS,provisional_assumed_short_to_long,0
0.09,44,84.000000000003183,51,80.000000000003183,111.00000000000318,117,32,188.00000000000318,16.399999999999999,2319.3400000000083,QS,provisional_assumed_short_to_long,0
0.10,43.000000000002274,86.999999999993179,51,80,111,114.00000000000682,31.000000000002274,187.00000000000227,16.399999999999817,2320.3399999999911,QS,provisional_assumed_short_to_long,0
0.11,43,85.000000000002728,51,79.000000000001364,110.00000000000136,114.99999999999864,32.999999999997272,187.99999999999864,16.379999999999999,2319.3400000000202,QS,provisional_assumed_short_to_long,0
0.12,41.000000000000909,85,51,79,112.99999999999864,116.99999999999909,31.000000000000909,188.99999999999955,16.379999999999889,2321.3499999999999,QS,provisional_assumed_short_to_long,0
0.13,42.000000000000909,85.999999999999091,51.999999999999545,78.000000000000455,113,116.99999999999864,32,189.99999999999955,16.369999999999884,2321.3499999999999,QS,provisional_assumed_short_to_long,0
0.14,44,84.000000000002728,51,79,112.99999999999454,114,32,188.99999999999864,16.359999999999999,2321.3600000000001,QS,provisional_assumed_short_to_long,0
0.15,44,85.999999999997726,50.999999999997726,78.999999999995453,108.99999999999773,114,32,188.00000000000227,16.359999999999999,2321.3599999999728,QS,provisional_assumed_short_to_long,0
0.16,44,85,50.000000000003183,76.999999999987267,108.00000000001592,114.00000000000318,32,188.99999999999682,16.359999999999999,2319.359999999971,QS,provisional_assumed_short_to_long,0
0.17,43.999999999995907,85,51,73.000000000004093,112.99999999998772,115,32.000000000004093,187.99999999999591,16.359999999999999,2317.3600000000311,QS,provisional_assumed_short_to_long,0
0.18,42.999999999984993,84.999999999994998,51.000000000005002,73.999999999994998,109.99999999998499,115,33,187,16.359999999999836,2319.3599999999838,QS,provisional_assumed_short_to_long,0
0.19,40.000000000016371,84.000000000005457,51.999999999994543,73.000000000005457,107.00000000001637,115,33,187,16.35000000000052,2318.3699999999817,QS,provisional_assumed_short_to_long,0
0.20,39.000000000004547,84.999999999995453,50.000000000009095,72.000000000004547,109.99999999998636,115,32.000000000004547,187,16.38000000000018,2317.3099999999995,QS,provisional_assumed_short_to_long,0
0.21,39,85.999999999996362,50.999999999996362,71.000000000003638,109.00000000000364,115,32,185.00000000000728,16.389999999999965,2317.29,QS,provisional_assumed_short_to_long,0
0.22,39,85.000000000002728,51,70.000000000002728,107.00000000000546,114.00000000000273,32,184.00000000000273,16.390000000000001,2318.2899999999972,QS,provisional_assumed_short_to_long,0
0.23,39,84.000000000001819,50.000000000001819,69.000000000001819,106.00000000000182,114,32.999999999998181,183.00000000000182,16.390000000000001,2319.2899999999981,QS,provisional_assumed_short_to_long,0
0.24,39,84.999999999999091,50.999999999999091,69,106,114,32.000000000000909,182.00000000000091,16.390000000000001,2316.2900000000027,QS,provisional_assumed_short_to_long,0
0.25,39,84,51,68,106,114,32,183,16.390000000000001,2313.29,QS,provisional_assumed_short_to_long,0
0.26,39,83.999999999999091,51.000000000000909,67,105.00000000000091,114.00000000000091,32.000000000000909,182,16.379999999999999,2313.2899999999981,QS,provisional_assumed_short_to_long,0
0.27,39,83.000000000005457,51.999999999996355,67,106,114.99999999999818,32.999999999998181,181.99999999999454,16.379999999999963,2311.2899999999563,QS,provisional_assumed_short_to_long,0
0.28,38.999999999997272,85.999999999989072,50.000000000002728,67,106.00000000001093,114.00000000000273,32,179,16.359999999999985,2287.2899999999972,QS,provisional_assumed_short_to_long,0
0.29,38.000000000003638,82,51,67,109.99999999998182,115,32.000000000003638,178.99999999999272,16.354999999999983,2286.2999999999965,QS,provisional_assumed_short_to_long,0
0.30,39,82,51,66.999999999995453,104.99999999999545,115.00000000000909,32.999999999990905,176.99999999999545,16.349999999999955,2285.3100000000045,QS,provisional_assumed_short_to_long,0
0.31,39,82,51,66.000000000005912,104.00000000000591,116.99999999998818,31.000000000011823,176.00000000000591,16.34,2286.3199999999838,QS,provisional_assumed_short_to_long,0
0.32,39,82.999999999994998,50.000000000005002,66,104.999999999995,115.00000000001,31.999999999994998,176,16.34,2283.3300000000127,QS,provisional_assumed_short_to_long,0
0.33,39,83.999999999995907,50.999999999995907,66,108.99999999998363,115,31.000000000004093,176.99999999999591,16.339999999999929,2285.3299999999708,QS,provisional_assumed_short_to_long,0
0.34,39,84.999999999996817,51,66,107.00000000000637,115,31.99999999999682,177.99999999999682,16.329999999999956,2281.3299999999917,QS,provisional_assumed_short_to_long,0
0.35,39,84.000000000002274,51,67.999999999995453,107,115,32.999999999997726,178.99999999999773,16.324999999999953,2280.3349999999909,QS,provisional_assumed_short_to_long,0
0.36,39,84,50.000000000001364,68,106.00000000000136,115.99999999999864,32.000000000001364,178.00000000000136,16.319999999999801,2279.3399999998901,QS,provisional_assumed_short_to_long,0
0.37,39,86.999999999998636,50,67.000000000000455,106,115.00000000000045,32,177.00000000000045,16.299999999999891,2268.3600000000874,QS,provisional_assumed_short_to_long,0
0.38,39,87.999999999998636,50.999999999999545,68,106,116,32,177.00000000000045,16.289999999999999,2276.3800000000001,QS,provisional_assumed_short_to_long,0
0.39,38.999999999998636,85.000000000004093,50.000000000001364,68,106.00000000000546,116,32.000000000001364,178,16.289999999999999,2276.380000000051,QS,provisional_assumed_short_to_long,0
0.40,38.000000000002274,87.999999999995453,51.000000000002274,68,110.00000000000227,115.99999999999773,32.999999999997726,178,16.289999999999864,2280.3900000000408,QS,provisional_assumed_short_to_long,0
0.41,39,86.000000000003183,51.999999999996817,67.999999999996817,110.99999999998407,115.00000000000318,32.000000000003183,178,16.280000000000001,2283.3899999999926,QS,provisional_assumed_short_to_long,0
0.42,39,86.999999999995907,50.999999999995907,67.000000000008185,106.00000000001637,116,32.999999999995907,178,16.280000000000001,2282.8949999999923,QS,provisional_assumed_short_to_long,0
