time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing
0.00,111,205,40,108,304,159,226,255,10.01,1261,QS,provisional_assumed_short_to_long,0
0.01,111,205,40,108,304,159,226,254.49999999999955,10.01,1261.9999999999991,QS,provisional_assumed_short_to_long,0
0.02,111,205,40,108.00000000000182,304,159,226,254,10.010000000000035,1260.9999999999909,QS,provisional_assumed_short_to_long,0
0.03,110.99999999999727,204.99999999999727,40,108.99999999999727,304,159,226,254,10.030000000000108,1256.0000000000109,QS,provisional_assumed_short_to_long,0
0.04,110.00000000000364,204,40,108,304,159,226,254,10.07,1259.9999999999964,QS,provisional_assumed_short_to_long,0
0.05,110.99999999999545,203.99999999999545,40,107.99999999999545,304,159,225.99999999999545,254,10.069999999999954,1259,QS,provisional_assumed_short_to_long,0
0.06,109.99999999999454,203,40,107,304,159,225,253.99999999999454,10.06,1258.9999999999973,QS,provisional_assumed_short_to_long,0
0.07,108.99999999999363,203,40,106.99999999999363,304,159,225,253,10.06,1258.4999999999968,QS,provisional_assumed_short_to_long,0
0.08,107.99999999999272,202.99999999999272,40,105.99999999999272,303.99999999998545,158.99999999999272,225,252.99999999999272,10.06,1258,QS,provisional_assumed_short_to_long,0
0.09,107.00000000000318,202.00000000000318,40,105.00000000000318,302.00000000000637,158.00000000000318,225,252.00000000000318,10.06,1258,QS,provisional_assumed_short_to_long,0
0.10,105.00000000000455,201.00000000000227,40,105,302.99999999999773,158,225,251.00000000000227,10.06,1256.0000000000273,QS,provisional_assumed_short_to_long,0
0.11,105,200.00000000000136,40,104.00000000000136,303,158,224.00000000000136,250.00000000000136,10.06,1256.9999999999873,QS,provisional_assumed_short_to_long,0
0.12,101.00000000000182,200,40,102.00000000000091,303,158,224.99999999999955,250,10.06,1257,QS,provisional_assumed_short_to_long,0
0.13,100,200,40,103,303,157.99999999999955,224.00000000000045,248.99999999999909,10.055000000000055,1256.0000000000109,QS,provisional_assumed_short_to_long,0
0.14,99.999999999998636,199.99999999999864,39.999999999998636,103,303,156.99999999999864,225,247,10.05000000000005,1255.00000000001,QS,provisional_assumed_short_to_long,0
0.15,98.999999999997726,199,39.000000000002274,102.99999999999773,303,156,225,246.99999999999773,10.030000000000181,1252.0000000000273,QS,provisional_assumed_short_to_long,0
0.16,98,198.99999999999682,40,102.00000000000318,302.99999999999682,156,224.99999999999682,245.99999999999363,10.039999999999917,1251.0000000000082,QS,provisional_assumed_short_to_long,0
0.17,97.999999999995907,198,40,103.00000000000409,302,155.99999999999591,224.00000000000409,244.00000000000409,10.030000000000072,1251,QS,provisional_assumed_short_to_long,0
0.18,97,198,40,103.999999999995,302.000000000005,155,225,245,10.029999999999999,1251,QS,provisional_assumed_short_to_long,0
0.19,97,198,39.999999999994088,103,303,154.99999999999409,225,244.99999999999409,10.039999999999944,1251,QS,provisional_assumed_short_to_long,0
0.20,96.999999999993179,198,39.000000000006821,103,303,154,225,244,10.035000000000021,1251.9999999999955,QS,provisional_assumed_short_to_long,0
0.21,96.000000000003638,198,39.999999999996362,103,303,154,225,244,10.030000000000017,1252.9999999999964,QS,provisional_assumed_short_to_long,0
0.22,96,197.00000000000273,40,103.99999999999727,303,154,225,244,10.020000000000026,1253,QS,provisional_assumed_short_to_long,0
