baseline,gain,offset,record,side,signal,trial
161.99999999999966,1.0,200,jitu_1,L,Channel 1,1
46.99999999999841,1.0,170,jitu_1,L,Channel 2,1
49.99999999999966,1.0,145,jitu_1,L,Channel 3,1
41.0,1.0,120,jitu_1,L,Channel 4,1
0.0,1.0,100,jitu_1,L,Channel 5,1
67.0,1.0,80,jitu_1,L,Channel 6,1
36.00000000000182,1.0,60,jitu_1,L,Channel 7,1
35.0,1.0,40,jitu_1,L,Channel 8,1
15.509999999999994,2.5,400,jitu_1,L,CoP,1
925.5500000000012,0.08,380,jitu_1,L,vGRF,1
584.0,0.4513064133016631,200,jitu_1,R,Channel 1,1
396.00000000000034,0.553633217993079,170,jitu_1,R,Channel 2,1
470.00000000000045,0.594713656387664,145,jitu_1,R,Channel 3,1
660.0000000000013,0.22587268993839776,120,jitu_1,R,Channel 4,1
372.0,0.27692307692307694,100,jitu_1,R,Channel 5,1
382.0,0.23411371237458195,80,jitu_1,R,Channel 6,1
506.0,0.10940919037199133,60,jitu_1,R,Channel 7,1
421.0,0.10638297872340492,40,jitu_1,R,Channel 8,1
3.17,2.225047679593284,400,jitu_1,R,CoP,1
242.00000000000546,0.08,380,jitu_1,R,vGRF,1
170.0,1.0,200,jitu_1,L,Channel 1,2
45.0,1.0,170,jitu_1,L,Channel 2,2
49.0,1.0,145,jitu_1,L,Channel 3,2
41.0,1.0,120,jitu_1,L,Channel 4,2
0.0,1.0,100,jitu_1,L,Channel 5,2
51.0,1.0,80,jitu_1,L,Channel 6,2
37.0,1.0,60,jitu_1,L,Channel 7,2
33.999999999999545,1.0,40,jitu_1,L,Channel 8,2
14.560000000000052,2.5,400,jitu_1,L,CoP,2
1004.159999999999,0.08,380,jitu_1,L,vGRF,2
566.0,0.4973821989528805,200,jitu_1,R,Channel 1,2
394.0,0.5693950177935944,170,jitu_1,R,Channel 2,2
465.0,0.6108597285068089,145,jitu_1,R,Channel 3,2
646.0,0.23157894736842105,120,jitu_1,R,Channel 4,2
339.0,0.30927835051546393,100,jitu_1,R,Channel 5,2
353.99999999999807,0.2545454545454578,80,jitu_1,R,Channel 6,2
472.99999999999955,0.11764705882352954,60,jitu_1,R,Channel 7,2
424.0,0.10676156583629894,40,jitu_1,R,Channel 8,2
3.19,2.227880330999364,400,jitu_1,R,CoP,2
84.99999999999898,0.06686478454680948,380,jitu_1,R,vGRF,2
179.99999999999932,1.0,200,jitu_1,L,Channel 1,3
46.0,1.0,170,jitu_1,L,Channel 2,3
50.999999999998636,1.0,145,jitu_1,L,Channel 3,3
42.0,1.0,120,jitu_1,L,Channel 4,3
0.0,1.0,100,jitu_1,L,Channel 5,3
86.99999999999955,1.0,80,jitu_1,L,Channel 6,3
38.0,1.0,60,jitu_1,L,Channel 7,3
