end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
284,2.84,QS,jitu_1,0,0.0,provisional,1
373,3.73,GI,jitu_1,284,2.84,provisional,1
651,6.51,SSSW,jitu_1,373,3.73,provisional,1
819,8.19,SLT,jitu_1,651,6.51,provisional,1
2165,21.65,SSLW,jitu_1,819,8.19,provisional,1
2556,25.55,GT,jitu_1,2165,21.65,provisional,1
172,1.72,QS,jitu_1,0,0.0,provisional,2
300,3.0,GI,jitu_1,172,1.72,provisional,2
660,6.6,SSSW,jitu_1,300,3.0,provisional,2
828,8.28,SLT,jitu_1,660,6.6,provisional,2
2213,22.13,SSLW,jitu_1,828,8.28,provisional,2
2524,25.23,GT,jitu_1,2213,22.13,provisional,2
178,1.78,QS,jitu_1,0,0.0,provisional,3
298,2.98,GI,jitu_1,178,1.78,provisional,3
587,5.87,SSSW,jitu_1,298,2.98,provisional,3
757,7.57,SLT,jitu_1,587,5.87,provisional,3
2106,21.06,SSLW,jitu_1,757,7.57,provisional,3
2492,24.91,GT,jitu_1,2106,21.06,provisional,3
268,2.68,QS,jitu_1,0,0.0,provisional,4
360,3.6,GI,jitu_1,268,2.68,provisional,4
1761,17.61,SSSW,jitu_1,360,3.6,provisional,4
1894,18.94,SLT,jitu_1,1761,17.61,provisional,4
2246,22.46,SSLW,jitu_1,1894,18.94,provisional,4
2500,24.99,GT,jitu_1,2246,22.46,provisional,4
81,0.81,QS,jitu_1,0,0.0,provisional,5
193,1.93,GI,jitu_1,81,0.81,provisional,5
488,4.88,SSSW,jitu_1,193,1.93,provisional,5
657,6.57,SLT,jitu_1,488,4.88,provisional,5
1945,19.45,SSLW,jitu_1,657,6.57,provisional,5
2313,23.12,GT,jitu_1,1945,19.45,provisional,5
337,3.37,QS,jitu_1,0,0.0,model_assisted_provisional,6
410,4.1,GI,jitu_1,337,3.37,model_assisted_provisional,6
1263,12.63,SSSW,jitu_1,410,4.1,model_assisted_provisional,6
1431,14.31,SLT,jitu_1,1263,12.63,model_assisted_provisional,6
2092,20.92,SSLW,jitu_1,1431,14.31,model_assisted_provisional,6
2553,25.52,GT,jitu_1,2092,20.92,model_assisted_provisional,6
191,1.91,QS,jitu_1,0,0.0,provisional,7
235,2.35,GI,jitu_1,191,1.91,provisional,7
1095,10.95,SSSW,jitu_1,235,2.35,provisional,7
1283,12.83,SLT,jitu_1,1095,10.95,provisional,7
2141,21.41,SSLW,jitu_1,1283,12.83,provisional,7
2385,23.84,GT,jitu_1,2141,21.41,provisional,7
234,2.34,QS,jitu_1,0,0.0,provisional,8
295,2.95,GI,jitu_1,234,2.34,provisional,8
936,9.36,SSSW,jitu_1,295,2.95,provisional,8
1105,11.05,SLT,jitu_1,936,9.36,provisional,8
1900,19.0,SSLW,jitu_1,1105,11.05,provisional,8
2272,22.71,GT,jitu_1,1900,19.0,provisional,8
206,2.06,QS,jitu_1,0,0.0,model_assisted_provisional,9
325,3.25,GI,jitu_1,206,2.06,model_assisted_provisional,9
605,6.05,SSSW,jitu_1,325,3.25,model_assisted_provisional,9
755,7.55,SLT,jitu_1,605,6.05,model_assisted_provisional,9
2143,21.43,SSLW,jitu_1,755,7.55,model_assisted_provisional,9
2472,24.71,GT,jitu_1,2143,21.43,model_assisted_provisional,9
200,2.0,QS,jitu_1,0,0.0,provisional,10
373,3.73,GI,jitu_1,200,2.0,provisional,10
877,8.77,SSSW,jitu_1,373,3.73,provisional,10
1057,10.57,SLT,jitu_1,877,8.77,provisional,10
1964,19.64,SSLW,jitu_1,1057,10.57,provisional,10
2461,24.6,GT,jitu_1,1964,19.64,provisional,10
71,0.71,QS,jitu_21,0,0.0,model_assisted_provisional,1
251,2.51,GI,jitu_21,71,0.71,model_assisted_provisional,1
907,9.07,SSSW,jitu_21,251,2.51,model_assisted_provisional,1
1066,10.66,SLT,jitu_21,907,9.07,model_assisted_provisional,1
1967,19.67,SSLW,jitu_21,1066,10.66,model_assisted_provisional,1
2464,24.63,GT,jitu_21,1967,19.67,model_assisted_provisional,1
102,1.02,QS,jitu_21,0,0.0,provisional,2
211,2.11,GI,jitu_21,102,1.02,provisional,2
478,4.78,SSSW,jitu_21,211,2.11,provisional,2
634,6.34,SLT,jitu_21,478,4.78,provisional,2
2020,20.2,SSLW,jitu_21,634,6.34,provisional,2
2374,23.73,GT,jitu_21,2020,20.2,provisional,2
377,3.77,QS,jitu_21,0,0.0,provisional,3
439,4.39,GI,jitu_21,377,3.77,provisional,3
624,6.24,SSSW,jitu_21,439,4.39,provisional,3
794,7.94,SLT,jitu_21,624,6.24,provisional,3
2184,21.84,SSLW,jitu_21,794,7.94,provisional,3
2553,25.52,GT,jitu_21,2184,21.84,provisional,3
95,0.95,QS,jitu_21,0,0.0,model_assisted_provisional,4
203,2.03,GI,jitu_21,95,0.95,model_assisted_provisional,4
649,6.49,SSSW,jitu_21,203,2.03,model_assisted_provisional,4
832,8.32,SLT,jitu_21,649,6.49,model_assisted_provisional,4
2034,20.34,SSLW,jitu_21,832,8.32,model_assisted_provisional,4
2322,23.21,GT,jitu_21,2034,20.34,model_assisted_provisional,4
245,2.45,QS,jitu_21,0,0.0,provisional,5
329,3.29,GI,jitu_21,245,2.45,provisional,5
1165,11.65,SSSW,jitu_21,329,3.29,provisional,5
1338,13.38,SLT,jitu_21,1165,11.65,provisional,5
1951,19.51,SSLW,jitu_21,1338,13.38,provisional,5
2457,24.56,GT,jitu_21,1951,19.51,provisional,5
232,2.32,QS,jitu_21,0,0.0,provisional,6
352,3.52,GI,jitu_21,232,2.32,provisional,6
620,6.2,SSSW,jitu_21,352,3.52,provisional,6
779,7.79,SLT,jitu_21,620,6.2,provisional,6
2041,20.41,SSLW,jitu_21,779,7.79,provisional,6
2487,24.86,GT,jitu_21,2041,20.41,provisional,6
246,2.46,QS,jitu_21,0,0.0,provisional,7
320,3.2,GI,jitu_21,246,2.46,provisional,7
804,8.04,SSSW,jitu_21,320,3.2,provisional,7
969,9.69,SLT,jitu_21,804,8.04,provisional,7
1725,17.25,SSLW,jitu_21,969,9.69,provisional,7
2353,23.52,GT,jitu_21,1725,17.25,provisional,7
159,1.59,QS,jitu_21,0,0.0,provisional,8
255,2.55,GI,jitu_21,159,1.59,provisional,8
562,5.62,SSSW,jitu_21,255,2.55,provisional,8
733,7.33,SLT,jitu_21,562,5.62,provisional,8
2018,20.18,SSLW,jitu_21,733,7.33,provisional,8
2462,24.61,GT,jitu_21,2018,20.18,provisional,8
136,1.36,QS,jitu_21,0,0.0,provisional,9
313,3.13,GI,jitu_21,136,1.36,provisional,9
868,8.68,SSSW,jitu_21,313,3.13,provisional,9
1035,10.35,SLT,jitu_21,868,8.68,provisional,9
1993,19.93,SSLW,jitu_21,1035,10.35,provisional,9
2319,23.18,GT,jitu_21,1993,19.93,provisional,9
60,0.6,QS,jitu_21,0,0.0,model_assisted_provisional,10
144,1.44,GI,jitu_21,60,0.6,model_assisted_provisional,10
426,4.26,SSSW,jitu_21,144,1.44,model_assisted_provisional,10
590,5.9,SLT,jitu_21,426,4.26,model_assisted_provisional,10
1949,19.49,SSLW,jitu_21,590,5.9,model_assisted_provisional,10
2214,22.13,GT,jitu_21,1949,19.49,model_assisted_provisional,10
