time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,363,234,312,541,94,167,259,205,3.4138516904590559,102.78785932978792,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,1,1
0.01,365.00000000000091,235.00000000000091,313.00000000000182,542,108.00000000000182,168.00000000000182,260,205.00000000000728,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,365.99999999999613,235.99999999999613,314.99999999999227,542,109.99999999999227,169.99999999999227,260,212.99999999996908,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,366,236.99999999999704,314.00000000000296,542.99999999999704,110.99999999999704,171.99999999999409,260.99999999999704,214.99999999999409,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,366.99999999999795,238.99999999999591,314,543,111.99999999999795,172.99999999999795,262.99999999999591,216.99999999999591,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,367.99999999999886,238.00000000000114,314,543,112,173.99999999999886,264.99999999999773,207.00000000001137,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,368,238.99999999999977,314.99999999999977,543.99999999999977,120.99999999999795,174,265.99999999999977,207.99999999999977,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,369,238.00000000000068,315.99999999999932,544,120.99999999999932,175,265.00000000000136,209.99999999999864,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,369,238.99999999999591,315.00000000000409,544,120.00000000000409,175,266.99999999999181,208.00000000000819,3.1899999999999999,105.99999999999591,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,369,238.00000000000318,315,544,120.99999999999682,175,266.00000000000318,207.00000000000318,3.1899999999999999,105.00000000000318,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,369,238.99999999999773,315.99999999999773,544.99999999999773,121,175.99999999999773,266.99999999999773,207.99999999999773,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,369.99999999999864,239.99999999999864,316,545,121,175.00000000000136,267.99999999999864,208.99999999999864,3.1899999999999999,105,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
