time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,163,43,50,43,0,51,36,34,14.4,1117.01,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,162.99999999999909,43,50,43,0,52,35,33.000000000000909,14.399999999999991,1118.0100000000009,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,162,43,50,42.999999999998181,0,52,34.999999999998181,34,14.390000000000018,1119.0100000000018,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,162.00000000000273,43,50,42.000000000002728,0,52,34,34,14.4,1120.0099999999959,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,162.99999999999272,43,50,43,0,52,34,33.999999999996362,14.4,1118.5099999999945,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,161.00000000000455,43,50,43,0,52,34,33,14.399999999999091,1117.0100000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,162.00000000000546,43,50.000000000005457,42.999999999994543,0,52,34.000000000010914,33,14.199999999999944,1139.0099999999945,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,163,43,51,42.000000000006366,0,52,35.999999999987267,33.000000000006366,14.190000000001401,1138.0099999998727,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,162.99999999999272,43,51,43,0,52,34.000000000007276,34,14.41,1118.0099999999927,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,161.99999999999181,43,50.999999999991815,43,0,52,35,33.999999999991815,14.41,1117.0100000000032,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,161.00000000000227,43,50.000000000002274,43,0,52,35,33.000000000002274,14.419999999999977,1119.0099999999954,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,162.99999999999727,43,50,42.000000000001364,0,51.000000000001364,35,33.999999999998636,14.42,1119.5099999999993,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,163,43,50,42,0,51.999999999999545,35,33.000000000000455,14.42,1120.0099999999998,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,162.99999999999955,43,50.999999999999545,42.000000000000455,0,51.999999999999545,34.999999999999545,33.999999999999545,14.420000000000005,1117.0000000000005,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,162,43,50,43,0,51.000000000002046,34,33.000000000000682,14.430000000000014,1118.0000000000041,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,162,43,50,43,0,52.500000000003411,34,33.500000000001137,14.440000000000023,1120.9999999999977,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,162.00000000000318,43,50,42.999999999996817,0,53.99999999999045,34.000000000006366,33.999999999996817,14.449999999999999,1120.0000000000016,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,162.99999999999591,43,50.000000000004093,42,0,51.000000000004093,35.999999999991815,33,14.449999999999999,1120.500000000002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,161.99999999999,43,51,42,0,52,34,33.000000000005002,14.450000000000099,1120.999999999995,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,160.00000000001182,43,50.999999999994088,42.000000000005912,0,52.000000000011823,34,33.999999999994088,14.470000000000178,1119.99,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.20,162,43,50.000000000006821,42.999999999993179,0,54,34.000000000006821,33,14.5,1119.98,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.21,162,43,51,42,0,54,35,32.999999999996135,14.500000000000542,1119.9700000000073,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.22,162,43,51,42,0,54,35,32.499999999998522,14.569999999999808,1120.8999999999976,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.23,162,43,51,42,0,54,35,32.000000000000909,14.57,1117.9000000000055,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.24,162,43,51,42,0,54,35,33.999999999998181,14.574999999999996,1117.4000000000005,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.25,163,43,51,42,0,55,34,34,14.58,1116.9000000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.26,161,42.999999999999091,50,42,0,55.000000000000909,35,34,14.59,1121.8999999999983,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.27,161.00000000000182,42.000000000001819,50,42,0,55.999999999998181,35,34,14.59,1119.9000000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.28,162,43,50,42,0,55,35,33.999999999997272,14.590000000000027,1119.8999999999946,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.29,161.99999999999636,43,50,42,0,55,35.000000000003638,33.000000000003638,14.6,1117.9000000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.30,160.99999999999545,43,50.000000000004547,42,0,55,36,34,14.600000000000023,1117.9000000000024,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.31,160.00000000000546,43,50.999999999994543,42,0,55,36,33.999999999994543,14.605000000000027,1118.3950000000027,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.32,161,43,50,42,0,55,36,33.000000000006366,14.609999999999935,1118.8900000000065,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.33,161.00000000000728,43,50.000000000007276,42.000000000007276,0,55,35.999999999992724,34,14.600000000000072,1119.9000000000074,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.34,162,43,51,43,0,55,35.000000000008185,34.000000000008185,14.609999999999967,1120.8999999999969,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
