time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,93,110,45,127,107,48,29,192,14.600000000000227,2614.3200000001139,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,94,109,45.999999999999091,126.99999999999909,108.00000000000091,48,30,192,14.609999999999999,2619.320000000012,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,93.999999999998181,109,45.000000000003638,126.00000000000182,109.00000000000182,48,30,192,14.609999999999999,2619.8200000000124,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,93.000000000002728,109.00000000000273,47,127.00000000000273,110,48,30,192,14.609999999999999,2620.3200000000256,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,94,110,46.999999999996362,127.99999999999636,110,48,30,192,14.609999999999999,2621.3200000000529,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,94,110,46,127.00000000000455,110,48,30,192,14.610000000000273,2623.3199999999997,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,94.000000000005457,110,46,128,110,48,30,192,14.619999999999999,2623.3099999999995,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,94.999999999993634,110,45.999999999993634,128,110.00000000001273,48.000000000006366,30,192,14.619999999999999,2623.3000000000002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,93.999999999992724,110.00000000000728,45.000000000007276,128,112,49,30,192,14.619999999999999,2623.3000000000152,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,93.000000000016371,110.99999999999181,46,127.99999999999181,112.00000000000819,49.000000000008185,30,192,14.619999999999999,2623.8000000000156,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,94.999999999995453,110.00000000000227,46,127.00000000000227,112.99999999999773,49.999999999997726,30,192,14.619999999999999,2624.300000000032,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,94.000000000001364,110,46,127,112.00000000000136,50,30,192.99999999999864,14.620000000000326,2625.3000000000329,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,94,109.00000000000045,46.999999999999545,127.99999999999955,112,50,30,192.00000000000045,14.630000000000001,2626.3000000000002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,94,109,46.999999999999545,128,112.99999999999955,50,30,193,14.62999999999931,2626.2999999995855,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,94,109.00000000000136,46,128,112.00000000000682,49.999999999998636,30,193,14.609999999999999,2614.3000000000179,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,94,110,46,127.99999999999773,117,48.999999999997726,30,193,14.609999999999999,2614.8050000000185,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,94,110,45.999999999996817,127,117,48.000000000003183,30,193,14.609999999999999,2615.3100000000372,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,94,110,45,126.99999999999591,117.00000000000409,49,30,192.99999999999591,14.609999999999999,2616.3100000000381,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,94,110,45.000000000005002,126.000000000005,117.999999999995,49,30,192.000000000005,14.609999999999999,2617.3100000000391,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,94,110,46,127.00000000000591,117.00000000001774,49,30,193,14.609999999999999,2618.3099999998394,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.20,94.000000000006821,110,46,127.99999999999318,120.00000000002046,49,30,193,14.609999999999999,2614.2999999999597,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.21,95,110.00000000000773,45.999999999992269,127.00000000000773,123,49.000000000007731,30,193.00000000000773,14.609999999999999,2613.3100000000627,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.22,95,110.99999999999727,45.000000000002728,127.99999999999727,123,49.999999999997272,30,193.99999999999727,14.609999999999999,2614.8100000000641,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.23,95,110.00000000000182,45,127.00000000000182,124.99999999999636,50,30,194.99999999999818,14.609999999999999,2616.3100000000873,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.24,95,110,45.999999999999091,127.99999999999909,125.99999999999909,51.999999999998181,30,194.00000000000091,14.609999999999999,2618.3099999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.25,94,110,45,127,126,50,30,195,14.609999999999999,2618.3100000000227,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.26,94,110,46,127.99999999999909,127.99999999999909,51.999999999999091,30,195,14.609999999999999,2619.3099999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.27,94,110,45.999999999998181,127,127,51,30,195,14.609999999999999,2619.3099999999513,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.28,94,110,45,127.00000000000273,127.00000000000546,50.999999999997272,30,194.99999999999727,14.610000000000127,2617.3200000000638,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.29,94,110,45,128,129.00000000000364,50.000000000003638,30,194.00000000000364,14.615000000000132,2619.8200000000661,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.30,94,110,45,127.99999999999545,130,51,30,195,14.619999999999999,2622.3199999999733,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.31,94,110,45.000000000005457,126.99999999999454,129.99999999998909,50.999999999994543,30,194.99999999999454,14.619999999999999,2621.3300000000563,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.32,94,109.99999999999363,45.999999999993634,126.00000000000637,128,50,30,194,14.619999999999708,2623.3299999998835,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.33,93.999999999992724,109,45,127,128,50,30,193.99999999999272,14.6100000000003,2619.3299999999695,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.34,93.000000000008185,108.99999999999181,45.000000000008185,127.00000000000819,128.00000000001637,50,30,193.00000000000819,14.619999999999999,2618.3200000001862,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.35,93.999999999997726,108.00000000000227,45.999999999997726,127.99999999999773,129.99999999999545,50,30,193.99999999999773,14.620000000000159,2624.3299999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.36,94,107.00000000000136,45.000000000001364,127.00000000000136,130.99999999999864,50,30,194,14.625000000000163,2624.3299999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.37,94,107,45,127,130.00000000000045,49.000000000000455,30,194,14.630000000000001,2624.3299999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.38,94,106,45,127,130,50,30,194,14.630000000000001,2624.330000000069,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.39,94,106.00000000000273,45.000000000001364,127,130,50,30,193.99999999999727,14.630000000001065,2626.3299999997839,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.40,94,108,45.999999999997726,127,130.00000000000227,50,30,192.00000000000682,14.660000000001091,2620.2400000002517,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.41,94,108.00000000000318,45,126.99999999999682,131,50,30,195,14.69,2627.1700000000374,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
