time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,0,50,33,47,283,112,187,113,11.1,1408,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,0,48.000000000043656,33,47,280.00000000006548,104.00000000017462,183.00000000008731,111.00000000004366,11.080000000000437,1408,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,0,47.999999999998181,31,47,276.99999999999636,98.999999999994543,176.99999999999272,109.99999999999272,11.070000000000437,1415.9999999996508,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,0,47,31.000000000050932,46.999999999974534,274.99999999997453,95.999999999949068,172.99999999997453,106.00000000002547,11.07,1415.00000000002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,0,46.999999999996362,33,46.000000000003638,274.00000000000364,93.999999999985448,171.99999999997453,106.99999999999636,11.07,1415.9999999999809,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,0,46.00000000001819,33,46.99999999998181,274.99999999998181,90.00000000007276,165.00000000012733,106.00000000001819,11.07,1416.9999999999818,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,0,46,33,46.000000000040018,275,87.000000000120053,164.00000000004002,104.00000000008004,11.050000000000802,1416.00000000004,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,0,46.999999999983629,31.000000000032742,46.999999999983629,274.00000000001637,83.000000000065484,163.00000000001637,103.00000000001637,11.069999999998764,1416,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,0,46.000000000007276,32.000000000007276,47,274,82.999999999992724,160.99999999998545,103,11.079999999999618,1416,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,0,46.999999999985448,32.999999999985448,47,274,82.000000000014552,159.0000000000291,103,11.08,1416,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,0,46.00000000003638,32.00000000003638,47,273.00000000003638,81.00000000003638,159,103,11.084999999999818,1415.5000000000182,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,0,46,32.999999999987267,47,273,80.000000000012733,157.00000000002547,103,11.089999999999709,1415.0000000000291,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,0,46,31.000000000010914,47.999999999989086,273,80.999999999989086,158,103.00000000001091,11.080000000000346,1420.9999999997926,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,0,46,31.999999999989086,47.000000000010914,273,80.000000000010914,158,103.99999999998909,11.089999999999892,1421.9999999999891,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,0,46.999999999967258,32.999999999967258,47,273,80,157.00000000003274,103.00000000003274,11.09,1422,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,0,46.000000000009095,33,47.999999999990905,273,80,158.99999999998181,103,11.109999999998909,1422,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,0,46.000000000014552,32,48,272,80,159.99999999998545,103,11.109999999999999,1424.9999999999072,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,0,46.999999999992724,32,48,272,80,159.00000000000728,103,11.114999999999849,1424.00000000003,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,0,47,31.000000000029104,46.000000000058208,272.9999999999709,80.999999999970896,159.9999999999709,103,11.119999999999854,1423.0000000000291,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,0,46.000000000005457,31.999999999994543,47.999999999989086,272.00000000000546,80.000000000005457,160.99999999999454,103,11.119999999999999,1421.0000000001019,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
