channel_index,donors,end_seconds,method,missing_samples,model_holdout_normalized_rmse,record,start_seconds,temporal_holdout_normalized_rmse,training_source,trial,validation_points,warning
0,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,27.57,temporal_interpolation_with_endpoint_hold,1,0.5118148079904993,vipin_1,27.57,0.5051330416508684,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,27.57,cross_sensor_ridge_within_recording,1,0.09116002156509355,vipin_1,27.57,0.2667042501718639,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,27.57,cross_sensor_ridge_within_recording,1,0.09116002156509355,vipin_1,27.57,0.2667042501718639,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,0.01,cross_sensor_ridge_within_recording,2,0.06536800355598084,vipin_1,0.0,0.2079442087760716,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,27.57,cross_sensor_ridge_within_recording,1,0.06536800355598084,vipin_1,27.57,0.2079442087760716,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,0.01,cross_sensor_ridge_within_recording,2,0.06536800355598084,vipin_1,0.0,0.2079442087760716,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,27.57,cross_sensor_ridge_within_recording,1,0.06536800355598084,vipin_1,27.57,0.2079442087760716,within_recording,1,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,25.79,cross_sensor_ridge_within_recording,1,0.22288466657336167,vipin_1,25.79,0.3048552599640558,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,25.79,cross_sensor_ridge_within_recording,1,0.11036175455731612,vipin_1,25.79,0.2508983477678234,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,25.79,cross_sensor_ridge_within_recording,1,0.11036175455731612,vipin_1,25.79,0.2508983477678234,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,25.79,cross_sensor_ridge_within_recording,1,0.07437215709362138,vipin_1,25.79,0.32351066354067043,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,25.79,cross_sensor_ridge_within_recording,1,0.07437215709362138,vipin_1,25.79,0.32351066354067043,within_recording,2,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,0.01,cross_sensor_ridge_within_recording,2,0.10403022142897854,vipin_1,0.0,0.2819538820038391,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,0.01,cross_sensor_ridge_within_recording,2,0.10403022142897854,vipin_1,0.0,0.2819538820038391,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,0.0,cross_sensor_ridge_within_recording,1,0.11275078668141558,vipin_1,0.0,0.2979810177300868,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,0.0,cross_sensor_ridge_within_recording,1,0.11275078668141558,vipin_1,0.0,0.2979810177300868,within_recording,3,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
3,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
4,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
5,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
6,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
7,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
8,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
9,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
10,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
11,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
12,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
13,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
14,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
15,,25.63,cross_sensor_ridge_within_recording,1,0.2242061264244857,vipin_1,25.63,0.24168666682869464,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
16,,25.63,cross_sensor_ridge_within_recording,1,0.10361625824553074,vipin_1,25.63,0.15292366862248896,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
17,,25.63,cross_sensor_ridge_within_recording,1,0.10361625824553074,vipin_1,25.63,0.15292366862248896,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,25.63,cross_sensor_ridge_within_recording,1,0.09871754104600011,vipin_1,25.63,0.3102763100063573,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,25.63,cross_sensor_ridge_within_recording,1,0.09871754104600011,vipin_1,25.63,0.3102763100063573,within_recording,4,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
18,,25.05,cross_sensor_ridge_within_recording,2,0.15470072852020655,vipin_1,25.04,0.35509937559434607,within_recording,5,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
19,,25.05,cross_sensor_ridge_within_recording,2,0.15470072852020655,vipin_1,25.04,0.35509937559434607,within_recording,5,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
0,,25.63,temporal_interpolation_with_endpoint_hold,1,0.22293844380633276,vipin_1,25.63,0.2138555037395365,within_recording,6,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
1,,25.63,temporal_interpolation_with_endpoint_hold,1,0.22293844380633276,vipin_1,25.63,0.2138555037395365,within_recording,6,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
2,,25.63,temporal_interpolation_with_endpoint_hold,1,0.22293844380633276,vipin_1,25.63,0.2138555037395365,within_recording,6,400,"ESTIMATE, not recovered measurement; long gaps/absent streams unverified"
