time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,584,282,314,592,92,389,506,178,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,583,281.99999999999909,313.99999999999818,591.99999999999909,90.999999999999091,388,504.99999999999909,173,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,582.99999999999818,280.99999999999818,311.99999999999818,591,89.999999999998181,387.99999999999818,503.99999999999818,173.00000000000364,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,581.99999999999727,279.99999999999454,311.00000000000273,590.99999999999727,89,387,502.99999999999454,175.00000000000546,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,580.99999999999636,277.99999999999636,311.99999999999272,589.99999999999636,88.99999999992724,386.99999999999272,501,176.99999999999272,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,579.99999999999545,276.99999999999091,310,589,68.999999999995453,384.99999999999091,500.99999999999545,175,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,578.99999999998909,274.99999999998909,310,588.99999999999454,67.999999999989086,382.99999999998909,499.99999999998909,174.99999999998909,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,576.9999999999809,272.99999999999363,309.99999999998727,587.99999999999363,66,380.99999999999363,497.99999999999363,172.9999999999618,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,573.99999999998545,271.99999999998545,307.99999999997817,586.99999999998545,65.999999999992724,379.99999999998545,496.99999999999272,167,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,571.99999999998363,270,305,584.99999999999181,65,377.99999999998363,495.99999999998363,166.99999999997544,0,0,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
