time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,190,121,262,119,26,305,190,170,14.140000000000001,1329.5,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,190,122.00000000000091,262,117.00000000000182,28,306,189,170,14.140000000000009,1331.4999999999991,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,190,122.99999999999818,262,119.00000000000364,28,306.00000000000182,189,169.99999999999818,14.15,1330.4999999999982,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,190.00000000000273,122.00000000000546,262.00000000000273,120.99999999999454,28,307,189.00000000000273,169.00000000000273,14.149999999999974,1329.49,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,191,123.99999999999636,262.99999999999636,119.00000000000364,28.000000000003638,306.99999999999636,189.99999999999636,170.00000000000364,14.140000000000001,1329.5,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,190.99999999999545,123.00000000000455,262,120.00000000000455,29,306,189.00000000000455,170.99999999999091,14.140000000000024,1329.5,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,190.00000000001728,123.99999999998272,262,120.99999999998272,29,306,189.99999999998272,169.00000000003456,14.145000000000028,1329.4949999999999,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,190,124,262.99999999998363,120.00000000001637,29,306,190,169.99999999998363,14.150000000000128,1329.4900000000382,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,190,124,263,120,29,306,190,169.00000000001546,14.169999999999927,1335.4899999999709,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,190,123.00000000001455,262.00000000001455,121.9999999999709,29,306,190,170.9999999999709,14.159999999999837,1331.4899999999755,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,190.99999999998636,123,262,120.00000000002728,29.999999999986358,306,189.00000000001364,171,14.140000000000001,1328.5000000000182,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,191,123,262,122.9999999999618,30,306,189.99999999998727,169.00000000002547,14.140000000000001,1330.499999999995,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,190.00000000001182,123,262,122.00000000001182,30,306,189.00000000001182,168.00000000001182,14.140000000000001,1330.0000000000002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,190.99999999998909,123,262,122.99999999998909,29.000000000010914,306,189.99999999998909,168,14.140000000000001,1329.5000000000055,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,191,123.99999999999,262,122.00000000001,29.999999999989996,306,190,168,14.1200000000002,1324.50000000005,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,191,124,262.49999999999545,122,30,306,190,168.99999999999091,14.149999999999727,1331.4899999999363,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,191,124,262.99999999999591,122,30,306,190,169.99999999999181,14.140000000000082,1329.5000000000164,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,191.99999999999272,124,263,122,30,306,190,170,14.140000000000001,1329.5,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,191.00000000000637,124,262.00000000000637,121.00000000000637,30,306.99999999999363,189.00000000000637,168.00000000001273,14.149999999999936,1329.49,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,191.99999999999454,124,262.99999999999454,121,30,307,188.00000000000546,168.99999999999454,14.15,1330.4899999999946,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
