time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,78,126,50,0,117,46,39,212,11.1,726.34000000000003,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,78.999999999999091,123,50.999999999999091,0,116,47.999999999999091,38,211,11.099999999999991,726.33999999999912,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,78,122.99999999999636,50.000000000001819,0,116,47.000000000001819,38.000000000001819,211.00000000000182,11.090000000000018,725.34000000000367,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,78.000000000002728,121,51,0,115.99999999999727,48,38.999999999997272,211.99999999999454,11.100000000000041,727.33000000000004,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,78.999999999996362,120.99999999999636,51,0,115.00000000000728,47.999999999996362,38,209.99999999999636,11.115000000000055,727.31499999999994,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,78.000000000004547,119.99999999999545,50.999999999995453,0,116.99999999999545,47.000000000004547,38,209,11.12999999999982,727.30000000000007,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,78.999999999972715,119.00000000000546,50,0,116.00000000000546,47.999999999994543,38,209.00000000001091,11.090000000000055,727.32999999999458,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,74,119.99999999998727,50.000000000006366,0,116.99999999999363,47.000000000006366,38.000000000006366,210.99999999999363,11.099999999999808,726.34000000001288,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,74,118,51,0,116,48,38.999999999992724,209.99999999999272,11.070000000000073,728.34999999999991,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,73.999999999991815,117.99999999999181,50.999999999991815,0,116,48,38,208.99999999999181,11.079999999999918,728.33999999998377,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,73,117.00000000000909,50,0,116,48,38,208,11.069999999999954,726.34999999999093,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,73,118,50.000000000010004,0,116,48,38.000000000010004,208.00000000001,11.06499999999995,725.34999999999002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,73,118.00000000003274,50.999999999989086,0,116.00000000001091,48,39,209,11.06,724.35000000003276,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,73,120.99999999998818,50,0,117,48,39,209,11.059999999999292,727.3499999999882,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,73,120,50,0,117,48,39,209,11,726.34999999998729,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,73,120,50,0,117,48,39,209,11.000000000000137,725.35000000002742,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,73,120,50,0,117,48,39,209,11.009999999999854,727.36000000004333,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,73,120.00000000003092,50.000000000015461,0,117,48,39,209,10.999999999999845,730.34000000000049,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,73,122,51,0,117.00000000001637,47.999999999983629,39,209.00000000001637,10.99,730.36999999999171,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,73,122,51,0,117.99999999999454,47.000000000005457,39,209.99999999999454,10.99,729.86499999999126,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.20,73,122.99999999999545,51,0,118,47,39,210,10.989999999999455,729.36000000003662,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.21,75.999999999989086,122.00000000000364,50.000000000003638,0,117.00000000000364,47.999999999996362,39,210,10.959999999999809,731.3700000000191,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.22,77.999999999994543,122,50.999999999997272,0,117,48,38.000000000002728,210.99999999999727,10.949999999999799,732.37000000004002,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.23,77.000000000001819,121.00000000000182,50.000000000001819,0,117,48,38.999999999998181,211.99999999999818,10.940000000000017,734.36999999999637,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.24,77.999999999999091,121.99999999999909,50,0,117,47.000000000000909,39,211.00000000000091,10.920000000000018,734.38,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.25,78,122,51,0,117,48,39,212,10.92,734.38,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.26,77.999999999999091,120,50.000000000000909,0,117,46.000000000001819,39,211.99999999999909,10.914999999999996,733.87999999999954,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.27,77.000000000001819,120,50.999999999998181,0,117,47.999999999996355,39,211,10.909999999999982,733.38000000000181,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.28,78,119.99999999999727,50.000000000002728,0,117,46.000000000002728,39,210.99999999999727,10.899999999999974,734.38000000000545,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.29,77.999999999996362,118.99999999999272,50.999999999996362,0,116.99999999999636,47.000000000003638,39,209.99999999999636,10.889999999999855,736.3799999999236,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
