time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,0,71,32,40,279,57,121,48,10.550000000000001,428,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,0,71,32,38.000000000001819,279,56.999999999999091,121.00000000000091,48,10.520000000000005,431.00000000000045,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,0,71,32,39.999999999996362,279.00000000000182,56,122,48.000000000001819,10.525000000000009,431.50000000000091,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,0,71,31.999999999997272,38.000000000005457,279.99999999999727,56,121.99999999999727,48.999999999997272,10.529999999999999,432,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,0,71,31.000000000019099,39.999999999961801,279.0000000000191,56,121.0000000000191,48.000000000019099,10.530000000000072,432.00000000001091,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,0,71.99999999998181,31,38.00000000003638,279,56,121,48.99999999998181,10.550000000000001,435.00000000000909,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,0,72,31.99999999998272,39.999999999965439,279,56,121,48.00000000001728,10.549999999999946,436.99999999998363,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,0,71.000000000016371,31.000000000016371,38.000000000032742,278.00000000001637,56,121,48.999999999983629,10.540000000000031,434.00000000001273,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,0,71,31.999999999984539,39.999999999969077,278,56,121.99999999998454,48.000000000015461,10.545000000000035,436.00000000001455,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,0,71,32,40,278,56,121.00000000001455,48,10.549999999999919,437.99999999996726,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,0,71,32,38.000000000027285,278,56,121,48,10.539999999999909,434.00000000003638,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,0,71,32,38,278,55.000000000012733,121,48,10.529999999999999,438,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,0,71,32,39.999999999976353,278,55,121.99999999998818,48,10.530000000000108,438.00000000001091,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,0,71,32,38.000000000021828,278,55,122,48,10.53999999999988,438.99999999998818,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,0,71,31.000000000010004,39.999999999979991,278,55,122,48,10.530000000000127,438.00000000001273,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
