baseline,gain,offset,record,side,signal,trial
38.0,0.7216494845361882,200,Amit_1,L,Channel 1,1
27.000000000002043,1.0,170,Amit_1,L,Channel 2,1
43.0,1.0,145,Amit_1,L,Channel 3,1
0.0,0.2249488752556237,120,Amit_1,L,Channel 4,1
41.0,1.0,100,Amit_1,L,Channel 5,1
47.0,1.0,80,Amit_1,L,Channel 6,1
17.0,1.0,60,Amit_1,L,Channel 7,1
71.00000000000068,0.4225352112676016,40,Amit_1,L,Channel 8,1
13.37,2.5,400,Amit_1,L,CoP,1
690.6199999999991,0.041867475484267426,380,Amit_1,L,vGRF,1
0.0,0.43613707165109034,200,Amit_1,R,Channel 1,1
34.0,0.33530571992110453,170,Amit_1,R,Channel 2,1
33.00000000000341,0.7528957528957774,145,Amit_1,R,Channel 3,1
44.000000000005905,1.0,120,Amit_1,R,Channel 4,1
144.99999999999955,0.8035714285714318,100,Amit_1,R,Channel 5,1
52.00000000000409,0.9594095940959555,80,Amit_1,R,Channel 6,1
49.000000000001364,1.0,60,Amit_1,R,Channel 7,1
43.0,1.0,40,Amit_1,R,Channel 8,1
7.599999999999517,2.5,400,Amit_1,R,CoP,1
751.9999999997422,0.060240963855450025,380,Amit_1,R,vGRF,1
38.0,0.800000000000056,200,Amit_1,L,Channel 1,2
29.00000000000545,1.0,170,Amit_1,L,Channel 2,2
47.999999999998636,1.0,145,Amit_1,L,Channel 3,2
0.0,1.0,120,Amit_1,L,Channel 4,2
45.999999999997726,1.0,100,Amit_1,L,Channel 5,2
48.0,1.0,80,Amit_1,L,Channel 6,2
16.0,1.0,60,Amit_1,L,Channel 7,2
87.0,0.3448275862068966,40,Amit_1,L,Channel 8,2
14.039999999999985,2.5,400,Amit_1,L,CoP,2
958.539999999994,0.05011095998283169,380,Amit_1,L,vGRF,2
0.0,0.611353711790393,200,Amit_1,R,Channel 1,2
33.0,0.36016949152542493,170,Amit_1,R,Channel 2,2
32.0,0.8158995815899581,145,Amit_1,R,Channel 3,2
42.00000000000091,1.0,120,Amit_1,R,Channel 4,2
158.99999999999773,0.7142857142857272,100,Amit_1,R,Channel 5,2
52.0,1.0,80,Amit_1,R,Channel 6,2
51.0,1.0,60,Amit_1,R,Channel 7,2
36.0,1.0,40,Amit_1,R,Channel 8,2
10.929999999999861,2.5,400,Amit_1,R,CoP,2
726.9999999999882,0.08,380,Amit_1,R,vGRF,2
39.0,0.7734806629834801,200,Amit_1,L,Channel 1,3
29.99999999999909,1.0,170,Amit_1,L,Channel 2,3
48.00000000000182,1.0,145,Amit_1,L,Channel 3,3
0.0,1.0,120,Amit_1,L,Channel 4,3
48.99999999999682,1.0,100,Amit_1,L,Channel 5,3
47.0,1.0,80,Amit_1,L,Channel 6,3
12.0,1.0,60,Amit_1,L,Channel 7,3
136.00000000000045,0.22058823529411692,40,Amit_1,L,Channel 8,3
13.96,2.5,400,Amit_1,L,CoP,3
1037.2899999999927,0.05209496167299545,380,Amit_1,L,vGRF,3
0.0,0.5714285714285847,200,Amit_1,R,Channel 1,3
38.0,0.3601694915254237,170,Amit_1,R,Channel 2,3
35.999999999993626,0.8744394618834123,145,Amit_1,R,Channel 3,3
47.0,1.0,120,Amit_1,R,Channel 4,3
176.0,0.6382978723404256,100,Amit_1,R,Channel 5,3
58.0,1.0,80,Amit_1,R,Channel 6,3
68.0,1.0,60,Amit_1,R,Channel 7,3
38.0,1.0,40,Amit_1,R,Channel 8,3
12.179999999999787,2.5,400,Amit_1,R,CoP,3
828.9999999998602,0.07306889352839388,380,Amit_1,R,vGRF,3
41.0,0.693069306930693,200,Amit_1,L,Channel 1,4
32.0,0.9826589595375722,170,Amit_1,L,Channel 2,4
51.0,1.0,145,Amit_1,L,Channel 3,4
0.0,1.0,120,Amit_1,L,Channel 4,4
52.0,1.0,100,Amit_1,L,Channel 5,4
49.0,1.0,80,Amit_1,L,Channel 6,4
29.0,1.0,60,Amit_1,L,Channel 7,4
192.99999999999955,0.15544041450777238,40,Amit_1,L,Channel 8,4
13.814999999999962,2.5,400,Amit_1,L,CoP,4
1092.9500000000037,0.045013761349906284,380,Amit_1,L,vGRF,4
0.0,0.47619047619047616,200,Amit_1,R,Channel 1,4
38.0,0.354166666666668,170,Amit_1,R,Channel 2,4
31.999999999999545,0.7894736842105452,145,Amit_1,R,Channel 3,4
43.0,1.0,120,Amit_1,R,Channel 4,4
154.0,0.75,100,Amit_1,R,Channel 5,4
50.0,0.9386281588447654,80,Amit_1,R,Channel 6,4
51.99999999999682,1.0,60,Amit_1,R,Channel 7,4
34.0,1.0,40,Amit_1,R,Channel 8,4
11.629999999999756,2.5,400,Amit_1,R,CoP,4
885.9999999999795,0.07276507276549857,380,Amit_1,R,vGRF,4
38.0,0.7142857142857442,200,Amit_1,L,Channel 1,5
27.000000000001364,0.9770114942529112,170,Amit_1,L,Channel 2,5
50.0,1.0,145,Amit_1,L,Channel 3,5
0.0,1.0,120,Amit_1,L,Channel 4,5
48.0,1.0,100,Amit_1,L,Channel 5,5
47.0,1.0,80,Amit_1,L,Channel 6,5
13.0,1.0,60,Amit_1,L,Channel 7,5
113.0,0.26548672566371684,40,Amit_1,L,Channel 8,5
14.5099999999999,2.5,400,Amit_1,L,CoP,5
1121.6200000000053,0.045892009545546335,380,Amit_1,L,vGRF,5
0.0,0.5017921146953405,200,Amit_1,R,Channel 1,5
39.0,0.34274193548387094,170,Amit_1,R,Channel 2,5
34.99999999998182,0.8091286307053331,145,Amit_1,R,Channel 3,5
48.00000000000364,1.0,120,Amit_1,R,Channel 4,5
195.0,0.5625,100,Amit_1,R,Channel 5,5
65.0,1.0,80,Amit_1,R,Channel 6,5
84.0,1.0,60,Amit_1,R,Channel 7,5
51.0,1.0,40,Amit_1,R,Channel 8,5
12.040000000000923,2.5,400,Amit_1,R,CoP,5
891.9999999997926,0.06679389313015104,380,Amit_1,R,vGRF,5
42.0,0.777777777777825,200,Amit_1,L,Channel 1,6
29.0,1.0,170,Amit_1,L,Channel 2,6
51.0,1.0,145,Amit_1,L,Channel 3,6
0.0,1.0,120,Amit_1,L,Channel 4,6
51.0,1.0,100,Amit_1,L,Channel 5,6
48.9999999999959,1.0,80,Amit_1,L,Channel 6,6
28.999999999996366,1.0,60,Amit_1,L,Channel 7,6
157.00000000000136,0.19108280254776905,40,Amit_1,L,Channel 8,6
14.170000000000067,2.5,400,Amit_1,L,CoP,6
1220.909999999981,0.03897376508844343,380,Amit_1,L,vGRF,6
0.0,0.5426356589147335,200,Amit_1,R,Channel 1,6
37.0,0.35714285714286126,170,Amit_1,R,Channel 2,6
32.0,0.7926829268293079,145,Amit_1,R,Channel 3,6
43.0,1.0,120,Amit_1,R,Channel 4,6
162.0,0.7142857142857143,100,Amit_1,R,Channel 5,6
51.0,1.0,80,Amit_1,R,Channel 6,6
51.0,1.0,60,Amit_1,R,Channel 7,6
34.0,1.0,40,Amit_1,R,Channel 8,6
11.459999999999718,2.5,400,Amit_1,R,CoP,6
904.9999999999204,0.07216494845404245,380,Amit_1,R,vGRF,6
39.0,0.7291666666666666,200,Amit_1,L,Channel 1,7
27.0,1.0,170,Amit_1,L,Channel 2,7
44.0,1.0,145,Amit_1,L,Channel 3,7
0.0,1.0,120,Amit_1,L,Channel 4,7
46.0,1.0,100,Amit_1,L,Channel 5,7
47.0,1.0,80,Amit_1,L,Channel 6,7
14.000000000003181,1.0,60,Amit_1,L,Channel 7,7
81.0,0.37037037037037035,40,Amit_1,L,Channel 8,7
13.97,2.5,400,Amit_1,L,CoP,7
1142.390000000001,0.04376586512611029,380,Amit_1,L,vGRF,7
0.0,0.528301886792462,200,Amit_1,R,Channel 1,7
41.0,0.3571428571428574,170,Amit_1,R,Channel 2,7
31.000000000005905,0.795918367346958,145,Amit_1,R,Channel 3,7
47.0,1.0,120,Amit_1,R,Channel 4,7
173.99999999999955,0.6474820143885128,100,Amit_1,R,Channel 5,7
56.0,1.0,80,Amit_1,R,Channel 6,7
54.0,1.0,60,Amit_1,R,Channel 7,7
41.0,1.0,40,Amit_1,R,Channel 8,7
11.739999999999736,2.5,400,Amit_1,R,CoP,7
920.9999999999682,0.06205673758866299,380,Amit_1,R,vGRF,7
43.0,0.8284023668641971,200,Amit_1,L,Channel 1,8
29.0,1.0,170,Amit_1,L,Channel 2,8
52.0,1.0,145,Amit_1,L,Channel 3,8
0.0,1.0,120,Amit_1,L,Channel 4,8
53.0,1.0,100,Amit_1,L,Channel 5,8
52.0,1.0,80,Amit_1,L,Channel 6,8
30.0,1.0,60,Amit_1,L,Channel 7,8
209.0000000000059,0.14354066985645528,40,Amit_1,L,Channel 8,8
13.799999999999878,2.5,400,Amit_1,L,CoP,8
1203.2600000000255,0.0405364712422981,380,Amit_1,L,vGRF,8
0.0,0.5737704918034541,200,Amit_1,R,Channel 1,8
37.0,0.35490605427975014,170,Amit_1,R,Channel 2,8
33.99999999998818,0.8227848101265824,145,Amit_1,R,Channel 3,8
45.0,1.0,120,Amit_1,R,Channel 4,8
165.0,0.6870229007633588,100,Amit_1,R,Channel 5,8
52.0,1.0,80,Amit_1,R,Channel 6,8
50.999999999999545,1.0,60,Amit_1,R,Channel 7,8
37.0,1.0,40,Amit_1,R,Channel 8,8
12.07,2.5,400,Amit_1,R,CoP,8
890.0000000000223,0.07462686567207978,380,Amit_1,R,vGRF,8
40.0,0.6862745098040615,200,Amit_1,L,Channel 1,9
26.99999999999818,1.0,170,Amit_1,L,Channel 2,9
45.0,1.0,145,Amit_1,L,Channel 3,9
0.0,1.0,120,Amit_1,L,Channel 4,9
49.0,1.0,100,Amit_1,L,Channel 5,9
47.0,1.0,80,Amit_1,L,Channel 6,9
10.0,1.0,60,Amit_1,L,Channel 7,9
120.99999999999409,0.24793388429753277,40,Amit_1,L,Channel 8,9
13.819999999999927,2.5,400,Amit_1,L,CoP,9
1144.6399999999999,0.04562995410931412,380,Amit_1,L,vGRF,9
0.0,0.6086956521739252,200,Amit_1,R,Channel 1,9
41.0,0.3820224719101282,170,Amit_1,R,Channel 2,9
33.99999999999272,0.802469135802445,145,Amit_1,R,Channel 3,9
47.0,1.0,120,Amit_1,R,Channel 4,9
190.99999999999454,0.5696202531645965,100,Amit_1,R,Channel 5,9
60.0,1.0,80,Amit_1,R,Channel 6,9
53.0,1.0,60,Amit_1,R,Channel 7,9
43.0,1.0,40,Amit_1,R,Channel 8,9
11.58,2.5,400,Amit_1,R,CoP,9
873.0000000000464,0.06730769230769924,380,Amit_1,R,vGRF,9
40.0,0.8805031446541632,200,Amit_1,L,Channel 1,10
30.000000000001137,0.9770114942529488,170,Amit_1,L,Channel 2,10
51.49999999999841,1.0,145,Amit_1,L,Channel 3,10
0.0,1.0,120,Amit_1,L,Channel 4,10
52.0,1.0,100,Amit_1,L,Channel 5,10
56.99999999999909,1.0,80,Amit_1,L,Channel 6,10
29.0,1.0,60,Amit_1,L,Channel 7,10
180.00000000000728,0.16666666666665994,40,Amit_1,L,Channel 8,10
13.940000000000008,2.5,400,Amit_1,L,CoP,10
1169.1099999999992,0.04104897729406003,380,Amit_1,L,vGRF,10
0.0,0.6008583690987338,200,Amit_1,R,Channel 1,10
37.0,0.3679653679653756,170,Amit_1,R,Channel 2,10
34.0000000000025,0.8478260869565375,145,Amit_1,R,Channel 3,10
45.0,1.0,120,Amit_1,R,Channel 4,10
164.99999999999545,0.5454545454545605,100,Amit_1,R,Channel 5,10
50.0,1.0,80,Amit_1,R,Channel 6,10
49.999999999999545,1.0,60,Amit_1,R,Channel 7,10
37.0,1.0,40,Amit_1,R,Channel 8,10
11.729999999999427,2.5,400,Amit_1,R,CoP,10
882.9999999999545,0.07186858316286589,380,Amit_1,R,vGRF,10
38.0,0.7407407407408911,200,Amit_1,L,Channel 1,11
25.0,1.0,170,Amit_1,L,Channel 2,11
43.9999999999975,1.0,145,Amit_1,L,Channel 3,11
0.0,1.0,120,Amit_1,L,Channel 4,11
44.0,1.0,100,Amit_1,L,Channel 5,11
47.0,1.0,80,Amit_1,L,Channel 6,11
8.0,1.0,60,Amit_1,L,Channel 7,11
65.0,0.46153846153846156,40,Amit_1,L,Channel 8,11
13.98000000000005,2.5,400,Amit_1,L,CoP,11
1163.0850000000055,0.045474920581307046,380,Amit_1,L,vGRF,11
0.0,0.614035087719303,200,Amit_1,R,Channel 1,11
38.0,0.37037037037037035,170,Amit_1,R,Channel 2,11
34.00000000000728,0.8590308370044631,145,Amit_1,R,Channel 3,11
42.0,1.0,120,Amit_1,R,Channel 4,11
142.99999999999864,0.6293706293706354,100,Amit_1,R,Channel 5,11
50.0,1.0,80,Amit_1,R,Channel 6,11
50.0,1.0,60,Amit_1,R,Channel 7,11
38.99999999999818,1.0,40,Amit_1,R,Channel 8,11
11.109999999999872,2.5,400,Amit_1,R,CoP,11
928.0000000000464,0.06517690875244592,380,Amit_1,R,vGRF,11
43.0,0.6829268292682927,200,Amit_1,L,Channel 1,12
