end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
25604,256.03000000000003,UNKNOWN,Amit_1,0,0.0,unpaired_context,1
174,1.74,QS,Amit_1,0,0.0,provisional,2
287,2.87,GI,Amit_1,174,1.74,provisional,2
811,8.11,SSSW,Amit_1,287,2.87,provisional,2
922,9.22,SLT,Amit_1,811,8.11,provisional,2
1510,15.1,SSLW,Amit_1,922,9.22,provisional,2
1896,18.95,GT,Amit_1,1510,15.1,provisional,2
175,1.75,QS,Amit_1,0,0.0,provisional,3
225,2.25,GI,Amit_1,175,1.75,provisional,3
445,4.45,SSSW,Amit_1,225,2.25,provisional,3
558,5.58,SLT,Amit_1,445,4.45,provisional,3
1541,15.41,SSLW,Amit_1,558,5.58,provisional,3
2139,21.38,GT,Amit_1,1541,15.41,provisional,3
235,2.35,QS,Amit_1,0,0.0,provisional,4
348,3.48,GI,Amit_1,235,2.35,provisional,4
982,9.82,SSSW,Amit_1,348,3.48,provisional,4
1092,10.92,SLT,Amit_1,982,9.82,provisional,4
1573,15.73,SSLW,Amit_1,1092,10.92,provisional,4
2003,20.02,GT,Amit_1,1573,15.73,provisional,4
194,1.94,QS,Amit_1,0,0.0,provisional,5
251,2.51,GI,Amit_1,194,1.94,provisional,5
477,4.77,SSSW,Amit_1,251,2.51,provisional,5
590,5.9,SLT,Amit_1,477,4.77,provisional,5
1586,15.86,SSLW,Amit_1,590,5.9,provisional,5
2064,20.63,GT,Amit_1,1586,15.86,provisional,5
195,1.95,QS,Amit_1,0,0.0,provisional,6
312,3.12,GI,Amit_1,195,1.95,provisional,6
954,9.54,SSSW,Amit_1,312,3.12,provisional,6
1056,10.56,SLT,Amit_1,954,9.54,provisional,6
1606,16.06,SSLW,Amit_1,1056,10.56,provisional,6
2070,20.69,GT,Amit_1,1606,16.06,provisional,6
136,1.36,QS,Amit_1,0,0.0,model_assisted_provisional,7
200,2.0,GI,Amit_1,136,1.36,model_assisted_provisional,7
407,4.07,SSSW,Amit_1,200,2.0,model_assisted_provisional,7
540,5.4,SLT,Amit_1,407,4.07,model_assisted_provisional,7
1699,16.99,SSLW,Amit_1,540,5.4,model_assisted_provisional,7
2134,21.33,GT,Amit_1,1699,16.99,model_assisted_provisional,7
14,0.14,QS,Amit_1,0,0.0,model_assisted_provisional,8
74,0.74,GI,Amit_1,14,0.14,model_assisted_provisional,8
358,3.58,SSSW,Amit_1,74,0.74,model_assisted_provisional,8
477,4.77,SLT,Amit_1,358,3.58,model_assisted_provisional,8
1541,15.41,SSLW,Amit_1,477,4.77,model_assisted_provisional,8
2196,21.95,GT,Amit_1,1541,15.41,model_assisted_provisional,8
217,2.17,QS,Amit_1,0,0.0,provisional,9
262,2.62,GI,Amit_1,217,2.17,provisional,9
855,8.55,SSSW,Amit_1,262,2.62,provisional,9
1030,10.3,SLT,Amit_1,855,8.55,provisional,9
1544,15.44,SSLW,Amit_1,1030,10.3,provisional,9
2053,20.52,GT,Amit_1,1544,15.44,provisional,9
217,2.17,QS,Amit_1,0,0.0,provisional,10
241,2.41,GI,Amit_1,217,2.17,provisional,10
918,9.18,SSSW,Amit_1,241,2.41,provisional,10
1031,10.31,SLT,Amit_1,918,9.18,provisional,10
1580,15.8,SSLW,Amit_1,1031,10.31,provisional,10
2115,21.14,GT,Amit_1,1580,15.8,provisional,10
283,2.83,QS,Amit_1,0,0.0,provisional,11
338,3.38,GI,Amit_1,283,2.83,provisional,11
961,9.61,SSSW,Amit_1,338,3.38,provisional,11
1086,10.86,SLT,Amit_1,961,9.61,provisional,11
1728,17.28,SSLW,Amit_1,1086,10.86,provisional,11
2206,22.05,GT,Amit_1,1728,17.28,provisional,11
413,4.13,QS,Amit_1,0,0.0,provisional,12
500,5.0,GI,Amit_1,413,4.13,provisional,12
1102,11.02,SSSW,Amit_1,500,5.0,provisional,12
1213,12.13,SLT,Amit_1,1102,11.02,provisional,12
1666,16.66,SSLW,Amit_1,1213,12.13,provisional,12
2184,21.83,GT,Amit_1,1666,16.66,provisional,12
173,1.73,QS,Amit_1,0,0.0,provisional,13
260,2.6,GI,Amit_1,173,1.73,provisional,13
782,7.82,SSSW,Amit_1,260,2.6,provisional,13
901,9.01,SLT,Amit_1,782,7.82,provisional,13
1575,15.75,SSLW,Amit_1,901,9.01,provisional,13
1915,19.14,GT,Amit_1,1575,15.75,provisional,13
188,1.88,QS,Amit_1,0,0.0,model_assisted_provisional,14
248,2.48,GI,Amit_1,188,1.88,model_assisted_provisional,14
494,4.94,SSSW,Amit_1,248,2.48,model_assisted_provisional,14
611,6.11,SLT,Amit_1,494,4.94,model_assisted_provisional,14
1692,16.92,SSLW,Amit_1,611,6.11,model_assisted_provisional,14
2093,20.92,GT,Amit_1,1692,16.92,model_assisted_provisional,14
233,2.33,QS,Amit_1,0,0.0,provisional,15
279,2.79,GI,Amit_1,233,2.33,provisional,15
508,5.08,SSSW,Amit_1,279,2.79,provisional,15
622,6.22,SLT,Amit_1,508,5.08,provisional,15
1692,16.92,SSLW,Amit_1,622,6.22,provisional,15
2041,20.4,GT,Amit_1,1692,16.92,provisional,15
264,2.64,QS,Amit_1,0,0.0,provisional,16
382,3.82,GI,Amit_1,264,2.64,provisional,16
643,6.43,SSSW,Amit_1,382,3.82,provisional,16
771,7.71,SLT,Amit_1,643,6.43,provisional,16
1618,16.18,SSLW,Amit_1,771,7.71,provisional,16
1994,19.93,GT,Amit_1,1618,16.18,provisional,16
88,0.88,QS,Amit_1,0,0.0,provisional,17
173,1.73,GI,Amit_1,88,0.88,provisional,17
1149,11.49,SSSW,Amit_1,173,1.73,provisional,17
1277,12.77,SLT,Amit_1,1149,11.49,provisional,17
1647,16.47,SSLW,Amit_1,1277,12.77,provisional,17
1939,19.38,GT,Amit_1,1647,16.47,provisional,17
178,1.78,QS,Amit_1,0,0.0,model_assisted_provisional,18
242,2.42,GI,Amit_1,178,1.78,model_assisted_provisional,18
1563,15.63,SSSW,Amit_1,242,2.42,model_assisted_provisional,18
1688,16.88,SLT,Amit_1,1563,15.63,model_assisted_provisional,18
2044,20.44,SSLW,Amit_1,1688,16.88,model_assisted_provisional,18
2226,22.25,GT,Amit_1,2044,20.44,model_assisted_provisional,18
172,1.72,QS,Amit_1,0,0.0,provisional,19
246,2.46,GI,Amit_1,172,1.72,provisional,19
890,8.9,SSSW,Amit_1,246,2.46,provisional,19
1044,10.44,SLT,Amit_1,890,8.9,provisional,19
1569,15.69,SSLW,Amit_1,1044,10.44,provisional,19
2064,20.63,GT,Amit_1,1569,15.69,provisional,19
348,3.48,QS,Amit_1,0,0.0,provisional,20
385,3.85,GI,Amit_1,348,3.48,provisional,20
611,6.11,SSSW,Amit_1,385,3.85,provisional,20
738,7.38,SLT,Amit_1,611,6.11,provisional,20
1806,18.06,SSLW,Amit_1,738,7.38,provisional,20
2182,21.81,GT,Amit_1,1806,18.06,provisional,20
298,2.98,QS,Amit_1,0,0.0,provisional,21
347,3.47,GI,Amit_1,298,2.98,provisional,21
850,8.5,SSSW,Amit_1,347,3.47,provisional,21
964,9.64,SLT,Amit_1,850,8.5,provisional,21
1771,17.71,SSLW,Amit_1,964,9.64,provisional,21
2106,21.05,GT,Amit_1,1771,17.71,provisional,21
238,2.38,QS,Amit_1,0,0.0,provisional,22
335,3.35,GI,Amit_1,238,2.38,provisional,22
1378,13.78,SSSW,Amit_1,335,3.35,provisional,22
