time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,0,39,35,46,164,51,53,42,9.549999999999546,1012.9999999999318,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,0,39,36.999999999998181,46,164,52,53,41,9.5300000000023637,1010.0000000000709,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,0,39,35.000000000003638,46,164.00000000000546,52,53,41.000000000001819,9.6300000000004911,1012.999999999779,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,0,39,37,46,166.99999999999727,52.000000000002728,53,42,9.650000000001528,1003.9999999996435,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,0,39,36.999999999992724,46,166,53,52.999999999996362,42,9.7099999999994733,989.99999999986812,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,0,39,35.000000000009095,46.000000000004547,166.00000000001364,53,52.000000000004547,42,9.6899999999967257,984.99999999975444,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,0,39.000000000005457,36.999999999989086,47,169,53.000000000005457,53.000000000005457,42,9.56999999999986,975.9999999999859,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,0,40,35.000000000012733,47,169,54,54,42.000000000006366,9.5649999999998556,975.49999999998545,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,0,40,36.999999999985448,47,169.00000000005821,54,53.999999999992724,43.000000000007276,9.5600000000003007,974.99999999987995,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,0,40,35,47,177.00000000001637,54,53.000000000057298,44,9.569999999994744,971.00000000055661,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,0,40,35.00000000001819,47.000000000009095,179.00000000000909,54,60.000000000063672,44.000000000009095,9.3999999999993644,988.99999999984084,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,0,40,36.999999999979991,48,180.00000000002001,54,67.000000000010004,45.000000000010004,9.3800000000006563,983.99999999950887,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,0,40.000000000021828,35.000000000010914,48,182.00000000001091,54.000000000043656,68,46,9.4000000000053845,968.99999999936063,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,0,42,36.000000000023647,48,182.99999999998818,58,68.000000000011823,45.999999999988177,9.5600000000006506,949.99999999999409,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,0,42,37.999999999974534,48,182.0000000000382,58,69.000000000012733,45.000000000012733,9.6150000000007001,949.49999999999363,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,0,42,36.000000000013642,48,185.00000000001364,58,69.999999999986358,45.999999999986358,9.6699999999998631,948.99999999998636,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,0,42,37,48,186.0000000000291,58.000000000014552,69.000000000014552,45.000000000014552,9.6600000000000001,948.00000000001455,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,0,42,36.999999999984539,48,188,59,70.000000000046384,45.999999999984539,9.6599999999990729,948.99999999982992,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,0,42,36,48,188.00000000001637,59.000000000016371,73.000000000049113,45,9.5999999999993442,937.99999999996726,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,0,42,36,48,188.99999999999454,59.999999999994543,75.999999999983629,45,9.5600000000000005,936.00000000003456,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.20,0,42,37.999999999990905,48.999999999995453,189.99999999999545,60,76,45,9.5600000000007288,938.00000000007276,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
