time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,40,27,49,67,80,68,37,125,12.300000000000001,1524.51,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,38,27,49.999999999999091,66.999999999998181,79.999999999997272,68.999999999999091,38,126.00000000000091,12.28999999999999,1522.5099999999982,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,38,26.999999999998181,49.000000000001819,65.000000000003638,77,68.000000000003638,38,126.99999999999636,12.280000000000054,1520.5100000000182,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,38,26,50,67,76.999999999997272,70.000000000002728,38,125,12.31,1530.5300000000082,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,38,26.000000000007276,50,66.999999999996362,75.999999999996362,71,38,124.99999999999636,12.309999999999928,1533.5299999999672,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,38,27.999999999986358,49.999999999995453,66,75,71,38,124,12.290000000000136,1524.5300000000454,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,38,25.000000000005457,49.000000000005457,66,74.999999999989086,71,38,124,12.320000000000027,1534.52,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,38,26.000000000012733,49.999999999993634,66,72.999999999987267,71,38,123.99999999998727,12.325000000000031,1534.51,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,38,27.999999999992724,49.000000000007276,66,71,71.000000000007276,38,122.00000000000728,12.330000000000146,1534.499999999985,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,38,27.000000000003183,49.999999999996817,66,71,71.999999999996817,38,122.99999999999682,12.35,1532.4499999999919,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,38,27.999999999997726,49.000000000002274,66,71,70.000000000004547,38,124.99999999999545,12.35000000000009,1531.4400000000273,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,38,28,49,66,71,71.999999999997272,38,125,12.359999999999999,1534.4300000000101,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,38,28,49,66,71,72,38,125.99999999999955,12.359999999999562,1535.4299999998527,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,38,28,49.000000000000455,66,71,71.999999999999545,38,124.00000000000045,12.319999999999753,1521.9299999999171,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,38,27.999999999997268,49.999999999997272,66,71.000000000001364,71,38,125,12.279999999999985,1508.4299999999932,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,38,26,48.000000000002274,66,71.999999999997726,70.999999999997726,38,125,12.270000000000023,1503.4200000000046,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.16,38,26,48.999999999996817,65.999999999996817,71,70.000000000006366,38,124.99999999999682,12.280000000000031,1505.4200000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.17,38,26.000000000004093,48.000000000004093,65.000000000004093,71.000000000004093,71.999999999991815,38,123.99999999999181,12.289999999999999,1505.4200000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.18,38,26.999999999994998,49,66,71.999999999994998,70.000000000005002,37.999999999994998,121.99999999999,12.290000000000049,1505.4200000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.19,38,26.000000000005912,49,66,71,70.999999999994088,37.000000000005912,120,12.300000000000059,1505.4100000000178,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
