boundary_method,duration_seconds,end_master_seconds,master,master_trigger_recovered_from_both_insoles,record,start_master_seconds,trial
paired trigger interval,23.93,256.73,F,False,ashu_1,232.8,1
paired trigger interval,21.64,290.44,F,False,ashu_1,268.8,2
paired trigger interval,20.3,318.47,F,False,ashu_1,298.17,3
paired trigger interval,21.17,347.89,F,False,ashu_1,326.72,4
paired trigger interval,21.11,424.28,F,False,ashu_1,403.17,5
paired trigger interval,21.45,454.11,F,False,ashu_1,432.66,6
paired trigger interval,21.7,484.22,F,False,ashu_1,462.52,7
paired trigger interval,20.19,510.67,F,False,ashu_1,490.48,8
paired trigger interval,20.79,538.125,F,True,ashu_1,517.33,9
paired trigger interval,21.240000000000002,569.66,F,False,ashu_1,548.42,10
unpaired start: context until just before next start,77.54,652.42,F,False,ashu_1,574.88,11
paired trigger interval,21.41,673.84,F,False,ashu_1,652.43,12
paired trigger interval,21.66,731.64,F,True,ashu_1,709.98,13
paired trigger interval,22.88,761.87,F,False,ashu_1,738.99,14
paired trigger interval,21.240000000000002,790.1,F,False,ashu_1,768.86,15
paired trigger interval,22.51,820.75,F,False,ashu_1,798.24,16
paired trigger interval,21.240000000000002,854.31,F,False,ashu_1,833.07,17
paired trigger interval,22.63,885.51,F,False,ashu_1,862.88,18
paired trigger interval,22.03,914.33,F,False,ashu_1,892.3,19
paired trigger interval,22.0,943.25,F,False,ashu_1,921.25,20
paired trigger interval,30.89,1199.55,F,False,ashu_21,1168.66,1
paired trigger interval,28.72,1295.32,F,False,ashu_21,1266.6,2
paired trigger interval,25.7,1329.36,F,False,ashu_21,1303.66,3
paired trigger interval,23.94,1367.11,F,False,ashu_21,1343.17,4
paired trigger interval,19.1,1392.18,F,False,ashu_21,1373.08,5
paired trigger interval,21.650000000000002,1421.81,F,False,ashu_21,1400.16,6
paired trigger interval,22.68,1455.29,F,False,ashu_21,1432.61,7
paired trigger interval,22.16,1483.48,F,False,ashu_21,1461.32,8
paired trigger interval,21.3,1511.46,F,False,ashu_21,1490.16,9
paired trigger interval,20.32,1543.12,F,False,ashu_21,1522.8,10
paired trigger interval,21.28,1608.55,F,False,ashu_21,1587.27,11
paired trigger interval,23.42,1638.16,F,False,ashu_21,1614.74,12
paired trigger interval,23.16,1682.64,F,False,ashu_21,1659.48,13
paired trigger interval,22.03,1721.36,F,False,ashu_21,1699.33,14
paired trigger interval,20.81,1770.5,F,False,ashu_21,1749.69,15
paired trigger interval,23.07,1800.01,F,False,ashu_21,1776.94,16
paired trigger interval,22.71,1833.22,F,False,ashu_21,1810.51,17
paired trigger interval,23.32,1863.32,F,False,ashu_21,1840.0,18
paired trigger interval,24.59,1895.42,F,False,ashu_21,1870.83,19
paired trigger interval,24.18,1924.74,F,False,ashu_21,1900.56,20
