time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,92,144,64,99,276,172,245,250,10.955,363.25,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,92,143.00000000000091,62.999999999999091,100.99999999999818,276.99999999999909,172,245.99999999999909,251,10.985000000000028,365.75000000000227,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,92,143.99999999999613,62.000000000003865,99.000000000007731,276.00000000000387,172,245.00000000000387,251,11.010000000000035,367,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,91.000000000002956,143.00000000000296,62.999999999997044,100.99999999999409,276.99999999999704,172,245.99999999999704,251,11.005000000000088,366.50000000000296,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,83.000000000016371,143,64.999999999995907,101,277,171.00000000000205,246,251,10.845000000002242,365.00000000001546,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,83,143,62.000000000003411,100.00000000000114,277,171.99999999999886,245.00000000000114,251,10.680000000000273,361.50000000003411,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,82.000000000000227,143,62.999999999999773,100,277,172,245.99999999999977,251,10.65500000000006,358.50000000000591,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,83,143,62.999999999999318,98.999999999999318,277,171.00000000000068,245.00000000000068,251,10.659999999999901,358.499999999995,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,83,143,62.000000000004093,98.000000000004093,277,171.99999999999591,245.99999999999591,251,10.684999999999878,359,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,83,143,62,98.999999999996817,277,172,246,251,10.714999999999904,359,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,83,142.00000000000227,62.999999999997726,99,277,172,246,251,10.734999999999978,358.50000000000227,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
