time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,75,22,48,0,138,211,121,81,15.609563934273453,1692.0010070661033,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,1,1
0.01,74,21.999999999998181,49,0,139,211,123.99999999999909,80.000000000001819,15.620000000000017,1694.0000000000045,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,74,20.000000000003638,48.999999999998181,0,138.99999999999818,211,123.00000000000364,81.999999999998181,15.640000000000018,1698.9900000000146,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,74,21.999999999997272,48.000000000002728,0,138.00000000000546,211,124.99999999998909,81.000000000002728,15.650000000000027,1706.99000000003,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,74,21,49,0,139.99999999999636,211,120.99999999999636,82,15.66,1717.9899999999855,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,74,21.000000000004547,49.000000000004547,0,139,211,120.00000000000909,82,15.659999999999977,1713.99,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,74,22,49.999999999994543,0,139,211,122,82,15.654999999999973,1713.99,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,74,22,48.999999999993634,0,139.00000000000637,211,122.00000000001273,81.999999999993634,15.650000000000128,1713.9899999999745,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,74,22,48.000000000007276,0,139.99999999999272,211,124,80.999999999992724,15.67,1709.9900000000291,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,73.999999999991815,21.999999999991815,49,0,139,211,124.00000000000819,80.000000000016371,15.669999999999918,1713.9900000000082,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
