alternative_transition_end_seconds,alternative_transition_start_seconds,clock_offset_seconds,flags,fmg_edges,fmg_gaps,full_fmg_seconds,full_insole_seconds,gi_end_seconds,gt_start_seconds,insole_edges,insole_gaps,invalid_fmg_rows_in_source,invalid_insole_rows_in_source,load_peaks_left,load_peaks_right,matched_edges,max_matched_residual_seconds,missing_fmg_edge_numbers,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,reference_limb,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,trigger_boundary_status,trigger_end_error_seconds
11.04,5.19,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.109999999999957,19.110000000000014,2.55,15.04,40,0,7,4,12,12,40,0.010000000000104592,[],41,2.14,sub_1/trial_01_l_complete.png,sub_1,L,segmented_data\sub_1\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,6.66,5.19,provisional six-phase fit,0.2877,weak/ambiguous pattern evidence,1,observed,5.684341886080802e-14
11.04,5.19,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.109999999999957,19.099999999999966,2.55,15.04,40,0,7,6,12,12,40,0.010000000000104592,[],41,2.14,sub_1/trial_01_r_complete.png,sub_1,L,segmented_data\sub_1\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,6.66,5.19,provisional six-phase fit,0.2877,weak/ambiguous pattern evidence,1,observed,-0.009999999999990905
10.38,7.99,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels,40,0,18.72999999999996,18.720000000000027,2.48,14.81,40,0,7,4,11,12,40,0.010000000000104592,[],53,1.95,sub_1/trial_02_l_complete.png,sub_1,R,segmented_data\sub_1\trial_02_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,9.14,7.99,provisional six-phase fit,0.5949,moderate pattern evidence,2,observed,-0.009999999999934062
10.38,7.99,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels,40,0,18.72999999999996,18.70999999999998,2.48,14.81,40,0,7,6,11,12,40,0.010000000000104592,[],53,1.95,sub_1/trial_02_r_complete.png,sub_1,R,segmented_data\sub_1\trial_02_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,9.14,7.99,provisional six-phase fit,0.5949,moderate pattern evidence,2,observed,-0.01999999999998181
12.11,5.84,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.47999999999996,20.480000000000018,3.28,16.19,40,0,7,4,12,12,40,0.010000000000104592,[],51,2.82,sub_1/trial_03_l_complete.png,sub_1,L,segmented_data\sub_1\trial_03_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,7.41,5.84,provisional six-phase fit,0.2405,weak/ambiguous pattern evidence,3,observed,5.684341886080802e-14
12.11,5.84,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.47999999999996,20.49000000000001,3.28,16.19,40,0,7,6,12,12,40,0.010000000000104592,[],51,2.82,sub_1/trial_03_r_complete.png,sub_1,L,segmented_data\sub_1\trial_03_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,7.41,5.84,provisional six-phase fit,0.2405,weak/ambiguous pattern evidence,3,observed,0.010000000000047748
14.22,9.19,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,22.660000000000025,22.670000000000016,4.39,17.61,40,0,7,4,11,12,40,0.010000000000104592,[],88,3.93,sub_1/trial_04_l_complete.png,sub_1,R,segmented_data\sub_1\trial_04_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.71,10.42,provisional six-phase fit,0.3903,weak/ambiguous pattern evidence,4,observed,0.009999999999990905
14.22,9.19,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,22.660000000000025,22.670000000000016,4.39,17.61,40,0,7,6,11,12,40,0.010000000000104592,[],88,3.93,sub_1/trial_04_r_complete.png,sub_1,R,segmented_data\sub_1\trial_04_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.71,10.42,provisional six-phase fit,0.3903,weak/ambiguous pattern evidence,4,observed,0.009999999999990905
11.11,5.33,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,18.370000000000005,18.389999999999986,2.46,15.04,40,0,7,4,12,12,40,0.010000000000104592,[],60,2.08,sub_1/trial_05_l_complete.png,sub_1,L,segmented_data\sub_1\trial_05_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.75,7.5,provisional six-phase fit,0.3462,weak/ambiguous pattern evidence,5,observed,0.01999999999998181
11.11,5.33,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,18.370000000000005,18.379999999999995,2.46,15.04,40,0,7,6,12,12,40,0.010000000000104592,[],60,2.08,sub_1/trial_05_r_complete.png,sub_1,L,segmented_data\sub_1\trial_05_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.75,7.5,provisional six-phase fit,0.3462,weak/ambiguous pattern evidence,5,observed,0.009999999999990905
