alternative_transition_end_seconds,alternative_transition_start_seconds,flags,gi_end_seconds,gt_start_seconds,load_peaks_left,load_peaks_right,onset_seconds,record,reference_limb,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial
11.04,5.19,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.55,15.04,12,12,2.14,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.66,5.19,provisional six-phase fit,0.2877,weak/ambiguous pattern evidence,1
10.38,7.99,All events provisional; pressure extrema are not heel-strike labels,2.48,14.81,11,12,1.95,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.14,7.99,provisional six-phase fit,0.5949,moderate pattern evidence,2
12.11,5.84,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.28,16.19,12,12,2.82,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.41,5.84,provisional six-phase fit,0.2405,weak/ambiguous pattern evidence,3
14.22,9.19,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.39,17.61,11,12,3.93,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.71,10.42,provisional six-phase fit,0.3903,weak/ambiguous pattern evidence,4
11.11,5.33,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.46,15.04,12,12,2.08,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.75,7.5,provisional six-phase fit,0.3462,weak/ambiguous pattern evidence,5
10.77,7.29,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.68,14.9,11,12,2.15,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.77,9.71,provisional six-phase fit,0.3056,weak/ambiguous pattern evidence,6
10.06,5.17,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.61,15.63,12,12,2.21,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.62,7.45,provisional six-phase fit,0.4849,weak/ambiguous pattern evidence,7
13.02,9.43,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.36,16.62,11,12,2.98,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.78,10.59,provisional six-phase fit,0.3641,weak/ambiguous pattern evidence,8
11.94,8.36,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.94,15.93,12,12,2.57,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.33,9.45,provisional six-phase fit,0.3129,weak/ambiguous pattern evidence,9
12.68,9.14,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.3,15.65,11,12,2.78,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.52,10.33,provisional six-phase fit,0.3452,weak/ambiguous pattern evidence,10
10.52,4.36,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,1.81,14.43,12,12,1.49,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.94,8.19,provisional six-phase fit,0.3412,weak/ambiguous pattern evidence,11
12.11,5.07,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.79,15.22,11,12,2.29,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.87,8.65,provisional six-phase fit,0.3067,weak/ambiguous pattern evidence,12
12.63,8.97,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.46,16.59,12,12,3.0,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.16,10.13,provisional six-phase fit,0.3249,weak/ambiguous pattern evidence,13
10.85,7.27,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.53,15.23,11,12,2.09,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.85,9.7,provisional six-phase fit,0.386,weak/ambiguous pattern evidence,14
10.99,6.15,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.28,16.15,12,12,2.87,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.99,9.34,provisional six-phase fit,0.3076,weak/ambiguous pattern evidence,15
12.17,4.77,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.64,15.21,11,12,1.76,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.84,8.63,provisional six-phase fit,0.3031,weak/ambiguous pattern evidence,16
15.46,10.66,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,7.3,19.56,12,11,6.49,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.89,11.46,provisional six-phase fit,0.3221,weak/ambiguous pattern evidence,17
