time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing
0.00,47,149,50,94,75,107,72,250,15.75,2701.54,QS,provisional_assumed_short_to_long,0
0.01,47,149,50,94,76,106.00000000000091,70.000000000001819,250.99999999999909,15.76,2702.54,QS,provisional_assumed_short_to_long,0
0.02,47,149,50,94,76,106.99999999999045,71.999999999980901,250.00000000000955,15.76,2702.54,QS,provisional_assumed_short_to_long,0
0.03,47,148.00000000000864,50,94,76,107,71.00000000000864,250.99999999999136,15.76,2702.54,QS,provisional_assumed_short_to_long,0
0.04,47,148.99999999999227,50,94,76.999999999992269,106.00000000000773,71.999999999992269,251,15.76,2702.54,QS,provisional_assumed_short_to_long,0
0.05,47,149,50.999999999993179,94,77,106.99999999999318,71.000000000006821,251,15.76,2702.5400000000045,QS,provisional_assumed_short_to_long,0
0.06,47,149.99999999999409,50.000000000005912,94,76.000000000005912,106.00000000000591,70.000000000005912,251,15.76,2703.5400000000054,QS,provisional_assumed_short_to_long,0
0.07,47,150,50,93.000000000005002,76.999999999994998,106,70.999999999994998,250.000000000005,15.759999999999968,2704.5399999999968,QS,provisional_assumed_short_to_long,0
0.08,47,149.00000000000409,50,93.999999999995907,77,105.00000000000409,69.000000000008185,250,15.754999999999992,2704.0399999999991,QS,provisional_assumed_short_to_long,0
0.09,47,148.00000000000318,50.999999999996817,94.999999999996817,76.000000000003183,105.99999999999682,68.000000000003183,250,15.750000000000016,2703.5400000000018,QS,provisional_assumed_short_to_long,0
0.10,47,147.00000000000227,50.000000000002274,94.000000000002274,76,106,68.999999999997726,250.99999999999773,15.759999999999977,2705.5399999999954,QS,provisional_assumed_short_to_long,0
0.11,47,148.99999999999727,50,94,76,106.99999999999864,69.999999999998636,251,15.76,2704.5300000000016,QS,provisional_assumed_short_to_long,0
0.12,47,149,50.999999999999545,94,76.999999999999545,106.00000000000045,70,250.00000000000045,15.76,2705.5299999999997,QS,provisional_assumed_short_to_long,0
0.13,46.999999999999545,149,51,95,77,106.00000000000091,70.999999999999545,250.00000000000045,15.769999999999994,2703.5300000000011,QS,provisional_assumed_short_to_long,0
0.14,46.000000000010004,149,51,95,77,107.99999999997999,70.000000000010004,250.99999999999,15.76,2705.5299999999979,QS,provisional_assumed_short_to_long,0
0.15,46.999999999990905,149,50.000000000009095,95,77,106.00000000001819,70,251,15.76,2704.029999999997,QS,provisional_assumed_short_to_long,0
0.16,47,148.00000000000819,50,94.000000000008185,77.999999999991815,106,70.999999999991815,251,15.76,2702.5300000000066,QS,provisional_assumed_short_to_long,0
0.17,47,148.99999999999272,49.000000000007276,94,78,106.99999999999272,71,251,15.760000000000041,2704.529999999992,QS,provisional_assumed_short_to_long,0
0.18,47,149.99999999999363,49.999999999993634,94.999999999993634,79.999999999987267,107,71.999999999993634,251,15.76999999999995,2702.52,QS,provisional_assumed_short_to_long,0
0.19,47,152.99999999998363,50.999999999994543,95,80,107,72,251.99999999999454,15.76,2702.5300000000002,QS,provisional_assumed_short_to_long,0
0.20,47,152.00000000000455,50.000000000004547,95,82.999999999986358,106.00000000000455,72.999999999995453,252.99999999999545,15.76,2702.5300000000002,QS,provisional_assumed_short_to_long,0
0.21,47,153.99999999999272,50.999999999996362,95,82.000000000003638,106.99999999999636,75.999999999989086,253,15.76,2702.5300000000002,QS,provisional_assumed_short_to_long,0
0.22,47.999999999997272,154,51,95,82.999999999997272,107.99999999999727,76,254.99999999999454,15.764999999999986,2703.0299999999988,QS,provisional_assumed_short_to_long,0
0.23,48,154,51,95,83.999999999998181,109.99999999999636,76,254.00000000000182,15.769999999999991,2703.5299999999993,QS,provisional_assumed_short_to_long,0
0.24,48.999999999999091,154.99999999999909,50.000000000000909,95,84,110,77.999999999998181,254,15.760000000000009,2702.5300000000011,QS,provisional_assumed_short_to_long,0
0.25,49,159,50,95,85,110,77,254,15.76,2702.5300000000002,QS,provisional_assumed_short_to_long,0
0.26,50,158.00000000000091,50,97,86,112.00000000000182,77,254.00000000000091,15.77,2708.5400000000018,QS,provisional_assumed_short_to_long,0
0.27,50,158.99999999999045,50,97,86,113.9999999999809,77,254.99999999999045,15.77,2710.54,QS,provisional_assumed_short_to_long,0
0.28,50,159,50,97.99999999999136,86.99999999999136,114.99999999999136,77.99999999999136,255,15.77,2710.54,QS,provisional_assumed_short_to_long,0
0.29,49.000000000007731,157.00000000001546,50,98,87,115.99999999999227,78,255,15.77,2710.5399999999963,QS,provisional_assumed_short_to_long,0
0.30,49,159.99999999997954,50,98,87.999999999993179,116.99999999999318,78.999999999993179,255.99999999999318,15.77,2709.5400000000045,QS,provisional_assumed_short_to_long,0
0.31,49.999999999994088,160.99999999999409,50,98,88,117,80.999999999988177,256,15.77,2710.54,QS,provisional_assumed_short_to_long,0
0.32,50,160.000000000005,50,98.999999999994998,88,116.000000000005,81,256,15.769999999999936,2710.5400000000063,QS,provisional_assumed_short_to_long,0
0.33,50.999999999995907,160,50,99,88,116,78.000000000012278,256.99999999999591,15.760000000000041,2711.5399999999959,QS,provisional_assumed_short_to_long,0
0.34,50.000000000003183,160,50.999999999996817,99,88.999999999996817,116.99999999999682,79.999999999993634,256.00000000000318,15.76,2709.5500000000065,QS,provisional_assumed_short_to_long,0
0.35,50.999999999997726,159.00000000000227,50.000000000002274,99,89,117,80,256,15.76,2710.5399999999977,QS,provisional_assumed_short_to_long,0
0.36,51,159.99999999999864,50,99,88.000000000001364,116.00000000000136,80,256,15.76,2709.5400000000013,QS,provisional_assumed_short_to_long,0
0.37,51,160,50,99,88.999999999999545,116,79.000000000000455,256,15.76,2708.5400000000004,QS,provisional_assumed_short_to_long,0
0.38,51.000000000000455,160.99999999999909,50,99,89.000000000000455,116.00000000000045,79,256.00000000000045,15.76,2709.5400000000009,QS,provisional_assumed_short_to_long,0
0.39,51.999999999989996,159.00000000002001,50,99,89.999999999989996,116.99999999999,79,256.99999999999,15.76,2711.5499999999988,QS,provisional_assumed_short_to_long,0
0.40,51.000000000009095,159.99999999999091,50,99,89.000000000009095,116.00000000000909,79.999999999990905,257,15.76,2710.5500000000025,QS,provisional_assumed_short_to_long,0
0.41,50.000000000008185,159.00000000000819,49.000000000008185,98.000000000008185,89.999999999991815,116.99999999999181,79.000000000008185,256.00000000000819,15.76,2711.5500000000002,QS,provisional_assumed_short_to_long,0
0.42,50,159.99999999999272,49,98,90,117.99999999999272,79,256.99999999999272,15.76,2711.5500000000002,QS,provisional_assumed_short_to_long,0
0.43,50,159.00000000000637,49,98.999999999993634,90,115.0000000000191,79,256.00000000000637,15.76,2711.5500000000052,QS,provisional_assumed_short_to_long,0
0.44,50,159,49,99,90,117.99999999998363,79,256,15.76,2712.5499999999884,QS,provisional_assumed_short_to_long,0
0.45,50,159,49,99,90,118,79,255.00000000000455,15.76,2710.5500000000093,QS,provisional_assumed_short_to_long,0
0.46,50,158.00000000000364,49,99,90,117.00000000000364,79,255.99999999999636,15.76,2711.5499999999965,QS,provisional_assumed_short_to_long,0
0.47,50,159.99999999999454,49,99,89.000000000002728,117,78.000000000002728,255.00000000000273,15.76,2712.5499999999975,QS,provisional_assumed_short_to_long,0
0.48,50,160,49.999999999998181,99,89.999999999998181,117.99999999999818,78,255.99999999999818,15.76,2708.5300000000075,QS,provisional_assumed_short_to_long,0
0.49,50,158.00000000000182,49.000000000000909,99,90,118,76.000000000001819,256,15.764999999999995,2709.5249999999992,QS,provisional_assumed_short_to_long,0
0.50,50,159,50,99,91,115,77,255,15.77,2710.52,QS,provisional_assumed_short_to_long,0
0.51,50,159.00000000000091,49.999999999999091,99,90,116.99999999999909,78.000000000001819,256.00000000000091,15.80000000000001,2711.4400000000064,QS,provisional_assumed_short_to_long,0
0.52,50,159.99999999999045,49.00000000000955,99,90,116.00000000000955,79.999999999980901,256.99999999999045,15.810000000000018,2718.4200000000001,QS,provisional_assumed_short_to_long,0
0.53,50,159.00000000000864,49.99999999999136,99,90,115.00000000000864,79.00000000000864,256.00000000000864,15.82,2718.4100000000026,QS,provisional_assumed_short_to_long,0
0.54,50,158.00000000000773,49.000000000007731,98.000000000007731,89.000000000007731,114.00000000000773,80.999999999984539,256,15.82,2719.3999999999928,QS,provisional_assumed_short_to_long,0
0.55,50,159.99999999998636,49,97.000000000006821,89,113.00000000000682,80.000000000006821,256,15.820000000000023,2717.4000000000046,QS,provisional_assumed_short_to_long,0
0.56,50,158.00000000001182,49,96.000000000005912,89,113,80,254.00000000001182,15.825000000000028,2718.3950000000054,QS,provisional_assumed_short_to_long,0
0.57,50,158,49.999999999995005,96,89,112.000000000005,80,254.999999999995,15.829999999999936,2719.3899999999871,QS,provisional_assumed_short_to_long,0
0.58,50,157.00000000000409,50,95.000000000004093,87.0000000000082,112.99999999999591,79.000000000004093,255,15.820000000000041,2717.3900000000081,QS,provisional_assumed_short_to_long,0
0.59,50,158.99999999999363,50,95,86.000000000003183,113.99999999999682,79,255,15.82,2719.3899999999935,QS,provisional_assumed_short_to_long,0
