alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,record,reference_limb,remaining_missing_signal_values,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
12.7,11.14,start trigger to FMG file/epoch end,True,32.61,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.65,16.75,17454,12,12,3.11,6,Rishabh_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.7,11.14,model-assisted provisional six-phase fit,0.3773,moderate pattern evidence,1,model_completed
6.47,5.28,start trigger to FMG file/epoch end,True,30.46,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.25,16.03,9972,12,12,2.81,6,Rishabh_2,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.47,5.28,model-assisted provisional six-phase fit,0.3704,moderate pattern evidence,1,model_completed
12.51,10.92,start trigger to FMG file/epoch end,True,31.21,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; L start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,4.09,16.38,3768,12,11,3.66,6,Rishabh_3,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.51,10.92,model-assisted provisional six-phase fit,0.3809,moderate pattern evidence,1,model_completed
12.42,8.96,start trigger to FMG file/epoch end,True,33.410000000000004,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.17,17.84,6784,12,12,4.35,6,Rishabh_4,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.22,10.04,model-assisted provisional six-phase fit,0.524,weak/ambiguous pattern evidence,1,model_completed
16.15,7.67,start trigger to FMG file/epoch end,True,52.9,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,5.48,19.17,22634,12,13,4.95,6,Rishabh_5,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",13.59,12.49,model-assisted provisional six-phase fit,0.2338,weak/ambiguous pattern evidence,1,model_completed
11.07,6.22,start trigger to FMG file/epoch end,True,27.91,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.32,16.43,8228,13,12,2.9,6,Rishabh_6,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.79,8.56,model-assisted provisional six-phase fit,0.3197,weak/ambiguous pattern evidence,1,model_completed
10.91,9.32,start trigger to FMG file/epoch end,True,23.67,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,2.94,16.08,4586,12,12,2.51,6,Rishabh_7,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.91,9.32,model-assisted provisional six-phase fit,0.3942,moderate pattern evidence,1,model_completed
12.8,9.16,start trigger to FMG file/epoch end,True,31.16,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; F start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,4.27,16.94,27232,11,13,3.81,6,Rishabh_8,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.8,11.59,model-assisted provisional six-phase fit,0.3711,weak/ambiguous pattern evidence,1,model_completed
12.28,6.27,start trigger to FMG file/epoch end,True,25.650000000000002,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; L start inferred from cross-record trigger clock calibration; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,3.56,16.58,9646,12,12,3.38,6,Rishabh_9,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.03,9.81,model-assisted provisional six-phase fit,0.3181,weak/ambiguous pattern evidence,1,model_completed
13.7,7.77,start trigger to FMG file/epoch end,True,36.82,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; No end trigger: window ends at observed FMG file/epoch end; ending may be incomplete,4.71,17.99,13812,12,12,4.2,6,Rishabh_10,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.98,7.77,model-assisted provisional six-phase fit,0.2725,weak/ambiguous pattern evidence,1,model_completed
