time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,32,0,38,24,41,38,0,13,13,2220.29,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,32,0,38,24,41,38,0,13.999999999976353,13.009999999999781,2220.2700000000004,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,32,0,38,24,41.000000000001819,38,0,12.999999999998181,13.009999999999527,2222.2899999999527,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,32,0,38,24,41.999999999979991,38,0,12.000000000020009,13,2221.2899999999236,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,31.000000000003638,0,38,23.000000000003638,41.000000000003638,37.000000000003638,0,12,12.999999999999982,2218.29,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,31.99999999998181,0,38,23.99999999998181,41.99999999998181,37.99999999998181,0,12,12.994999999999864,2218.2950000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,32,0,38,24,41,38,0,11.000000000005457,12.990000000001018,2218.3000000003053,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,32,0,38,24,41,38,0,11.999999999983629,13.01,2224.29,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,32,0,38,24.000000000007276,42,38,0,12.000000000007276,13.01,2224.2900000000072,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,32,0,38,24.999999999985448,42,38,0,12.999999999985448,13.01,2225.2899999999854,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,32,0,38,24.000000000009095,41,38,0,13.999999999990905,13.010000000000819,2226.2900000000532,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,32,0,38,24.999999999987267,41,38,0,13.000000000012733,13.025000000000491,2227.2650000000317,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,31.999999999989086,0,38,24.999999999989086,41,37.999999999989086,0,13.000000000010914,13.039999999999562,2228.2399999999679,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,31.000000000010914,0,38,24.000000000010914,41,37.000000000010914,0,13.999999999989086,13.000000000000437,2225.320000000032,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,32,0,38,25,41.999999999987267,38,0,14,12.999999999999417,2226.3400000000006,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
