time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,0,32.000000000030013,34.000000000030013,42,0,53,64,43,6.0800000000000001,760,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.01,0,32.000000000030013,34.000000000030013,42,0,53,64,43,6.0599999999999818,757.49999999999773,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.02,0,32.000000000030013,34.000000000030013,42,0,53,64,43,6.0399999999988356,754.99999999987267,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.03,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.3999999999999728,685,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.04,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.3900000000000361,685,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.05,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,684.99999999999545,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.06,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,684,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.07,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,684,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.08,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,684,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.09,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,683.99999999998363,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.10,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,681.99999999999091,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.11,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,681.00000000004002,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
0.12,0,32.000000000030013,34.000000000030013,42,0,53,64,43,5.4000000000000004,684.99999999996726,QS,model_assisted_not_ground_truth,0,1,1,1,1,1,1,1,1,0,0
