time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,0,37,36,42,201,53,108,47,6.3700000000000001,388,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,0,37.999999999989541,37.999999999979082,42.999999999989541,201,53,108,47,6.3600000000002188,387.00000000002183,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,0,38,36.000000000019099,43.99999999999045,201,53,108,46.00000000000955,6.3399999999999999,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,0,38,36,43.00000000000864,201.99999999999136,53,108,46.99999999999136,6.3399999999999999,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,0,38,37.999999999984539,43.999999999992269,202.99999999999227,52.000000000007731,108,47,6.3399999999999999,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,0,38,38,44,203,52,108.99999999999318,46.000000000006821,6.3399999999999999,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,0,38,36.000000000011823,43.000000000005912,202.00000000000591,52,109,46.999999999994088,6.3399999999999999,386.50000000000864,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,0,38,37.999999999989996,43.999999999994998,202,52.999999999994998,109,47,6.3399999999999999,386.00000000000819,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,0,38,38,41.000000000012278,204.99999999998772,52.000000000004093,109,47,6.3399999999998542,386.99999999999272,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,0,37.000000000003183,38,41.999999999996817,203.00000000000637,52,109,47,6.3200000000002916,386.00000000001455,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,0,37.999999999997726,38,42.999999999997726,203,52.999999999997726,109,47,6.3200000000010004,386.00000000001819,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,0,38,38,43,201.00000000000273,53,109,46.000000000001364,6.4299999999985991,387.99999999997453,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,0,38,36.000000000000909,43,201.99999999999955,52.000000000000455,109.99999999999955,46.999999999999545,6.4299999999998905,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,0,37.000000000000455,36,42.000000000000455,202,52.000000000000455,110,47,6.4199999999998818,387,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,0,37.999999999989996,36,42.999999999989996,202,52.999999999989996,110,47,6.4100000000000001,386.99999999998727,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.15,0,38,36,43,202.99999999999091,52.000000000009095,110,46.000000000009095,6.4100000000000001,386.00000000000909,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
